"";"CD_CONCEITO_PROGRAMA";"m_IMI";"m_IPT";"md_IMI";"md_IPT";"v_IMI";"v_IPT";"d_IMI";"d_IPT";"pc_IMI";"pc_IPT";"cor";"ANO_INICIO_PROGRAMA"
"1";"3";0,574333586894689;0,388277355662455;0,573522081973022;0,188988095238095;0,0088175088266991;0,277181754192183;0,0939015911829992;0,526480535435246;16,3496604283073;135,593932470514;0,055026960698169;"3"
"2";"4";0,489835484406749;0,400642513574012;0,481312625567741;0,1875;0,0102660261229125;0,288081516734926;0,101321400123135;0,53673225796008;20,6847815947527;133,96787404613;0,124621962513638;"4"
"3";"5";0,437963142114084;0,408033469397687;0,423412479883371;0,227272727272727;0,00940112152641843;0,25008615758452;0,0969593808066988;0,500086150162669;22,1387079147044;122,560080892596;0,233147931165116;"5"
"4";"6";0,40852058842489;0,445450121044624;0,400626810959891;0,210526315789474;0,0059685113750164;0,52140462558165;0,0772561413417497;0,722083530889363;18,9111989776628;162,101994538919;0,229689141936706;"6"
"5";"7";0,386060451572966;0,444252842918914;0,394480792831808;0,285714285714286;0,00404298185891742;0,287510082630269;0,0635844466746186;0,536199666756954;16,4700751956203;120,696957893148;-0,141432750904144;"7"
