"";"CS_STATUS_JURIDICO";"m_IMI";"m_IPT";"md_IMI";"md_IPT";"v_IMI";"v_IPT";"d_IMI";"d_IPT";"pc_IMI";"pc_IPT";"cor"
"1";"ESTADUAL";0,48599790679639;0,328229184417274;0,484981154185041;0,155048076923077;0,0112001030698462;0,165638945140058;0,105830539400714;0,406987647404756;21,7759249413912;123,994960450366;0,0560431910218089
"2";"FEDERAL";0,489704934489601;0,391362786980397;0,479859307359307;0,2;0,0125776484725863;0,279887884204157;0,112150115793905;0,529044312136665;22,90156947485;135,180024707654;0,013503440641843
"3";"MUNICIPAL";0,56260989880238;0,353773881347411;0,558401766395498;0,258333333333333;0,0268984007955133;0,102982372566732;0,164007319335185;0,320908667017162;29,1511613436424;90,7101072003745;0,794949069461493
"4";"PARTICULAR";0,556510616563235;0,525868538430682;0,563996540619259;0,25;0,0114146223165422;0,488193379827148;0,106839235847802;0,698708365362222;19,1980588811753;132,867497159525;0,178122050939056
