"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"SG_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"NM_REGIAO";"SG_UF_PROGRAMA";"SG_ENTIDADE_ENSINO";"NM_PROGRAMA_IES";"NM_GRAU_PROGRAMA";"CP"
"50";"12001015040P6";"ODONTOLOGIA";"ODON";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"ODONTOLOGIA";"MESTRADO";0,403070175438596
"51";"12001015041P2";"CIÊNCIAS AMBIENTAIS";"CAMB";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"CIÊNCIA E TECNOLOGIA PARA RECURSOS AMAZÔNICOS";"MESTRADO";0,500333333333333
"52";"12001015042P9";"ENSINO";"ENSI";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"ENSINO DE CIÊNCIAS E MATEMÁTICA";"MESTRADO";0,485984848484848
"53";"12001015063P6";"BIODIVERSIDADE";"BIOD";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"4";"NORTE";"AM";"UFAM";"ZOOLOGIA";"MESTRADO/DOUTORADO";0,42280701754386
"54";"12001015064P2";"CIÊNCIAS AMBIENTAIS";"CAMB";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"CIÊNCIAS AMBIENTAIS";"MESTRADO";0,538157894736842
"55";"12001015065P9";"MEDICINA III";"MEDIII";"FEDERAL";"PÚBLICA";2015;"PROFISSIONAL";"3";"NORTE";"AM";"UFAM";"MESTRADO PROFISSIONAL EM CIRURGIA";"MESTRADO PROF.";0,405882352941176
"56";"12001015066P5";"ZOOTECNIA / RECURSOS PESQUEIROS";"ZOOT";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"CIÊNCIA ANIMAL";"MESTRADO";0,388636363636364
"57";"12001015171P3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,559057971014493
"58";"12001015172P0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,38375
"59";"12002011001P7";"BIODIVERSIDADE";"BIOD";"FEDERAL";"PÚBLICA";1976;"ACADÊMICO";"4";"NORTE";"AM";"INPA";"CIÊNCIAS BIOLÓGICAS";"MESTRADO/DOUTORADO";0,490860215053763
"60";"12002011002P3";"BIODIVERSIDADE";"BIOD";"FEDERAL";"PÚBLICA";1973;"ACADÊMICO";"4";"NORTE";"AM";"INPA";"CIÊNCIAS BIOLÓGICAS (BOTÂNICA)";"MESTRADO/DOUTORADO";0,417528735632184
"61";"12002011003P0";"BIODIVERSIDADE";"BIOD";"FEDERAL";"PÚBLICA";1976;"ACADÊMICO";"6";"NORTE";"AM";"INPA";"BIOLOGIA (ECOLOGIA)";"MESTRADO/DOUTORADO";0,373333333333333
"62";"12002011004P6";"BIODIVERSIDADE";"BIOD";"FEDERAL";"PÚBLICA";1976;"ACADÊMICO";"5";"NORTE";"AM";"INPA";"CIÊNCIAS BIOLÓGICAS (ENTOMOLOGIA)";"MESTRADO/DOUTORADO";0,479166666666667
"63";"12002011006P9";"CIÊNCIAS AGRÁRIAS I";"CAGRI";"FEDERAL";"PÚBLICA";1980;"ACADÊMICO";"5";"NORTE";"AM";"INPA";"CIÊNCIAS DE FLORESTAS TROPICAIS";"MESTRADO/DOUTORADO";0,473666666666667
"64";"12002011009P8";"CIÊNCIAS BIOLÓGICAS I";"CBI";"FEDERAL";"PÚBLICA";2003;"ACADÊMICO";"4";"NORTE";"AM";"INPA";"GENÉTICA, CONSERVAÇÃO E BIOLOGIA EVOLUTIVA";"MESTRADO/DOUTORADO";0,431333333333333
"65";"12002011010P6";"CIÊNCIAS AGRÁRIAS I";"CAGRI";"FEDERAL";"PÚBLICA";2002;"ACADÊMICO";"3";"NORTE";"AM";"INPA";"AGRICULTURA NO TRÓPICO ÚMIDO";"MESTRADO";0,478240740740741
"66";"12002011011P2";"GEOCIÊNCIAS";"GEOC";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"4";"NORTE";"AM";"INPA";"CLIMA E AMBIENTE - INPA - UEA";"MESTRADO/DOUTORADO";0,427777777777778
"67";"12002011012P9";"CIÊNCIAS AGRÁRIAS I";"CAGRI";"FEDERAL";"PÚBLICA";2010;"PROFISSIONAL";"3";"NORTE";"AM";"INPA";"GESTÃO DE ÁREAS PROTEGIDAS NA AMAZÔNIA";"MESTRADO PROF.";0,442857142857143
"68";"12003018001P3";"ENSINO";"ENSI";"FEDERAL";"PÚBLICA";2014;"PROFISSIONAL";"3";"NORTE";"AM";"IFAM";"ENSINO TECNOLÓGICO";"MESTRADO PROF.";1
"69";"12006017003P5";"ZOOTECNIA / RECURSOS PESQUEIROS";"ZOOT";"PARTICULAR";"PRIVADA";2010;"ACADÊMICO";"3";"NORTE";"AM";"UNINILTON";"AQUICULTURA";"MESTRADO/DOUTORADO";0,5796875
"70";"12008010001P9";"MEDICINA II";"MEDII";"ESTADUAL";"PÚBLICA";2002;"ACADÊMICO";"5";"NORTE";"AM";"UEA";"MEDICINA TROPICAL";"MESTRADO/DOUTORADO";0,494761904761905
"71";"12008010002P5";"DIREITO";"DIRE";"ESTADUAL";"PÚBLICA";2003;"ACADÊMICO";"3";"NORTE";"AM";"UEA";"DIREITO AMBIENTAL";"MESTRADO";0,425
"72";"12008010003P1";"BIOTECNOLOGIA";"BIOT";"ESTADUAL";"PÚBLICA";2003;"ACADÊMICO";"3";"NORTE";"AM";"UEA";"BIOTECNOLOGIA E RECURSOS NATURAIS DA AMAZÔNIA";"MESTRADO";0,411111111111111
"73";"12008010005P4";"ENSINO";"ENSI";"ESTADUAL";"PÚBLICA";2011;"ACADÊMICO";"4";"NORTE";"AM";"UEA";"EDUCAÇÃO EM CIÊNCIAS NA AMAZÔNIA";"MESTRADO";0,48452380952381
"74";"12008010007P7";"INTERDISCIPLINAR";"INTE";"ESTADUAL";"PÚBLICA";2012;"PROFISSIONAL";"3";"NORTE";"AM";"UEA";"SEGURANÇA PÚBLICA, CIDADANIA E DIREITOS HUMANOS";"MESTRADO PROF.";0,487916666666667
"75";"12008010008P3";"MEDICINA II";"MEDII";"ESTADUAL";"PÚBLICA";2013;"ACADÊMICO";"3";"NORTE";"AM";"UEA";"HEMATOLOGIA";"MESTRADO";0,463235294117647
"76";"12008010039P6";"LETRAS / LINGUÍSTICA";"LETR";"ESTADUAL";"PÚBLICA";2015;"ACADÊMICO";"3";"NORTE";"AM";"UEA";"LETRAS E ARTES";"MESTRADO";0,424019607843137
"77";"12008010070P0";"INTERDISCIPLINAR";"INTE";"ESTADUAL";"PÚBLICA";2016;"ACADÊMICO";"3";"NORTE";"AM";"UEA";"CIÊNCIAS HUMANAS";"MESTRADO";0,462301587301587
"78";"12008010071P7";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,5
"79";"13001019002P0";"ASTRONOMIA / FÍSICA";"AFIS";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"3";"NORTE";"RR";"UFRR";"FÍSICA";"MESTRADO";0,5
"80";"13001019003P6";"QUÍMICA";"QUIM";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"3";"NORTE";"RR";"UFRR";"QUIMICA";"MESTRADO";1
"81";"13003011001P6";"ENSINO";"ENSI";"ESTADUAL";"PÚBLICA";2012;"PROFISSIONAL";"3";"NORTE";"RR";"UERR";"ENSINO DE CIÊNCIAS";"MESTRADO PROF.";0,460555555555556
"82";"13003011004P5";"INTERDISCIPLINAR";"INTE";"ESTADUAL";"PÚBLICA";2016;"PROFISSIONAL";"3";"NORTE";"RR";"UERR";"SEGURANÇA PÚBLICA, DIREITOS HUMANOS E CIDADANIA";"MESTRADO PROF.";0,576515151515152
"83";"14001012001P6";"PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA";"PLUR";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"3";"NORTE";"AP";"UNIFAP";"MESTRADO INTEGRADO EM DESENVOLVIMENTO REGIONAL";"MESTRADO";0,513888888888889
"84";"14001012004P5";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";"NORTE";"AP";"UNIFAP";"CIÊNCIAS DA SAÚDE";"MESTRADO";0,604807692307692
"85";"14001012005P1";"FARMÁCIA";"FARM";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";"NORTE";"AP";"UNIFAP";"CIÊNCIAS FARMACÊUTICAS";"MESTRADO";0,491666666666667
"86";"14001012156P0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,47962962962963
"87";"14001012157P6";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,595614035087719
"88";"14001012158P2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,480952380952381
"89";"15001016002P5";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";1977;"ACADÊMICO";"5";"NORTE";"PA";"UFPA";"DESENVOLVIMENTO SUSTENTÁVEL DO TRÓPICO ÚMIDO";"MESTRADO/DOUTORADO";0,500347222222222
"90";"15001016003P1";"DIREITO";"DIRE";"FEDERAL";"PÚBLICA";1984;"ACADÊMICO";"4";"NORTE";"PA";"UFPA";"DIREITO";"MESTRADO/DOUTORADO";0,521759259259259
"91";"15001016004P8";"ENGENHARIAS IV";"ENGIV";"FEDERAL";"PÚBLICA";1986;"ACADÊMICO";"5";"NORTE";"PA";"UFPA";"ENGENHARIA ELÉTRICA";"MESTRADO/DOUTORADO";0,457440476190476
"92";"15001016007P7";"QUÍMICA";"QUIM";"FEDERAL";"PÚBLICA";1987;"ACADÊMICO";"4";"NORTE";"PA";"UFPA";"QUÍMICA";"MESTRADO/DOUTORADO";0,485648148148148
"93";"15001016008P3";"LETRAS / LINGUÍSTICA";"LETR";"FEDERAL";"PÚBLICA";1987;"ACADÊMICO";"4";"NORTE";"PA";"UFPA";"LETRAS: LINGÜÍSTICA E TEORIA LITERÁRIA";"MESTRADO/DOUTORADO";0,396388888888889
"94";"15001016009P0";"PSICOLOGIA";"PSICO";"FEDERAL";"PÚBLICA";1987;"ACADÊMICO";"5";"NORTE";"PA";"UFPA";"PSICOLOGIA (TEORIA E PESQUISA DO COMPORTAMENTO)";"MESTRADO/DOUTORADO";0,331140350877193
"95";"15001016010P8";"ENGENHARIAS II";"ENGII";"FEDERAL";"PÚBLICA";1992;"ACADÊMICO";"3";"NORTE";"PA";"UFPA";"ENGENHARIA QUÍMICA";"MESTRADO";0,416145833333333
"96";"15001016015P0";"MEDICINA II";"MEDII";"FEDERAL";"PÚBLICA";1994;"ACADÊMICO";"4";"NORTE";"PA";"UFPA";"DOENÇAS TROPICAIS";"MESTRADO/DOUTORADO";0,588257575757576
"97";"15001016016P6";"GEOCIÊNCIAS";"GEOC";"FEDERAL";"PÚBLICA";1992;"ACADÊMICO";"4";"NORTE";"PA";"UFPA";"GEOFÍSICA";"MESTRADO/DOUTORADO";0,468452380952381
"98";"15001016017P2";"GEOCIÊNCIAS";"GEOC";"FEDERAL";"PÚBLICA";1992;"ACADÊMICO";"6";"NORTE";"PA";"UFPA";"GEOLOGIA E GEOQUÍMICA";"MESTRADO/DOUTORADO";0,36
"99";"15001016018P9";"ENGENHARIAS III";"ENGIII";"FEDERAL";"PÚBLICA";1994;"ACADÊMICO";"3";"NORTE";"PA";"UFPA";"ENGENHARIA MECÂNICA";"MESTRADO";0,45625
"100";"15001016022P6";"BIODIVERSIDADE";"BIOD";"FEDERAL";"PÚBLICA";1996;"ACADÊMICO";"4";"NORTE";"PA";"UFPA";"ZOOLOGIA";"MESTRADO/DOUTORADO";0,439722222222222
"101";"15001016027P8";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2000;"ACADÊMICO";"3";"NORTE";"PA";"UFPA";"AGRICULTURAS AMAZÔNICAS";"MESTRADO";0,559126984126984
"102";"15001016028P4";"ZOOTECNIA / RECURSOS PESQUEIROS";"ZOOT";"FEDERAL";"PÚBLICA";1999;"ACADÊMICO";"4";"NORTE";"PA";"UFPA";"CIÊNCIA ANIMAL";"MESTRADO/DOUTORADO";0,376602564102564
"103";"15001016030P9";"BIODIVERSIDADE";"BIOD";"FEDERAL";"PÚBLICA";2000;"ACADÊMICO";"4";"NORTE";"PA";"UFPA";"BIOLOGIA AMBIENTAL";"MESTRADO/DOUTORADO";0,486458333333333
"104";"15001016031P5";"ENGENHARIAS I";"ENGI";"FEDERAL";"PÚBLICA";1999;"ACADÊMICO";"4";"NORTE";"PA";"UFPA";"ENGENHARIA CIVIL";"MESTRADO/DOUTORADO";0,434027777777778
"105";"15001016032P1";"CIÊNCIAS BIOLÓGICAS I";"CBI";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"6";"NORTE";"PA";"UFPA";"GENÉTICA E BIOLOGIA MOLECULAR";"MESTRADO/DOUTORADO";0,502298850574713
"106";"15001016033P8";"ENSINO";"ENSI";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"4";"NORTE";"PA";"UFPA";"EDUCAÇÃO EM CIÊNCIAS E MATEMÁTICAS";"MESTRADO/DOUTORADO";0,494252873563218
"107";"15001016034P4";"SOCIOLOGIA";"SOCI";"FEDERAL";"PÚBLICA";2002;"ACADÊMICO";"4";"NORTE";"PA";"UFPA";"SOCIOLOGIA E ANTROPOLOGIA";"MESTRADO/DOUTORADO";0,418827160493827
"108";"15001016035P0";"EDUCAÇÃO";"EDUC";"FEDERAL";"PÚBLICA";2003;"ACADÊMICO";"4";"NORTE";"PA";"UFPA";"EDUCAÇÃO";"MESTRADO/DOUTORADO";0,413978494623656
"109";"15001016036P7";"SERVIÇO SOCIAL";"SSOC";"FEDERAL";"PÚBLICA";1996;"ACADÊMICO";"4";"NORTE";"PA";"UFPA";"SERVIÇO SOCIAL";"MESTRADO/DOUTORADO";0,512777777777778
"110";"15001016037P3";"ASTRONOMIA / FÍSICA";"AFIS";"FEDERAL";"PÚBLICA";2002;"ACADÊMICO";"4";"NORTE";"PA";"UFPA";"FÍSICA";"MESTRADO/DOUTORADO";0,515686274509804
"111";"15001016038P0";"CIÊNCIA DE ALIMENTOS";"CALIM";"FEDERAL";"PÚBLICA";2003;"ACADÊMICO";"4";"NORTE";"PA";"UFPA";"CIÊNCIA E TECNOLOGIA DE ALIMENTOS";"MESTRADO/DOUTORADO";0,399358974358974
"112";"15001016039P6";"ODONTOLOGIA";"ODON";"FEDERAL";"PÚBLICA";2003;"ACADÊMICO";"3";"NORTE";"PA";"UFPA";"ODONTOLOGIA";"MESTRADO";0,433333333333333
