"";"NM_MODALIDADE_PROGRAMA";"m_IMI";"m_IPT";"md_IMI";"md_IPT";"v_IMI";"v_IPT";"d_IMI";"d_IPT";"pc_IMI";"pc_IPT";"cor"
"1";"ACADÊMICO";0,487912141791508;0,38600633230011;0,479859307359307;0,1875;0,0120277097085174;0,266648326550897;0,109670915508704;0,516380021448252;22,4775950657871;133,77501306035;0,0460688884333034
"2";"PROFISSIONAL";0,587666206173061;0,509638133411485;0,584881907308378;0,235294117647059;0,00941363533353753;0,479897676476515;0,0970238905297944;0,692746473449353;16,5100340143129;135,929089295605;0,153973846826859
