"";"ANO_INICIO_PROGRAMA";"m_IMI";"m_IPT";"md_IMI";"md_IPT";"v_IMI";"v_IPT";"d_IMI";"d_IPT";"pc_IMI";"pc_IPT";"cor"
"30";"1988";0,41685148795589;0,304365067959241;0,402546308184732;0,225;0,00606565207598895;0,0900747390572505;0,0778822962937595;0,300124539245378;18,6834636660817;98,6067623521004;-0,0482735242579467
"31";"1989";0,4427131613778;0,272109849159684;0,435113843950218;0,121323529411765;0,00887433796981375;0,155547509546364;0,0942037046501556;0,394395118563052;21,2787224027805;144,939670423913;-0,0504497634354278
"32";"1990";0,423457728329615;0,551230148452371;0,416367748295318;0,416666666666667;0,00547144572925995;0,39344670050535;0,0739692214996207;0,627253298520901;17,4679115649635;113,791544290887;-0,203372041468122
"33";"1991";0,434737404712939;0,326717359867974;0,45147918506157;0,126329787234043;0,0103084446492443;0,20550606222507;0,101530510927722;0,453327764674822;23,3544456554787;138,752273481278;-0,0862484816657559
"34";"1992";0,382603628035961;0,367136357151331;0,378251063683049;0,263157894736842;0,0037986274261001;0,116111327437953;0,0616330059797516;0,340751122430951;16,1088399229604;92,8132329565213;0,531810710379119
"35";"1993";0,444718080603837;0,52027373756947;0,439108202459682;0,227272727272727;0,0102291742095316;0,290486627360041;0,101139380112454;0,538968113490994;22,7423584791353;103,593180776115;0,653334352806853
"36";"1994";0,480465622910594;0,492682002926903;0,469087984384037;0,235294117647059;0,00713027367176509;0,447047903048988;0,0844409478379127;0,668616409497245;17,5748157227943;135,709525723521;0,168660160183952
"37";"1995";0,465333378150526;0,260569281079928;0,439237634015595;0,133333333333333;0,00888612105359353;0,100103273557669;0,0942662243520633;0,31639101371194;20,257782651811;121,422990615263;0,0982965289483125
"38";"1996";0,464740276320389;0,414383048438776;0,417330213320727;0,381818181818182;0,0113045213987089;0,0758237953339702;0,106322722871025;0,275361208840262;22,8778800307222;66,450886414806;0,0551069508890045
"39";"1997";0,488927745976891;0,528272628119588;0,503889221158958;0,125;0,0178682749444722;1,62382288830911;0,133672266923518;1,27429309356565;27,3398816130668;241,218837724293;0,176731763322921
"40";"1998";0,480723419600173;0,371455850562021;0,474430517399267;0,307692307692308;0,0161287492376255;0,100971302296515;0,12699901274272;0,31775981856823;26,4183119782987;85,5444376734012;0,0662071149890463
"41";"1999";0,470759981746908;0,373952686944641;0,460020139071112;0,236842105263158;0,012041519590726;0,144999853875847;0,109733857996181;0,380788463422734;23,3099376011057;101,827978970801;0,0904874578091118
"42";"2000";0,481676828838496;0,618690132851723;0,450459860063922;0,293309438470729;0,0137988996833849;0,594499116019945;0,117468717892829;0,771037687807765;24,3874545877762;124,624209578683;0,161905442024385
"43";"2001";0,468764153404694;0,523237846183571;0,462210313840749;0,310344827586207;0,0110526726648917;0,237968689129344;0,105131692010029;0,487820345136756;22,4274171236099;93,2310895885789;0,268984011059863
"44";"2002";0,453352469359549;0,55492991573685;0,45472322794366;0,173913043478261;0,00845641583092437;0,973425168594038;0,0919587724522482;0,986623113754203;20,2841671033927;177,792381663933;-0,0398685290282559
"45";"2003";0,467654968776985;0,423417764179402;0,464051960252114;0,19973544973545;0,0063801065968655;0,316471703812166;0,0798755694619168;0,562558178157749;17,0800215532421;132,861260379098;0,438317746922696
"46";"2004";0,511910276265806;0,504086076267013;0,510358840505899;0,213203463203463;0,00777981564892414;0,314936760931021;0,0882032632555289;0,56119226734785;17,2302193069728;111,328658689352;0,28451811587725
"47";"2005";0,499940494877744;0,570342070738607;0,493810566256541;0,26969696969697;0,00868353299465122;0,597241028848649;0,0931854763074762;0,772813709019612;18,6393135307561;135,500035622271;0,259972759535036
"48";"2006";0,509518611385648;0,378073433457809;0,501932991545911;0,213203463203463;0,00924549520521264;0,154395145143395;0,096153498143399;0,392931476396833;18,8714398247215;103,929935727865;0,214364846836437
"49";"2007";0,512260011888952;0,34173288670068;0,523011244286482;0,13961038961039;0,0106894409976999;0,194988608383911;0,103389752866036;0,44157514466273;20,1830614271036;129,216461700832;-0,0779291007130322
"50";"2008";0,523041851160367;0,487080518460685;0,51895466129172;0,255578093306288;0,0114339001744497;0,403353023148642;0,106929416787195;0,635100797628725;20,4437592422045;130,389283405509;0,0709927981245744
"51";"2009";0,54704683186985;0,349863521816174;0,552033830786101;0,211111111111111;0,0083628417945323;0,166119189698151;0,0914485745899426;0,407577219307152;16,7167725434702;116,496060289847;0,214699356785296
"52";"2010";0,542049744190654;0,445181473638736;0,53742517037947;0,186147186147186;0,00677938335875237;0,392964609268464;0,0823370108684568;0,626868893205321;15,189936302137;140,811990238844;0,149682900186965
"53";"2011";0,556786677838239;0,4550167878492;0,558380074786325;0,233031674208145;0,0070287446487716;0,319941376846496;0,0838376087968377;0,565633606539159;15,05740207764;124,310491754124;0,110723452628601
"54";"2012";0,585656503121517;0,427412241971387;0,577281746031746;0,181818181818182;0,0117384565493134;0,573344457367758;0,108344157891939;0,75719512502905;18,4996081003917;177,158034018066;0,118505097420617
"55";"2013";0,583965047077333;0,357432436546809;0,583085369142596;0,2;0,0077910297861376;0,191902084736484;0,0882668102184371;0,438066301758631;15,1150844832582;122,559190763668;0,174298304821679
"56";"2014";0,583579691868528;0,292209493299588;0,590541443850267;0,129166666666667;0,00972947621802507;0,159470592674436;0,0986381073319286;0,399337692529062;16,9022515187438;136,661436977902;0,00865609822575021
"57";"2015";0,617416816546923;0,196490029100968;0,622420634920635;0,105263157894737;0,00878792349038005;0,0505793472207728;0,0937439250852025;0,224898526497558;15,1832477789464;114,457984217607;-0,085144224657118
"58";"2016";0,648789421390412;0,243333416370501;0,629917068524202;0,138095238095238;0,00791455256627319;0,0795301395731296;0,0889637710884222;0,282010885557862;13,7122721418246;115,894844926876;0,073082626755754
