"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"SG_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"NM_REGIAO";"SG_UF_PROGRAMA";"SG_ENTIDADE_ENSINO";"NM_PROGRAMA_IES";"NM_GRAU_PROGRAMA";"IMI";"IPT"
"417";"31001017036P2";"ENGENHARIAS II";"ENGII";"FEDERAL";"PÚBLICA";1963;"ACADÊMICO";"7";"SUDESTE";"RJ";"UFRJ";"ENGENHARIA QUÍMICA";"MESTRADO/DOUTORADO";0,324299051545692;1,42105263157895
"418";"31001017037P9";"ENGENHARIAS II";"ENGII";"FEDERAL";"PÚBLICA";1976;"ACADÊMICO";"6";"SUDESTE";"RJ";"UFRJ";"TECNOLOGIA DE PROCESSOS QUÍMICOS E BIOQUÍMICOS";"MESTRADO/DOUTORADO";0,307688148524503;0,404761904761905
"419";"31001017038P5";"ENGENHARIAS I";"ENGI";"FEDERAL";"PÚBLICA";1979;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFRJ";"ENGENHARIA DE TRANSPORTES";"MESTRADO/DOUTORADO";0,561198512585812;0,1
"420";"31001017059P2";"ODONTOLOGIA";"ODON";"FEDERAL";"PÚBLICA";1960;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFRJ";"ODONTOLOGIA";"MESTRADO/DOUTORADO";0,290636889451545;0,08
"421";"31001017072P9";"ARTES / MÚSICA";"ARTE";"FEDERAL";"PÚBLICA";1980;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFRJ";"MÚSICA";"MESTRADO/DOUTORADO";0,518509484228553;0,478260869565217
"422";"31001017087P6";"CIÊNCIAS BIOLÓGICAS II";"CBII";"FEDERAL";"PÚBLICA";1988;"ACADÊMICO";"7";"SUDESTE";"RJ";"UFRJ";"QUÍMICA BIOLÓGICA";"MESTRADO/DOUTORADO";0,403727475608182;0,0681818181818182
"423";"31001017088P2";"ARQUITETURA, URBANISMO E DESIGN";"ARQU";"FEDERAL";"PÚBLICA";1985;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFRJ";"ARQUITETURA";"MESTRADO/DOUTORADO";0,40656727100348;0,0526315789473684
"424";"31001017089P9";"ARTES / MÚSICA";"ARTE";"FEDERAL";"PÚBLICA";1985;"ACADÊMICO";"6";"SUDESTE";"RJ";"UFRJ";"ARTES VISUAIS";"MESTRADO/DOUTORADO";0,545400035014006;0,0357142857142857
"425";"31001017098P8";"PSICOLOGIA";"PSICO";"FEDERAL";"PÚBLICA";1992;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFRJ";"PSICOLOGIA";"MESTRADO/DOUTORADO";0,34424447536227;0,0588235294117647
"426";"31001017099P4";"FARMÁCIA";"FARM";"FEDERAL";"PÚBLICA";1991;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFRJ";"CIÊNCIAS FARMACÊUTICAS";"MESTRADO/DOUTORADO";0,468112329946619;0,259259259259259
"427";"31001017100P2";"BIOTECNOLOGIA";"BIOT";"FEDERAL";"PÚBLICA";1993;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFRJ";"BIOTECNOLOGIA VEGETAL";"MESTRADO/DOUTORADO";0,517446776059255;1,42105263157895
"428";"31001017102P5";"ENGENHARIAS III";"ENGIII";"FEDERAL";"PÚBLICA";1991;"ACADÊMICO";"6";"SUDESTE";"RJ";"UFRJ";"PLANEJAMENTO ENERGÉTICO";"MESTRADO/DOUTORADO";0,60379318019943;0,333333333333333
"429";"31001017103P1";"ARQUITETURA, URBANISMO E DESIGN";"ARQU";"FEDERAL";"PÚBLICA";1994;"ACADÊMICO";"6";"SUDESTE";"RJ";"UFRJ";"URBANISMO";"MESTRADO/DOUTORADO";0,412373862634279;0,4
"430";"31001017110P8";"CIÊNCIA DA COMPUTAÇÃO";"CCOMP";"FEDERAL";"PÚBLICA";1997;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFRJ";"INFORMÁTICA";"MESTRADO/DOUTORADO";0,460049749934034;0,107142857142857
"431";"31001017112P0";"CIÊNCIA DE ALIMENTOS";"CALIM";"FEDERAL";"PÚBLICA";1999;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFRJ";"CIÊNCIA DE ALIMENTOS";"MESTRADO/DOUTORADO";0,5548487509758;0,4
"432";"31001017115P0";"ENGENHARIAS I";"ENGI";"FEDERAL";"PÚBLICA";2008;"PROFISSIONAL";"4";"SUDESTE";"RJ";"UFRJ";"ENGENHARIA AMBIENTAL";"MESTRADO PROF.";0,517708729188187;0,103448275862069
"433";"31001017125P5";"ANTROPOLOGIA / ARQUEOLOGIA";"ANTR";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFRJ";"ARQUEOLOGIA";"MESTRADO/DOUTORADO";0,504066216350699;0,166666666666667
"434";"31001017128P4";"MEDICINA III";"MEDIII";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFRJ";"CIÊNCIAS CIRÚRGICAS";"MESTRADO/DOUTORADO";0,553855519480519;0,0714285714285714
"435";"31001017132P1";"ENGENHARIAS I";"ENGI";"FEDERAL";"PÚBLICA";2009;"PROFISSIONAL";"3";"SUDESTE";"RJ";"UFRJ";"ENGENHARIA URBANA";"MESTRADO PROF.";0,505405487980216;0,444444444444444
"436";"31001017138P0";"COMUNICAÇÃO E INFORMAÇÃO";"31";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFRJ";"CIÊNCIA DA INFORMAÇÃO - UFRJ - IBICT";"MESTRADO/DOUTORADO";0,524099816849817;0,105263157894737
"437";"31001017139P6";"GEOCIÊNCIAS";"GEOC";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";"SUDESTE";"RJ";"UFRJ";"METEOROLOGIA";"MESTRADO";0,547876675590491;0,333333333333333
"438";"31001017142P7";"ARQUITETURA, URBANISMO E DESIGN";"ARQU";"FEDERAL";"PÚBLICA";2010;"PROFISSIONAL";"3";"SUDESTE";"RJ";"UFRJ";"ARQUITETURA PAISAGÍSTICA";"MESTRADO PROF.";0,491267798118485;0,166666666666667
"439";"31001017143P3";"FARMÁCIA";"FARM";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";"SUDESTE";"RJ";"UFRJ";"PRODUTOS BIOATIVOS E BIOCIÊNCIAS";"MESTRADO/DOUTORADO";0,56844639023081;0,0869565217391304
"440";"31001017145P6";"CIÊNCIAS AMBIENTAIS";"CAMB";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFRJ";"CIÊNCIAS AMBIENTAIS E CONSERVAÇÃO";"MESTRADO/DOUTORADO";0,447301647154588;0,08
"441";"31001017149P1";"CIÊNCIAS BIOLÓGICAS II";"CBII";"FEDERAL";"PÚBLICA";2012;"PROFISSIONAL";"4";"SUDESTE";"RJ";"UFRJ";"QUÍMICA BIOLÓGICA";"MESTRADO PROF.";0,654272098515519;0,846153846153846
"442";"31001017154P5";"FARMÁCIA";"FARM";"FEDERAL";"PÚBLICA";2013;"PROFISSIONAL";"3";"SUDESTE";"RJ";"UFRJ";"CIÊNCIA E TECNOLOGIA FARMACÊUTICA";"MESTRADO PROF.";0,552311114663257;0,19047619047619
"443";"31001017156P8";"ENSINO";"ENSI";"FEDERAL";"PÚBLICA";2014;"PROFISSIONAL";"3";"SUDESTE";"RJ";"UFRJ";"ENSINO DE QUÍMICA";"MESTRADO PROF.";0,503617886178862;0,2
"444";"31002013001P0";"QUÍMICA";"QUIM";"FEDERAL";"PÚBLICA";1966;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFRRJ";"QUÍMICA";"MESTRADO/DOUTORADO";0,389308453718566;0,0833333333333333
"445";"31002013002P7";"CIÊNCIAS AGRÁRIAS I";"CAGRI";"FEDERAL";"PÚBLICA";1972;"ACADÊMICO";"6";"SUDESTE";"RJ";"UFRRJ";"AGRONOMIA (CIÊNCIAS DO SOLO)";"MESTRADO/DOUTORADO";0,370070160536262;0,15
"446";"31002013010P0";"CIÊNCIAS AGRÁRIAS I";"CAGRI";"FEDERAL";"PÚBLICA";1989;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFRRJ";"FITOTECNIA";"MESTRADO/DOUTORADO";0,423631501348893;0,0666666666666667
"447";"31002013011P6";"CIÊNCIAS AGRÁRIAS I";"CAGRI";"FEDERAL";"PÚBLICA";1993;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFRRJ";"CIÊNCIAS AMBIENTAIS E FLORESTAIS";"MESTRADO/DOUTORADO";0,403690334616933;0,0476190476190476
"448";"31002013014P5";"ENGENHARIAS II";"ENGII";"FEDERAL";"PÚBLICA";2000;"ACADÊMICO";"3";"SUDESTE";"RJ";"UFRRJ";"ENGENHARIA QUÍMICA";"MESTRADO";0,473214311931608;0,636363636363636
"449";"31002013015P1";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADM";"FEDERAL";"PÚBLICA";2000;"PROFISSIONAL";"3";"SUDESTE";"RJ";"UFRRJ";"GESTÃO E ESTRATÉGIA";"MESTRADO PROF.";0,598611111111111;0,4375
"450";"31002013022P8";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFRRJ";"CIÊNCIA TECNOLOGIA E INOVAÇÃO EM AGROPECUÁRIA";"DOUTORADO";0,593711402295961;0,777777777777778
"451";"31002013023P4";"CIÊNCIAS AGRÁRIAS I";"CAGRI";"FEDERAL";"PÚBLICA";2010;"PROFISSIONAL";"3";"SUDESTE";"RJ";"UFRRJ";"AGRICULTURA ORGÂNICA";"MESTRADO PROF.";0,480788084464555;0,0588235294117647
"452";"31002013026P3";"PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA";"PLUR";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";"SUDESTE";"RJ";"UFRRJ";"DESENVOLVIMENTO TERRITORIAL E POLÍTICAS PÚBLICAS";"MESTRADO";0,670632797154536;0,0714285714285714
"453";"31002013028P6";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFRRJ";"MODELAGEM MATEMÁTICA E COMPUTACIONAL";"MESTRADO";0,586869468417909;0,333333333333333
"454";"31002013029P2";"CIÊNCIAS BIOLÓGICAS II";"CBII";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFRRJ";"CIÊNCIAS FISIOLÓGICAS";"MESTRADO/DOUTORADO";0,404657738095238;0,142857142857143
"455";"31002013156P4";"ENSINO";"ENSI";"FEDERAL";"PÚBLICA";2015;"PROFISSIONAL";"3";"SUDESTE";"RJ";"UFRRJ";"EDUCAÇÃO EM CIÊNCIAS E MATEMÁTICA";"MESTRADO PROF.";0,576251060930939;0,0769230769230769
"456";"31003010001P0";"EDUCAÇÃO";"EDUC";"FEDERAL";"PÚBLICA";1971;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFF";"EDUCAÇÃO";"MESTRADO/DOUTORADO";0,414209178697331;0,0196078431372549
"457";"31003010015P1";"MEDICINA VETERINÁRIA";"MVET";"FEDERAL";"PÚBLICA";1974;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFF";"MEDIC.VETERIN.(HIG.VETER.PROC.TECN.PROD.ORIG.ANIMAL)";"MESTRADO/DOUTORADO";0,413613937958696;0,125
"458";"31003010017P4";"MEDICINA II";"MEDII";"FEDERAL";"PÚBLICA";1980;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFF";"PATOLOGIA";"MESTRADO/DOUTORADO";0,488431022993993;0,266666666666667
"459";"31003010019P7";"ENGENHARIAS III";"ENGIII";"FEDERAL";"PÚBLICA";1972;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFF";"ENGENHARIA DE PRODUÇÃO";"MESTRADO/DOUTORADO";0,465107811651168;0,238095238095238
"460";"31003010024P0";"MEDICINA VETERINÁRIA";"MVET";"FEDERAL";"PÚBLICA";1987;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFF";"MEDICINA VETERINÁRIA ( CLÍNICA E REPRODUÇÃO ANIMAL)";"MESTRADO/DOUTORADO";0,338146798104103;0,578947368421053
"461";"31003010027P0";"QUÍMICA";"QUIM";"FEDERAL";"PÚBLICA";1991;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFF";"QUÍMICA";"MESTRADO/DOUTORADO";0,335199380641343;0,127659574468085
"462";"31003010029P2";"GEOCIÊNCIAS";"GEOC";"FEDERAL";"PÚBLICA";1991;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFF";"DINÂMICA DOS OCEANOS E DA TERRA";"MESTRADO/DOUTORADO";0,455583313877117;0,0416666666666667
"463";"31003010032P3";"ENGENHARIAS II";"ENGII";"FEDERAL";"PÚBLICA";1994;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFF";"ENGENHARIA METALÚRGICA";"MESTRADO/DOUTORADO";0,458616283315078;0,636363636363636
"464";"31003010036P9";"ENGENHARIAS III";"ENGIII";"FEDERAL";"PÚBLICA";1995;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFF";"ENGENHARIA MECÂNICA";"MESTRADO/DOUTORADO";0,317426251114999;0,210526315789474
"465";"31003010039P8";"BIODIVERSIDADE";"BIOD";"FEDERAL";"PÚBLICA";1996;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFF";"BIOLOGIA MARINHA E AMBIENTES COSTEIROS";"MESTRADO/DOUTORADO";0,526399907644588;0,0526315789473684
"466";"31003010040P6";"COMUNICAÇÃO E INFORMAÇÃO";"31";"FEDERAL";"PÚBLICA";1997;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFF";"COMUNICAÇÃO";"MESTRADO/DOUTORADO";0,469523141788767;0,125
"467";"31003010044P1";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";1999;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFF";"SOCIOLOGIA E DIREITO";"MESTRADO/DOUTORADO";0,404081200552634;0,0333333333333333
"468";"31003010045P8";"ENGENHARIAS III";"ENGIII";"FEDERAL";"PÚBLICA";2000;"PROFISSIONAL";"4";"SUDESTE";"RJ";"UFF";"SISTEMAS DE GESTÃO";"MESTRADO PROF.";0,679305029855949;0,290322580645161
"469";"31003010046P4";"CIÊNCIA DA COMPUTAÇÃO";"CCOMP";"FEDERAL";"PÚBLICA";1995;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFF";"COMPUTAÇÃO";"MESTRADO/DOUTORADO";0,429305913061918;0,0487804878048781
"470";"31003010052P4";"ARQUITETURA, URBANISMO E DESIGN";"ARQU";"FEDERAL";"PÚBLICA";2002;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFF";"ARQUITETURA E URBANISMO";"MESTRADO/DOUTORADO";0,415090638684624;0,0526315789473684
"471";"31003010054P7";"ENGENHARIAS IV";"ENGIV";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"3";"SUDESTE";"RJ";"UFF";"PROGRAMA DE PÓS-GRADUAÇÃO EM ENGENHARIA ELÉTRICA E DE TELECOMUNICAÇÕES";"MESTRADO";0,409540659241914;0,0833333333333333
"472";"31003010055P3";"ENFERMAGEM";"ENFE";"FEDERAL";"PÚBLICA";2002;"PROFISSIONAL";"3";"SUDESTE";"RJ";"UFF";"ENFERMAGEM";"MESTRADO PROF.";0,329583260268101;1,15384615384615
"473";"31003010063P6";"COMUNICAÇÃO E INFORMAÇÃO";"31";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFF";"CIÊNCIA DA INFORMAÇÃO";"MESTRADO/DOUTORADO";0,55780701754386;0,105263157894737
"474";"31003010067P1";"ENFERMAGEM";"ENFE";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFF";"ENFERMAGEM";"MESTRADO/DOUTORADO";0,405592812717973;0,454545454545455
"475";"31003010068P8";"ENGENHARIAS II";"ENGII";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";"SUDESTE";"RJ";"UFF";"ENGENHARIA QUÍMICA";"MESTRADO";0,528021600765159;0,384615384615385
"476";"31003010077P7";"ENGENHARIAS III";"ENGIII";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";"SUDESTE";"RJ";"UFF";"ENGENHARIA MECÂNICA - VOLTA REDONDA";"MESTRADO";0,518765486964016;0,294117647058824
"477";"31003010079P0";"BIOTECNOLOGIA";"BIOT";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFF";"CIÊNCIAS E BIOTECNOLOGIA";"MESTRADO/DOUTORADO";0,465162870989878;0,517241379310345
"478";"31003010083P7";"ENFERMAGEM";"ENFE";"FEDERAL";"PÚBLICA";2011;"PROFISSIONAL";"3";"SUDESTE";"RJ";"UFF";"ENSINO NA SAÚDE:FORMAÇÃO DOCENTE INTERDISCIPLINAR PARA O SUS";"MESTRADO PROF.";0,410992474034404;1,30769230769231
"479";"31003010086P6";"ENGENHARIAS III";"ENGIII";"FEDERAL";"PÚBLICA";2013;"PROFISSIONAL";"3";"SUDESTE";"RJ";"UFF";"ENGENHARIA DE PRODUÇÃO E SISTEMAS COMPUTACIONAIS";"MESTRADO PROF.";0,572074249280132;0,125
"480";"31003010087P2";"ENGENHARIAS III";"ENGIII";"FEDERAL";"PÚBLICA";2012;"PROFISSIONAL";"3";"SUDESTE";"RJ";"UFF";"MONTAGEM INDUSTRIAL";"MESTRADO PROF.";0,52865675990676;0,933333333333333
"481";"31003010089P5";"CIÊNCIAS AMBIENTAIS";"CAMB";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";"SUDESTE";"RJ";"UFF";"ENGENHARIA DE BIOSSISTEMAS";"MESTRADO";0,586835466830491;0,193548387096774
"482";"31003010090P3";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";"SUDESTE";"RJ";"UFF";"CULTURA E TERRITORIALIDADES";"MESTRADO";0,622898253367003;0,0555555555555556
"483";"31003010091P0";"CIÊNCIAS AMBIENTAIS";"CAMB";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";"SUDESTE";"RJ";"UFF";"TECNOLOGIA AMBIENTAL";"MESTRADO";0,665906875299345;0,0526315789473684
"484";"31003010092P6";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADM";"FEDERAL";"PÚBLICA";2013;"PROFISSIONAL";"3";"SUDESTE";"RJ";"UFF";"ADMINISTRAÇÃO";"MESTRADO PROF.";0,508661352981458;0,0625
"485";"31003010094P9";"ODONTOLOGIA";"ODON";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";"SUDESTE";"RJ";"UFF";"ODONTOLOGIA";"MESTRADO";0,427697262479871;0,05
"486";"31003010095P5";"GEOGRAFIA";"GEOG";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"3";"SUDESTE";"RJ";"UFF";"GEOGRAFIA";"MESTRADO";0,515638690715778;0,0588235294117647
"487";"31003010097P8";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFF";"SISTEMAS DE GESTÃO SUSTENTÁVEIS";"DOUTORADO";0,629055775142732;0,0909090909090909
"488";"31004016004P2";"SAÚDE COLETIVA";"SCOL";"ESTADUAL";"PÚBLICA";1974;"ACADÊMICO";"7";"SUDESTE";"RJ";"UERJ";"SAÚDE COLETIVA";"MESTRADO/DOUTORADO";0,435824600165532;0,15625
"489";"31004016008P8";"ODONTOLOGIA";"ODON";"ESTADUAL";"PÚBLICA";1982;"ACADÊMICO";"5";"SUDESTE";"RJ";"UERJ";"ODONTOLOGIA";"MESTRADO/DOUTORADO";0,350830069722593;0,0666666666666667
"490";"31004016013P1";"PSICOLOGIA";"PSICO";"ESTADUAL";"PÚBLICA";1991;"ACADÊMICO";"5";"SUDESTE";"RJ";"UERJ";"PSICOLOGIA SOCIAL";"MESTRADO/DOUTORADO";0,461906723713917;0,125
"491";"31004016015P4";"DIREITO";"DIRE";"ESTADUAL";"PÚBLICA";1991;"ACADÊMICO";"4";"SUDESTE";"RJ";"UERJ";"DIREITO";"MESTRADO/DOUTORADO";0,294747051402988;0,0131578947368421
"492";"31004016021P4";"INTERDISCIPLINAR";"INTE";"ESTADUAL";"PÚBLICA";1995;"ACADÊMICO";"5";"SUDESTE";"RJ";"UERJ";"MODELAGEM COMPUTACIONAL";"MESTRADO/DOUTORADO";0,445646896597554;1,47368421052632
"493";"31004016031P0";"ENGENHARIAS I";"ENGI";"ESTADUAL";"PÚBLICA";1999;"PROFISSIONAL";"5";"SUDESTE";"RJ";"UERJ";"ENGENHARIA AMBIENTAL";"MESTRADO PROF.";0,533769819077655;0,263157894736842
"494";"31004016034P9";"ENGENHARIAS I";"ENGI";"ESTADUAL";"PÚBLICA";2003;"ACADÊMICO";"4";"SUDESTE";"RJ";"UERJ";"ENGENHARIA CIVIL";"MESTRADO/DOUTORADO";0,340731942624144;0,214285714285714
"495";"31004016035P5";"GEOGRAFIA";"GEOG";"ESTADUAL";"PÚBLICA";2002;"ACADÊMICO";"5";"SUDESTE";"RJ";"UERJ";"GEOGRAFIA";"MESTRADO/DOUTORADO";0,351039332628836;0,0526315789473684
"496";"31004016039P0";"ARTES / MÚSICA";"ARTE";"ESTADUAL";"PÚBLICA";2005;"ACADÊMICO";"5";"SUDESTE";"RJ";"UERJ";"ARTES";"MESTRADO/DOUTORADO";0,560122059505961;0,0434782608695652
"497";"31004016040P9";"INTERDISCIPLINAR";"INTE";"ESTADUAL";"PÚBLICA";2005;"ACADÊMICO";"6";"SUDESTE";"RJ";"UERJ";"POLÍTICAS PÚBLICAS E FORMAÇÃO HUMANA";"MESTRADO/DOUTORADO";0,575509167609351;0,266666666666667
"498";"31004016041P5";"ARQUITETURA, URBANISMO E DESIGN";"ARQU";"ESTADUAL";"PÚBLICA";2005;"ACADÊMICO";"4";"SUDESTE";"RJ";"UERJ";"DESIGN";"MESTRADO/DOUTORADO";0,576129815961472;0,1875
"499";"31004016042P1";"SAÚDE COLETIVA";"SCOL";"ESTADUAL";"PÚBLICA";2000;"PROFISSIONAL";"4";"SUDESTE";"RJ";"UERJ";"SAÚDE COLETIVA";"MESTRADO PROF.";0,627562830687831;0,111111111111111
"500";"31004016043P8";"ENGENHARIAS IV";"ENGIV";"ESTADUAL";"PÚBLICA";2006;"ACADÊMICO";"3";"SUDESTE";"RJ";"UERJ";"ENGENHARIA ELETRÔNICA";"MESTRADO";0,468745753337377;0,666666666666667
"501";"31004016044P4";"ENGENHARIAS III";"ENGIII";"ESTADUAL";"PÚBLICA";2006;"ACADÊMICO";"4";"SUDESTE";"RJ";"UERJ";"ENGENHARIA MECÂNICA";"MESTRADO/DOUTORADO";0,498892529121864;1,08333333333333
"502";"31004016048P0";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADM";"ESTADUAL";"PÚBLICA";2006;"ACADÊMICO";"3";"SUDESTE";"RJ";"UERJ";"CIÊNCIAS CONTÁBEIS";"MESTRADO";0,616679664289958;0,133333333333333
"503";"31004016049P6";"ENGENHARIAS II";"ENGII";"ESTADUAL";"PÚBLICA";2007;"ACADÊMICO";"3";"SUDESTE";"RJ";"UERJ";"CIÊNCIA E TECNOLOGIA DE MATERIAIS";"MESTRADO";0,618042452830189;0,75
"504";"31004016053P3";"INTERDISCIPLINAR";"INTE";"ESTADUAL";"PÚBLICA";2008;"ACADÊMICO";"3";"SUDESTE";"RJ";"UERJ";"CIÊNCIAS COMPUTACIONAIS";"MESTRADO";0,475226498174044;0,275862068965517
"505";"31004016054P0";"GEOCIÊNCIAS";"GEOC";"ESTADUAL";"PÚBLICA";2008;"ACADÊMICO";"4";"SUDESTE";"RJ";"UERJ";"OCEANOGRAFIA";"MESTRADO/DOUTORADO";0,547099299731666;0,0588235294117647
"506";"31004016055P6";"BIODIVERSIDADE";"BIOD";"ESTADUAL";"PÚBLICA";2009;"ACADÊMICO";"4";"SUDESTE";"RJ";"UERJ";"BIOLOGIA VEGETAL";"MESTRADO/DOUTORADO";0,389233001194208;0,133333333333333
"507";"31004016063P9";"ENSINO";"ENSI";"ESTADUAL";"PÚBLICA";2012;"ACADÊMICO";"3";"SUDESTE";"RJ";"UERJ";"ENSINO DE CIÊNCIAS, AMBIENTE E SOCIEDADE";"MESTRADO";0,603628842288948;0,142857142857143
"508";"31004016064P5";"ENSINO";"ENSI";"ESTADUAL";"PÚBLICA";2014;"PROFISSIONAL";"4";"SUDESTE";"RJ";"UERJ";"ENSINO EM EDUCAÇÃO BÁSICA";"MESTRADO PROF.";0,577410202410202;0,0952380952380952
"509";"31004016156P7";"ENGENHARIAS I";"ENGI";"ESTADUAL";"PÚBLICA";2015;"ACADÊMICO";"4";"SUDESTE";"RJ";"UERJ";"ENGENHARIA AMBIENTAL - DEAMB";"DOUTORADO";0,640465668590669;0,272727272727273
"510";"31005012002P6";"ASTRONOMIA / FÍSICA";"AFIS";"PARTICULAR";"PRIVADA";1965;"ACADÊMICO";"6";"SUDESTE";"RJ";"PUC-RIO";"FÍSICA";"MESTRADO/DOUTORADO";0,419095599051978;0,0526315789473684
"511";"31005012004P9";"CIÊNCIA DA COMPUTAÇÃO";"CCOMP";"PARTICULAR";"PRIVADA";1967;"ACADÊMICO";"7";"SUDESTE";"RJ";"PUC-RIO";"INFORMÁTICA";"MESTRADO/DOUTORADO";0,472162906537907;0,653846153846154
"512";"31005012005P5";"QUÍMICA";"QUIM";"PARTICULAR";"PRIVADA";1969;"ACADÊMICO";"5";"SUDESTE";"RJ";"PUC-RIO";"QUÍMICA";"MESTRADO/DOUTORADO";0,427943868140055;0,117647058823529
"513";"31005012009P0";"PSICOLOGIA";"PSICO";"PARTICULAR";"PRIVADA";1966;"ACADÊMICO";"5";"SUDESTE";"RJ";"PUC-RIO";"PSICOLOGIA (PSICOLOGIA CLÍNICA)";"MESTRADO/DOUTORADO";0,329554256873284;0,0555555555555556
"514";"31005012010P9";"ENGENHARIAS I";"ENGI";"PARTICULAR";"PRIVADA";1965;"ACADÊMICO";"6";"SUDESTE";"RJ";"PUC-RIO";"ENGENHARIA CIVIL";"MESTRADO/DOUTORADO";0,330162493485553;0,1875
"515";"31005012011P5";"ENGENHARIAS IV";"ENGIV";"PARTICULAR";"PRIVADA";1963;"ACADÊMICO";"6";"SUDESTE";"RJ";"PUC-RIO";"ENGENHARIA ELÉTRICA";"MESTRADO/DOUTORADO";0,48137740824191;0,333333333333333
"516";"31005012012P1";"ENGENHARIAS III";"ENGIII";"PARTICULAR";"PRIVADA";1964;"ACADÊMICO";"7";"SUDESTE";"RJ";"PUC-RIO";"ENGENHARIA MECÂNICA";"MESTRADO/DOUTORADO";0,415883537758538;0,380952380952381
"517";"31005012014P4";"ENGENHARIAS III";"ENGIII";"PARTICULAR";"PRIVADA";1967;"ACADÊMICO";"5";"SUDESTE";"RJ";"PUC-RIO";"ENGENHARIA DE PRODUÇÃO";"MESTRADO/DOUTORADO";0,610345017636684;1,42857142857143
