"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"SG_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"NM_REGIAO";"SG_UF_PROGRAMA";"SG_ENTIDADE_ENSINO";"NM_PROGRAMA_IES";"NM_GRAU_PROGRAMA";"IMI";"IPT"
"23";"15001016010P8";"ENGENHARIAS II";"ENGII";"FEDERAL";"PÚBLICA";1992;"ACADÊMICO";"3";"NORTE";"PA";"UFPA";"ENGENHARIA QUÍMICA";"MESTRADO";0,450666063005391;0,833333333333333
"24";"15001016018P9";"ENGENHARIAS III";"ENGIII";"FEDERAL";"PÚBLICA";1994;"ACADÊMICO";"3";"NORTE";"PA";"UFPA";"ENGENHARIA MECÂNICA";"MESTRADO";0,399901397340545;0,235294117647059
"25";"15001016028P4";"ZOOTECNIA / RECURSOS PESQUEIROS";"ZOOT";"FEDERAL";"PÚBLICA";1999;"ACADÊMICO";"4";"NORTE";"PA";"UFPA";"CIÊNCIA ANIMAL";"MESTRADO/DOUTORADO";0,438231064498325;0,0476190476190476
"26";"15001016031P5";"ENGENHARIAS I";"ENGI";"FEDERAL";"PÚBLICA";1999;"ACADÊMICO";"4";"NORTE";"PA";"UFPA";"ENGENHARIA CIVIL";"MESTRADO/DOUTORADO";0,424763943785683;0,0909090909090909
"27";"15001016032P1";"CIÊNCIAS BIOLÓGICAS I";"CBI";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"6";"NORTE";"PA";"UFPA";"GENÉTICA E BIOLOGIA MOLECULAR";"MESTRADO/DOUTORADO";0,426220665941211;0,421052631578947
"28";"15001016033P8";"ENSINO";"ENSI";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"4";"NORTE";"PA";"UFPA";"EDUCAÇÃO EM CIÊNCIAS E MATEMÁTICAS";"MESTRADO/DOUTORADO";0,464652684480271;0,0952380952380952
"29";"15001016035P0";"EDUCAÇÃO";"EDUC";"FEDERAL";"PÚBLICA";2003;"ACADÊMICO";"4";"NORTE";"PA";"UFPA";"EDUCAÇÃO";"MESTRADO/DOUTORADO";0,436814365811863;0,0416666666666667
"30";"15001016037P3";"ASTRONOMIA / FÍSICA";"AFIS";"FEDERAL";"PÚBLICA";2002;"ACADÊMICO";"4";"NORTE";"PA";"UFPA";"FÍSICA";"MESTRADO/DOUTORADO";0,312108981942291;1,42857142857143
"31";"15001016039P6";"ODONTOLOGIA";"ODON";"FEDERAL";"PÚBLICA";2003;"ACADÊMICO";"3";"NORTE";"PA";"UFPA";"ODONTOLOGIA";"MESTRADO";0,365313852813853;0,214285714285714
"32";"15001016040P4";"CIÊNCIAS BIOLÓGICAS III";"CBIII";"FEDERAL";"PÚBLICA";2004;"ACADÊMICO";"5";"NORTE";"PA";"UFPA";"BIOLOGIA DE AGENTES INFECCIOSOS E PARASITÁRIOS";"MESTRADO/DOUTORADO";0,431824186651132;0,130434782608696
"33";"15001016041P0";"MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA";"MAPE";"FEDERAL";"PÚBLICA";2004;"ACADÊMICO";"4";"NORTE";"PA";"UFPA";"MATEMÁTICA E ESTATÍSTICA";"MESTRADO";0,546011904761905;0,125
"34";"15001016044P0";"CIÊNCIAS BIOLÓGICAS II";"CBII";"FEDERAL";"PÚBLICA";2004;"ACADÊMICO";"4";"NORTE";"PA";"UFPA";"NEUROCIÊNCIAS E BIOLOGIA CELULAR";"MESTRADO/DOUTORADO";0,432169499414191;0,392857142857143
"35";"15001016045P6";"PSICOLOGIA";"PSICO";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"4";"NORTE";"PA";"UFPA";"PSICOLOGIA";"MESTRADO/DOUTORADO";0,512528594771242;0,142857142857143
"36";"15001016047P9";"CIÊNCIA DA COMPUTAÇÃO";"CCOMP";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"4";"NORTE";"PA";"UFPA";"CIÊNCIA DA COMPUTAÇÃO";"MESTRADO/DOUTORADO";0,460315561631351;0,15
"37";"15001016049P1";"FARMÁCIA";"FARM";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"3";"NORTE";"PA";"UFPA";"CIÊNCIAS FARMACÊUTICAS";"MESTRADO";0,542470905189929;0,529411764705882
"38";"15001016050P0";"ECONOMIA";"ECON";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"4";"NORTE";"PA";"UFPA";"ECONOMIA";"MESTRADO/DOUTORADO";0,497914046121593;0,166666666666667
"39";"15001016051P6";"ENGENHARIAS III";"ENGIII";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"4";"NORTE";"PA";"UFPA";"ENGENHARIA DE RECURSOS NATURAIS DA AMAZÔNIA";"DOUTORADO";0,401017156862745;0,5625
"40";"15001016055P1";"ARTES / MÚSICA";"ARTE";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"4";"NORTE";"PA";"UFPA";"ARTES";"MESTRADO/DOUTORADO";0,582587508984981;0,111111111111111
"41";"15001016059P7";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2008;"PROFISSIONAL";"4";"NORTE";"PA";"UFPA";"GESTAO DOS RECURSOS NATURAIS E DESENVOLVIMENTO LOCAL NA AMAZONIA";"MESTRADO PROF.";0,645390325670498;0,133333333333333
"42";"15001016060P5";"ANTROPOLOGIA / ARQUEOLOGIA";"ANTR";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"4";"NORTE";"PA";"UFPA";"ANTROPOLOGIA";"MESTRADO/DOUTORADO";0,548908886533799;0,111111111111111
"43";"15001016063P4";"ARQUITETURA, URBANISMO E DESIGN";"ARQU";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";"NORTE";"PA";"UFPA";"ARQUITETURA E URBANISMO";"MESTRADO";0,497839199288475;0,0769230769230769
"44";"15001016068P6";"BIOTECNOLOGIA";"BIOT";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"4";"NORTE";"PA";"UFPA";"BIOTECNOLOGIA";"MESTRADO/DOUTORADO";0,53730948277706;0,444444444444444
"45";"15001016071P7";"MEDICINA I";"MEDI";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"4";"NORTE";"PA";"UFPA";"ONCOLOGIA E CIÊNCIAS MÉDICAS";"MESTRADO/DOUTORADO";0,460027589153992;0,136363636363636
"46";"15001016073P0";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADM";"FEDERAL";"PÚBLICA";2012;"PROFISSIONAL";"3";"NORTE";"PA";"UFPA";"GESTÃO PÚBLICA";"MESTRADO PROF.";0,696291279669763;0,0714285714285714
"47";"15001016075P2";"ENGENHARIAS III";"ENGIII";"FEDERAL";"PÚBLICA";2013;"PROFISSIONAL";"3";"NORTE";"PA";"UFPA";"ENGENHARIA DE PROCESSOS";"MESTRADO PROF.";0,463758500530639;0,294117647058824
"48";"15001016076P9";"CIÊNCIAS AMBIENTAIS";"CAMB";"FEDERAL";"PÚBLICA";2012;"PROFISSIONAL";"3";"NORTE";"PA";"UFPA";"CIÊNCIAS E MEIO AMBIENTE";"MESTRADO PROF.";0,539178471541172;0,714285714285714
"49";"15001016077P5";"CIÊNCIAS BIOLÓGICAS I";"CBI";"FEDERAL";"PÚBLICA";2013;"PROFISSIONAL";"4";"NORTE";"PA";"UFPA";"ANÁLISES CLÍNICAS";"MESTRADO PROF.";0,56880787037037;0,25
"50";"15001016078P1";"ENSINO";"ENSI";"FEDERAL";"PÚBLICA";2014;"PROFISSIONAL";"4";"NORTE";"PA";"UFPA";"DOCÊNCIA EM EDUCAÇÃO EM CIÊNCIAS E MATEMÁTICAS";"MESTRADO PROF.";0,543459412970283;0,173913043478261
"51";"15001016079P8";"SAÚDE COLETIVA";"SCOL";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"3";"NORTE";"PA";"UFPA";"SAÚDE, AMBIENTE E SOCIEDADE NA AMAZÔNIA";"MESTRADO";0,624999390035622;0,0833333333333333
"52";"15001016080P6";"GEOCIÊNCIAS";"GEOC";"FEDERAL";"PÚBLICA";2015;"PROFISSIONAL";"3";"NORTE";"PA";"UFPA";"RECURSOS HÍDRICOS";"MESTRADO PROF.";0,622420634920635;0,1
"53";"15001016084P1";"PSICOLOGIA";"PSICO";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"3";"NORTE";"PA";"UFPA";"NEUROCIÊNCIAS E COMPORTAMENTO";"MESTRADO";0,532027404457718;0,125
"54";"15001016085P8";"ENGENHARIAS III";"ENGIII";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"3";"NORTE";"PA";"UFPA";"ENGENHARIA NAVAL";"MESTRADO";0,685542929292929;0,1
"55";"15001016086P4";"FARMÁCIA";"FARM";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"3";"NORTE";"PA";"UFPA";"QUÍMICA MEDICINAL E MODELAGEM MOLECULAR";"MESTRADO";0,606769374416433;0,176470588235294
"56";"15002012007P3";"BIOTECNOLOGIA";"BIOT";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";"NORTE";"PA";"UFRA";"BIOTECNOLOGIA APLICADA À AGROPECUÁRIA";"MESTRADO";0,647966657525481;0,0909090909090909
"57";"15002012008P0";"CIÊNCIAS AGRÁRIAS I";"CAGRI";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"4";"NORTE";"PA";"UFRA";"CIÊNCIAS FLORESTAIS";"MESTRADO/DOUTORADO";0,441269540644541;0,166666666666667
"58";"15004015004P7";"PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA";"PLUR";"PARTICULAR";"PRIVADA";2007;"ACADÊMICO";"3";"NORTE";"PA";"UNAMA";"DESENVOLVIMENTO E MEIO AMBIENTE URBANO";"MESTRADO";0,831465455840456;0,111111111111111
"59";"15004015005P3";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADM";"PARTICULAR";"PRIVADA";2009;"ACADÊMICO";"4";"NORTE";"PA";"UNAMA";"ADMINISTRAÇÃO";"MESTRADO/DOUTORADO";0,568836887158898;0,0833333333333333
"60";"15006018002P7";"CIÊNCIAS BIOLÓGICAS III";"CBIII";"ESTADUAL";"PÚBLICA";2009;"ACADÊMICO";"4";"NORTE";"PA";"UEPA";"BIOLOGIA PARASITÁRIA NA AMAZÔNIA";"MESTRADO/DOUTORADO";0,49198859672074;0,15
"61";"15006018006P2";"ENSINO";"ENSI";"ESTADUAL";"PÚBLICA";2012;"PROFISSIONAL";"3";"NORTE";"PA";"UEPA";"ENSINO EM SAÚDE NA AMAZÔNIA";"MESTRADO PROF.";0,617890211640212;0,333333333333333
"62";"15006018007P9";"MEDICINA III";"MEDIII";"ESTADUAL";"PÚBLICA";2014;"PROFISSIONAL";"3";"NORTE";"PA";"UEPA";"CIRURGIA E PESQUISA EXPERIMENTAL";"MESTRADO PROF.";0,512301587301587;0,0714285714285714
"63";"15010015001P4";"BIODIVERSIDADE";"BIOD";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";"NORTE";"PA";"UFOPA";"RECURSOS AQUÁTICOS CONTINENTAIS AMAZÔNICOS";"MESTRADO";0,536887089518668;0,166666666666667
"64";"15010015002P0";"CIÊNCIAS AMBIENTAIS";"CAMB";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";"NORTE";"PA";"UFOPA";"RECURSOS NATURAIS DA AMAZÔNIA";"MESTRADO";0,618936445701797;0,105263157894737
"65";"15010015003P7";"CIÊNCIAS AMBIENTAIS";"CAMB";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"4";"NORTE";"PA";"UFOPA";"SOCIEDADE, NATUREZA E DESENVOLVIMENTO";"DOUTORADO";0,636866471734893;0,0526315789473684
"66";"15010015004P3";"CIÊNCIAS BIOLÓGICAS II";"CBII";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";"NORTE";"PA";"UFOPA";"BIOCIÊNCIAS";"MESTRADO";0,577716861598441;0,105263157894737
"67";"15025012001P8";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";"NORTE";"PA";"UNIFESSPA";"DINÂMICAS TERRITORIAIS E SOCIEDADE NA AMAZÔNIA";"MESTRADO";0,68435257029007;0,0714285714285714
"68";"16003012002P0";"ZOOTECNIA / RECURSOS PESQUEIROS";"ZOOT";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"4";"NORTE";"TO";"UFT";"CIÊNCIA ANIMAL TROPICAL";"MESTRADO/DOUTORADO";0,341298076923077;0,0769230769230769
"69";"16003012003P7";"CIÊNCIAS AGRÁRIAS I";"CAGRI";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"4";"NORTE";"TO";"UFT";"PRODUÇÃO VEGETAL";"MESTRADO/DOUTORADO";0,438325027685493;0,375
"70";"16003012004P3";"PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA";"PLUR";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"4";"NORTE";"TO";"UFT";"DESENVOLVIMENTO REGIONAL";"MESTRADO/DOUTORADO";0,643513057221599;0,0625
"71";"16003012005P0";"CIÊNCIAS AGRÁRIAS I";"CAGRI";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"3";"NORTE";"TO";"UFT";"AGROENERGIA";"MESTRADO";0,605184659090909;0,3
"72";"16003012007P2";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2007;"PROFISSIONAL";"3";"NORTE";"TO";"UFT";"CIÊNCIAS DA SAÚDE";"MESTRADO PROF.";0,664970578312297;0,384615384615385
"73";"16003012010P3";"ENGENHARIAS I";"ENGI";"FEDERAL";"PÚBLICA";2011;"PROFISSIONAL";"3";"NORTE";"TO";"UFT";"ENGENHARIA AMBIENTAL";"MESTRADO PROF.";0,748926597968937;0,333333333333333
"74";"16003012012P6";"CIÊNCIA DE ALIMENTOS";"CALIM";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";"NORTE";"TO";"UFT";"CIÊNCIA E TECNOLOGIA DE ALIMENTOS";"MESTRADO";0,699067203177258;0,307692307692308
"75";"16003012014P9";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2012;"PROFISSIONAL";"3";"NORTE";"TO";"UFT";"MODELAGEM COMPUTACIONAL DE SISTEMAS";"MESTRADO PROF.";0,623322510822511;0,727272727272727
"76";"16003012015P5";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2013;"PROFISSIONAL";"3";"NORTE";"TO";"UFT";"PRESTAÇÃO JURISDICIONAL E DIREITOS HUMANOS";"MESTRADO PROF.";0,510971952883718;0,0769230769230769
"77";"16003012016P1";"CIÊNCIAS AGRÁRIAS I";"CAGRI";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";"NORTE";"TO";"UFT";"CIÊNCIAS FLORESTAIS E AMBIENTAIS";"MESTRADO";0,574490052431229;0,666666666666667
"78";"16003012017P8";"PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA";"PLUR";"FEDERAL";"PÚBLICA";2013;"PROFISSIONAL";"3";"NORTE";"TO";"UFT";"GESTÃO DE POLÍTICAS PÚBLICAS";"MESTRADO PROF.";0,581890175098379;0,142857142857143
"79";"16003012159P7";"LETRAS / LINGUÍSTICA";"LETR";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"3";"NORTE";"TO";"UFT";"LETRAS";"MESTRADO";0,540109142533711;0,107142857142857
"80";"20001010004P2";"QUÍMICA";"QUIM";"FEDERAL";"PÚBLICA";1995;"ACADÊMICO";"3";"NORDESTE";"MA";"UFMA";"QUÍMICA";"MESTRADO";0,459204657315122;0,333333333333333
"81";"20001010006P5";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";1996;"ACADÊMICO";"3";"NORDESTE";"MA";"UFMA";"SAÚDE E AMBIENTE";"MESTRADO";0,65652233890237;0,2
