"";"DS_DEPENDENCIA_ADMINISTRATIVA";"m_IMI";"m_IPT";"md_IMI";"md_IPT";"v_IMI";"v_IPT";"d_IMI";"d_IPT";"pc_IMI";"pc_IPT";"cor"
"1";"PRIVADA";0,556510616563235;0,525868538430682;0,563996540619259;0,25;0,0114146223165422;0,488193379827148;0,106839235847802;0,698708365362222;19,1980588811753;132,867497159525;0,178122050939056
"2";"PÚBLICA";0,48926715273544;0,375552942719885;0,482197159565581;0,1875;0,0123381755962035;0,251065821658191;0,11107734060646;0,501064688097446;22,702799479883;133,420519745781;0,0263052063561273
