"";"NM_PROGRAMA_IES";"m_IMI";"m_IPT";"md_IMI";"md_IPT";"v_IMI";"v_IPT";"d_IMI";"d_IPT";"pc_IMI";"pc_IPT";"cor"
"517";"LETRAS: ESTUDOS DA LINGUAGEM";0,651254156633414;0,166666666666667;0,651254156633414;0,166666666666667;NA;NA;NA;NA;NA;NA;NA
"518";"LINGUÍSTICA";0,340777290448343;0,0555555555555556;0,340777290448343;0,0555555555555556;NA;NA;NA;NA;NA;NA;NA
"519";"LINGÜÍSTICA";0,33321925149551;0,0952380952380952;0,33321925149551;0,0952380952380952;NA;NA;NA;NA;NA;NA;NA
"520";"LINGÜÍSTICA APLICADA";0,40518061612377;0,0732323232323232;0,40518061612377;0,0732323232323232;0,00395448846415499;0,000624936230996837;0,0628847236151595;0,0249987245874032;15,5201707862427;34,136189436592;-1
"521";"LINGÜÍSTICA APLICADA E ESTUDOS DA LINGUAGEM";0,368707671957672;0,5;0,368707671957672;0,5;NA;NA;NA;NA;NA;NA;NA
"522";"LITERATURA E CULTURA";0,330698860277656;0,0588235294117647;0,330698860277656;0,0588235294117647;NA;NA;NA;NA;NA;NA;NA
"523";"MANEJO DE SOLO E ÁGUA";0,438688409391534;0,142857142857143;0,438688409391534;0,142857142857143;NA;NA;NA;NA;NA;NA;NA
"524";"MANEJO E CONSERVAÇÃO DE ECOSSISTEMAS NATURAIS E AGRÁRIOS";0,671473861283644;0,214285714285714;0,671473861283644;0,214285714285714;NA;NA;NA;NA;NA;NA;NA
"525";"MATEMÁTICA";0,406451147542075;0,0605788998372234;0,372021761133603;0,0487804878048781;0,00848962317976593;0,0012448782322393;0,0921391511778024;0,0352828319758959;22,6691821969243;58,242774416012;0,230830545007883
"526";"MATEMÁTICA APLICADA";0,37326525189343;0,0555555555555556;0,37326525189343;0,0555555555555556;NA;NA;NA;NA;NA;NA;NA
"527";"MATEMÁTICA APLICADA E ESTATISTICA";0,499799766741123;0,157894736842105;0,499799766741123;0,157894736842105;NA;NA;NA;NA;NA;NA;NA
"528";"MATEMÁTICA E ESTATÍSTICA";0,546011904761905;0,125;0,546011904761905;0,125;NA;NA;NA;NA;NA;NA;NA
"529";"MATERIAIS";0,529869832872978;1,09090909090909;0,529869832872978;1,09090909090909;0,00138736248997586;0,0165289256198347;0,037247315204936;0,128564869306645;7,02952176065193;11,7851130197758;1
"530";"MATERIAIS PARA ENGENHARIA";0,560106568937421;1,47058823529412;0,560106568937421;1,47058823529412;NA;NA;NA;NA;NA;NA;NA
"531";"MECATRÔNICA";0,509212365373203;1,72727272727273;0,509212365373203;1,72727272727273;NA;NA;NA;NA;NA;NA;NA
"532";"MEDIC.VETERIN.(HIG.VETER.PROC.TECN.PROD.ORIG.ANIMAL)";0,413613937958696;0,125;0,413613937958696;0,125;NA;NA;NA;NA;NA;NA;NA
"533";"MEDICAMENTOS E ASSISTÊNCIA FARMACÊUTICA";0,396946666125094;0,1;0,396946666125094;0,1;NA;NA;NA;NA;NA;NA;NA
"534";"MEDICINA";0,554062944523471;0,0625;0,554062944523471;0,0625;NA;NA;NA;NA;NA;NA;NA
"535";"MEDICINA (CIRURGIA TORÁCICA E CARDIOVASCULAR)";0,416367748295318;0,307692307692308;0,416367748295318;0,307692307692308;NA;NA;NA;NA;NA;NA;NA
"536";"MEDICINA (NEFROLOGIA)";0,508942287457912;0,0555555555555556;0,508942287457912;0,0555555555555556;NA;NA;NA;NA;NA;NA;NA
"537";"MEDICINA (OTORRINOLARINGOLOGIA)";0,353943785116386;0,176470588235294;0,353943785116386;0,176470588235294;NA;NA;NA;NA;NA;NA;NA
"538";"MEDICINA (UROLOGIA)";0,404143170426065;0,153846153846154;0,404143170426065;0,153846153846154;NA;NA;NA;NA;NA;NA;NA
"539";"MEDICINA E CIÊNCIAS DA SAÚDE.";0,439108202459682;0,12;0,439108202459682;0,12;NA;NA;NA;NA;NA;NA;NA
"540";"MEDICINA E SAÚDE";0,40723179641846;0,0952380952380952;0,40723179641846;0,0952380952380952;NA;NA;NA;NA;NA;NA;NA
"541";"MEDICINA INTERNA";0,438292197915297;0,346153846153846;0,438292197915297;0,346153846153846;NA;NA;NA;NA;NA;NA;NA
"542";"MEDICINA PEDIATRIA E SAUDE DA CRIANÇA";0,429079088952654;0,0625;0,429079088952654;0,0625;NA;NA;NA;NA;NA;NA;NA
"543";"MEDICINA TROPICAL";0,49678271141979;0,0798149219201851;0,490724374812818;0,0714285714285714;0,000331580151621697;0,00103723405144975;0,0182093424269438;0,0322061182300779;3,66545413283448;40,3509988549309;-0,867948072735148
"544";"MEDICINA TROPICAL E SAÚDE PÚBLICA";0,49351994141818;0,08;0,49351994141818;0,08;NA;NA;NA;NA;NA;NA;NA
"545";"MEDICINA VETERINÁRIA";0,349501391465677;0,363636363636364;0,349501391465677;0,363636363636364;NA;NA;NA;NA;NA;NA;NA
"546";"MEDICINA VETERINÁRIA ( CLÍNICA E REPRODUÇÃO ANIMAL)";0,338146798104103;0,578947368421053;0,338146798104103;0,578947368421053;NA;NA;NA;NA;NA;NA;NA
"547";"MEDICINA: CIÊNCIAS MÉDICAS";0,415218451050111;0,0526315789473684;0,415218451050111;0,0526315789473684;NA;NA;NA;NA;NA;NA;NA
"548";"MEIO AMBIENTE , ÁGUAS E SANEAMENTO";0,602272173489279;0,0666666666666667;0,602272173489279;0,0666666666666667;NA;NA;NA;NA;NA;NA;NA
"549";"MEIO AMBIENTE E DESENVOLVIMENTO REGIONAL";0,680691778830176;0,0588235294117647;0,680691778830176;0,0588235294117647;NA;NA;NA;NA;NA;NA;NA
"550";"MEIO AMBIENTE E RECURSOS HÍDRICOS";0,574823132114799;0,0625;0,574823132114799;0,0625;NA;NA;NA;NA;NA;NA;NA
"551";"MEIO AMBIENTE URBANO E INDUSTRIAL";0,597079686852239;0,0555555555555556;0,597079686852239;0,0555555555555556;NA;NA;NA;NA;NA;NA;NA
