"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"SG_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"NM_REGIAO";"SG_UF_PROGRAMA";"SG_ENTIDADE_ENSINO";"NM_PROGRAMA_IES";"NM_GRAU_PROGRAMA";"FCDo";"FCDi";"CC";"CP";"IMI"
"555";"26001012012P1";"ENGENHARIAS I";"ENGI";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"4";"NORDESTE";"AL";"UFAL";"ENGENHARIA CIVIL";"MESTRADO";0,166666666666667;0,222222222222222;0,544337606837607;0,363888888888889;0,324278846153846
"556";"26001012014P4";"ARQUITETURA, URBANISMO E DESIGN";"ARQU";"FEDERAL";"PÚBLICA";2003;"ACADÊMICO";"4";"NORDESTE";"AL";"UFAL";"DINÂMICA DO ESPAÇO HABITADO";"MESTRADO/DOUTORADO";0,587301587301587;0,320987654320988;0,488020833333333;0,456481481481481;0,463197889109347
"557";"26001012015P0";"MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA";"MAPE";"FEDERAL";"PÚBLICA";2004;"ACADÊMICO";"4";"NORDESTE";"AL";"UFAL";"MATEMÁTICA";"MESTRADO";0,121212121212121;0,75;0,514423076923077;0,733333333333333;0,529742132867133
"558";"26001012016P7";"SERVIÇO SOCIAL";"SSOC";"FEDERAL";"PÚBLICA";2004;"ACADÊMICO";"4";"NORDESTE";"AL";"UFAL";"SERVIÇO SOCIAL";"MESTRADO";0,388888888888889;0,222222222222222;0,498888888888889;0,541666666666667;0,412916666666667
"559";"26001012017P3";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2004;"ACADÊMICO";"3";"NORDESTE";"AL";"UFAL";"MODELAGEM COMPUTACIONAL DE CONHECIMENTO";"MESTRADO";0,571428571428572;0,657894736842105;0,608968058968059;0,375757575757576;0,553512235749078
"560";"26001012018P0";"DIREITO";"DIRE";"FEDERAL";"PÚBLICA";2002;"ACADÊMICO";"3";"NORDESTE";"AL";"UFAL";"DIREITO";"MESTRADO";0,270833333333333;0,208333333333333;1;0,34;0,454791666666667
"561";"26001012019P6";"ENGENHARIAS I";"ENGI";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"3";"NORDESTE";"AL";"UFAL";"RECURSOS HIDRICOS E SANEAMENTO";"MESTRADO";0,4;0,540540540540541;0,45995670995671;0,414583333333333;0,453770145957646
"562";"26001012020P4";"NUTRIÇÃO";"NUTR";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"4";"NORDESTE";"AL";"UFAL";"NUTRIÇÃO";"MESTRADO";0,533333333333333;0,58695652173913;0,4775;0,470614035087719;0,517100972540046
"563";"26001012022P7";"ENGENHARIAS II";"ENGII";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"3";"NORDESTE";"AL";"UFAL";"ENGENHARIA QUÍMICA";"MESTRADO";0,433333333333333;0,181818181818182;0,431124772313297;0,354166666666667;0,35011073853287
"564";"26001012023P3";"MEDICINA II";"MEDII";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"4";"NORDESTE";"AL";"UFAL";"CIÊNCIAS DA SAÚDE";"MESTRADO/DOUTORADO";0,651515151515151;0,27906976744186;0,469343891402715;0,494871794871795;0,47370015130788
"565";"26001012024P0";"ECONOMIA";"ECON";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"3";"NORDESTE";"AL";"UFAL";"ECONOMIA";"MESTRADO";0,5;0,689655172413793;0,75;0,311458333333333;0,562778376436782
"566";"26001012025P6";"BIODIVERSIDADE";"BIOD";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";"NORDESTE";"AL";"UFAL";"DIVERSIDADE BIOLÓGICA E CONSERVAÇÃO NOS TRÓPICOS";"MESTRADO/DOUTORADO";0,5625;0,71875;0,6;0,626893939393939;0,627035984848485
"567";"26001012026P2";"ZOOTECNIA / RECURSOS PESQUEIROS";"ZOOT";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";"NORDESTE";"AL";"UFAL";"ZOOTECNIA";"MESTRADO";0,527777777777778;0,736842105263158;0,495833333333333;0,366071428571429;0,531631161236424
"568";"26001012028P5";"MATERIAIS";"MATE";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"4";"NORDESTE";"AL";"UFAL";"MATERIAIS";"DOUTORADO";0,545454545454545;0,571428571428571;0,529387755102041;0,367857142857143;0,503532003710575
"569";"26001012029P1";"CIÊNCIAS AGRÁRIAS I";"CAGRI";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"4";"NORDESTE";"AL";"UFAL";"PROTEÇÃO DE PLANTAS";"MESTRADO/DOUTORADO";0,458333333333333;0,444444444444444;0,483333333333333;0,500462962962963;0,471643518518518
"570";"26001012030P0";"ENFERMAGEM";"ENFE";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";"NORDESTE";"AL";"UFAL";"ENFERMAGEM";"MESTRADO";0,352941176470588;0,510204081632653;0,494444444444444;0,483333333333333;0,460230758970255
"571";"26001012031P6";"ENSINO";"ENSI";"FEDERAL";"PÚBLICA";2011;"PROFISSIONAL";"3";"NORDESTE";"AL";"UFAL";"ENSINO NA SAÚDE";"MESTRADO PROF.";0,614035087719298;0,328571428571429;0,93667328042328;0,46;0,584819949178502
"572";"26001012032P2";"PSICOLOGIA";"PSICO";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";"NORDESTE";"AL";"UFAL";"PSICOLOGIA";"MESTRADO";0,256410256410256;0,372549019607843;0,486296296296296;0,437037037037037;0,388073152337858
"573";"26001012033P9";"CIÊNCIAS AGRÁRIAS I";"CAGRI";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";"NORDESTE";"AL";"UFAL";"AGRICULTURA E AMBIENTE";"MESTRADO";0,571428571428572;0,738095238095238;0,681818181818182;0,466666666666667;0,614502164502165
"574";"26001012034P5";"HISTÓRIA";"HIST";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";"NORDESTE";"AL";"UFAL";"HISTÓRIA";"MESTRADO";0,351851851851852;0,65;0,722222222222222;0,426515151515152;0,537647306397306
"575";"26001012035P1";"CIÊNCIA DA COMPUTAÇÃO";"CCOMP";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";"NORDESTE";"AL";"UFAL";"INFORMÁTICA";"MESTRADO";0,520833333333333;0,6875;0,483796296296296;0,5125;0,551157407407407
"576";"26001012036P8";"FARMÁCIA";"FARM";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";"NORDESTE";"AL";"UFAL";"CIÊNCIAS FARMACÊUTICAS";"MESTRADO";0,688888888888889;0,578947368421053;0,488015206082433;0,455555555555556;0,552851754736983
"577";"26001012038P0";"GEOGRAFIA";"GEOG";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"3";"NORDESTE";"AL";"UFAL";"GEOGRAFIA";"MESTRADO";0,37037037037037;0,571428571428571;1,05;0,45125;0,610762235449736
"578";"26001012082P0";"ANTROPOLOGIA / ARQUEOLOGIA";"ANTR";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"3";"NORDESTE";"AL";"UFAL";"ANTROPOLOGIA SOCIAL";"MESTRADO";0,5;0,766666666666667;0,594551282051282;0,464102564102564;0,581330128205128
"579";"27001016007P0";"CIÊNCIAS AMBIENTAIS";"CAMB";"FEDERAL";"PÚBLICA";1995;"ACADÊMICO";"5";"NORDESTE";"SE";"FUFSE";"DESENVOLVIMENTO E MEIO AMBIENTE";"MESTRADO";0,681818181818182;0,426829268292683;0,763235294117647;0,666666666666667;0,634637352723795
"580";"27001016009P3";"MEDICINA I";"MEDI";"FEDERAL";"PÚBLICA";2002;"ACADÊMICO";"5";"NORDESTE";"SE";"FUFSE";"CIÊNCIAS DA SAUDE";"MESTRADO/DOUTORADO";0,561904761904762;0,192592592592593;0,527420113632251;0,5;0,445479367032401
"581";"27001016014P7";"ENGENHARIAS II";"ENGII";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"3";"NORDESTE";"SE";"FUFSE";"ENGENHARIA QUÍMICA";"MESTRADO";0,3;0,593220338983051;0,599431818181818;0,666666666666667;0,539829705957884
"582";"27001016016P0";"CIÊNCIA DE ALIMENTOS";"CALIM";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"3";"NORDESTE";"SE";"FUFSE";"CIÊNCIA E TECNOLOGIA DE ALIMENTOS";"MESTRADO";0,933333333333333;0,611111111111111;0,75;0,333333333333333;0,656944444444444
"583";"27001016028P8";"CIÊNCIAS BIOLÓGICAS III";"CBIII";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";"NORDESTE";"SE";"FUFSE";"BIOLOGIA PARASITARIA";"MESTRADO";0,725490196078431;0,527777777777778;0,571428571428571;0,333333333333333;0,539507469654528
"584";"27001016029P4";"CIÊNCIA DA COMPUTAÇÃO";"CCOMP";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";"NORDESTE";"SE";"FUFSE";"CIÊNCIA DA COMPUTAÇÃO";"MESTRADO";0,520833333333333;0,486486486486487;0,638045540796964;1;0,661341340154196
"585";"27001016036P0";"GEOCIÊNCIAS";"GEOC";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";"NORDESTE";"SE";"FUFSE";"GEOCIÊNCIAS E ANÁLISE DE BACIAS - PGAB";"MESTRADO";0,458333333333333;0,678571428571429;0,56020463741052;0,333333333333333;0,507610683162154
"586";"27001016037P7";"SERVIÇO SOCIAL";"SSOC";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";"NORDESTE";"SE";"FUFSE";"SERVIÇO SOCIAL";"MESTRADO";0,305555555555556;0,75;0,538888888888889;1;0,648611111111111
"587";"27001016048P9";"ENFERMAGEM";"ENFE";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"3";"NORDESTE";"SE";"FUFSE";"ENFERMAGEM";"MESTRADO";0,270833333333333;0,62962962962963;0,666666666666667;0,5;0,516782407407407
"588";"27002012002P5";"INTERDISCIPLINAR";"INTE";"PARTICULAR";"PRIVADA";2006;"ACADÊMICO";"4";"NORDESTE";"SE";"UNIT-SE";"SAÚDE E AMBIENTE";"MESTRADO/DOUTORADO";0,911111111111111;0,421052631578947;0,883928571428571;0,411842105263158;0,656983604845447
"589";"27002012003P1";"EDUCAÇÃO";"EDUC";"PARTICULAR";"PRIVADA";2010;"ACADÊMICO";"4";"NORDESTE";"SE";"UNIT-SE";"EDUCAÇÃO";"MESTRADO/DOUTORADO";0,515151515151515;0,473684210526316;0,542207207207207;0,54551282051282;0,519138938349465
"590";"27002012004P8";"BIOTECNOLOGIA";"BIOT";"PARTICULAR";"PRIVADA";2011;"ACADÊMICO";"4";"NORDESTE";"SE";"UNIT-SE";"BIOTECNOLOGIA INDUSTRIAL";"MESTRADO/DOUTORADO";0,692307692307692;0,487179487179487;0,8375;0,431111111111111;0,612024572649573
"591";"27002012005P4";"DIREITO";"DIRE";"PARTICULAR";"PRIVADA";2013;"ACADÊMICO";"3";"NORDESTE";"SE";"UNIT-SE";"DIREITOS HUMANOS";"MESTRADO";0,333333333333333;0,303571428571429;0,402539682539683;0,435;0,368611111111111
"592";"28001010001P9";"EDUCAÇÃO";"EDUC";"FEDERAL";"PÚBLICA";1972;"ACADÊMICO";"4";"NORDESTE";"BA";"UFBA";"EDUCAÇÃO";"MESTRADO/DOUTORADO";0,431372549019608;0,254716981132075;0,551257517769273;0,448449612403101;0,421449165081014
"593";"28001010002P5";"ASTRONOMIA / FÍSICA";"AFIS";"FEDERAL";"PÚBLICA";1975;"ACADÊMICO";"3";"NORDESTE";"BA";"UFBA";"FÍSICA";"MESTRADO/DOUTORADO";0,257575757575758;0,117647058823529;0,475;0,443686868686869;0,323477421271539
"594";"28001010003P1";"MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA";"MAPE";"FEDERAL";"PÚBLICA";1969;"ACADÊMICO";"4";"NORDESTE";"BA";"UFBA";"MATEMÁTICA";"MESTRADO";0,25;0,642857142857143;0,545454545454545;0,533928571428571;0,493060064935065
"595";"28001010004P8";"QUÍMICA";"QUIM";"FEDERAL";"PÚBLICA";1968;"ACADÊMICO";"5";"NORDESTE";"BA";"UFBA";"QUÍMICA";"MESTRADO/DOUTORADO";0,259259259259259;0,0888888888888889;0,431972789115646;0,401190476190476;0,295327853363568
"596";"28001010005P4";"GEOCIÊNCIAS";"GEOC";"FEDERAL";"PÚBLICA";1976;"ACADÊMICO";"3";"NORDESTE";"BA";"UFBA";"GEOLOGIA";"MESTRADO/DOUTORADO";0,333333333333333;0,169230769230769;0,420962999264886;0,305333333333333;0,30721510879058
"597";"28001010007P7";"GEOCIÊNCIAS";"GEOC";"FEDERAL";"PÚBLICA";1969;"ACADÊMICO";"4";"NORDESTE";"BA";"UFBA";"GEOFÍSICA";"MESTRADO/DOUTORADO";0,615384615384615;0,16;0,605392156862745;0,355555555555556;0,434083081950729
"598";"28001010010P8";"ECONOMIA";"ECON";"FEDERAL";"PÚBLICA";1973;"ACADÊMICO";"4";"NORDESTE";"BA";"UFBA";"ECONOMIA";"MESTRADO/DOUTORADO";0,395833333333333;0,179487179487179;0,958333333333333;0,381349206349206;0,478750763125763
"599";"28001010011P4";"MEDICINA II";"MEDII";"FEDERAL";"PÚBLICA";1973;"ACADÊMICO";"6";"NORDESTE";"BA";"UFBA";"PATOLOGIA HUMANA";"MESTRADO/DOUTORADO";0,545454545454545;0,375;0,483334611582643;0,561494252873563;0,491320852477688
"600";"28001010012P0";"MEDICINA I";"MEDI";"FEDERAL";"PÚBLICA";1972;"ACADÊMICO";"5";"NORDESTE";"BA";"UFBA";"MEDICINA E SAÚDE";"MESTRADO/DOUTORADO";0,301587301587302;0,326923076923077;0,521922183507549;0,478494623655914;0,40723179641846
"601";"28001010013P7";"SAÚDE COLETIVA";"SCOL";"FEDERAL";"PÚBLICA";1974;"ACADÊMICO";"7";"NORDESTE";"BA";"UFBA";"SAÚDE COLETIVA";"MESTRADO/DOUTORADO";0,37962962962963;0,282608695652174;0,512673611111111;0,5;0,418727984098229
"602";"28001010014P3";"ENFERMAGEM";"ENFE";"FEDERAL";"PÚBLICA";1979;"ACADÊMICO";"4";"NORDESTE";"BA";"UFBA";"ENFERMAGEM";"MESTRADO/DOUTORADO";0,291666666666667;0,125;0,302727673561007;0,375333333333333;0,273681918390252
"603";"28001010019P5";"ARQUITETURA, URBANISMO E DESIGN";"ARQU";"FEDERAL";"PÚBLICA";1983;"ACADÊMICO";"5";"NORDESTE";"BA";"UFBA";"ARQUITETURA E URBANISMO";"MESTRADO/DOUTORADO";0,419354838709677;0,365853658536585;0,574386724386724;0,420601851851852;0,44504926837121
"604";"28001010020P3";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADM";"FEDERAL";"PÚBLICA";1983;"ACADÊMICO";"5";"NORDESTE";"BA";"UFBA";"ADMINISTRAÇÃO";"MESTRADO/DOUTORADO";0,546666666666667;0,35;0,592064950980392;0,416666666666667;0,476349571078431
"605";"28001010021P0";"ENGENHARIAS II";"ENGII";"FEDERAL";"PÚBLICA";1988;"ACADÊMICO";"3";"NORDESTE";"BA";"UFBA";"ENGENHARIA QUÍMICA";"MESTRADO";0,333333333333333;0,714285714285714;0,556603773584906;0,432222222222222;0,509111260856544
"606";"28001010022P6";"HISTÓRIA";"HIST";"FEDERAL";"PÚBLICA";1990;"ACADÊMICO";"4";"NORDESTE";"BA";"UFBA";"HISTÓRIA";"MESTRADO/DOUTORADO";0,321428571428571;0,0967741935483871;0,629493464052288;0,404166666666667;0,362965723923978
"607";"28001010023P2";"SOCIOLOGIA";"SOCI";"FEDERAL";"PÚBLICA";1990;"ACADÊMICO";"5";"NORDESTE";"BA";"UFBA";"CIÊNCIAS SOCIAIS";"MESTRADO/DOUTORADO";0,43010752688172;0,269662921348315;0,598484848484849;0,35734126984127;0,413899141639038
"608";"28001010024P9";"COMUNICAÇÃO E INFORMAÇÃO";"31";"FEDERAL";"PÚBLICA";1990;"ACADÊMICO";"5";"NORDESTE";"BA";"UFBA";"COMUNICAÇÃO E CULTURA CONTEMPORÂNEA";"MESTRADO/DOUTORADO";0,621212121212121;0,318840579710145;0,605732292917167;0,516025641025641;0,515452658716268
"609";"28001010025P5";"CIÊNCIAS BIOLÓGICAS III";"CBIII";"FEDERAL";"PÚBLICA";1989;"ACADÊMICO";"5";"NORDESTE";"BA";"UFBA";"IMUNOLOGIA";"MESTRADO/DOUTORADO";0,518518518518518;0,25;0,447403100775194;0,66141975308642;0,469335343095033
"610";"28001010026P1";"ARTES / MÚSICA";"ARTE";"FEDERAL";"PÚBLICA";1990;"ACADÊMICO";"3";"NORDESTE";"BA";"UFBA";"MÚSICA";"MESTRADO/DOUTORADO";0,452380952380952;0,297872340425532;0,489549791293977;0,546875;0,446669521025115
"611";"28001010029P0";"ODONTOLOGIA";"ODON";"FEDERAL";"PÚBLICA";1992;"ACADÊMICO";"4";"NORDESTE";"BA";"UFBA";"ODONTOLOGIA E SAUDE";"MESTRADO/DOUTORADO";0,377777777777778;0,142857142857143;0,414473684210526;0,475462962962963;0,352642891952102
"612";"28001010030P9";"ARTES / MÚSICA";"ARTE";"FEDERAL";"PÚBLICA";1992;"ACADÊMICO";"4";"NORDESTE";"BA";"UFBA";"ARTES VISUAIS";"MESTRADO/DOUTORADO";0,583333333333333;0,475;0,824675324675325;0,379320987654321;0,565582411415745
"613";"28001010032P1";"GEOGRAFIA";"GEOG";"FEDERAL";"PÚBLICA";1994;"ACADÊMICO";"4";"NORDESTE";"BA";"UFBA";"GEOGRAFIA";"MESTRADO/DOUTORADO";0,4;0,32258064516129;0,516826923076923;0,43125;0,417664392059553
"614";"28001010035P0";"ARTES / MÚSICA";"ARTE";"FEDERAL";"PÚBLICA";1997;"ACADÊMICO";"6";"NORDESTE";"BA";"UFBA";"ARTES CÊNICAS";"MESTRADO/DOUTORADO";0,768115942028985;0,297619047619048;0,769808377896613;0,354947916666667;0,547622821052828
"615";"28001010036P7";"MEDICINA VETERINÁRIA";"MVET";"FEDERAL";"PÚBLICA";2000;"ACADÊMICO";"4";"NORDESTE";"BA";"UFBA";"CIÊNCIA ANIMAL NOS TRÓPICOS";"MESTRADO/DOUTORADO";0,450980392156863;0,160919540229885;0,364067739771965;0,405833333333333;0,345450251373012
"616";"28001010037P3";"ENGENHARIAS IV";"ENGIV";"FEDERAL";"PÚBLICA";1994;"ACADÊMICO";"3";"NORDESTE";"BA";"UFBA";"ENGENHARIA ELÉTRICA";"MESTRADO/DOUTORADO";0,377777777777778;0,337209302325581;0,468809523809524;0,433333333333333;0,404282484311554
"617";"28001010038P0";"ENGENHARIAS I";"ENGI";"FEDERAL";"PÚBLICA";1997;"ACADÊMICO";"4";"NORDESTE";"BA";"UFBA";"ENGENHARIA CIVIL";"MESTRADO";0,583333333333333;0,5;0,54093567251462;0,391287878787879;0,503889221158958
"618";"28001010039P6";"BIODIVERSIDADE";"BIOD";"FEDERAL";"PÚBLICA";2000;"ACADÊMICO";"6";"NORDESTE";"BA";"UFBA";"ECOLOGIA E BIOMONITORAMENTO";"MESTRADO/DOUTORADO";0,477777777777778;0,318181818181818;0,579166666666667;0,396929824561404;0,443014021796917
"619";"28001010041P0";"COMUNICAÇÃO E INFORMAÇÃO";"31";"FEDERAL";"PÚBLICA";2000;"ACADÊMICO";"4";"NORDESTE";"BA";"UFBA";"CIÊNCIA DA INFORMAÇÃO";"MESTRADO/DOUTORADO";0,568627450980392;0,403846153846154;0,645541958041958;0,481349206349206;0,524841192304428
"620";"28001010042P7";"FILOSOFIA";"FILO";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"5";"NORDESTE";"BA";"UFBA";"FILOSOFIA";"MESTRADO/DOUTORADO";0,303030303030303;0,289473684210526;0,933333333333333;0,429569892473118;0,48885180326182
"621";"28001010044P0";"PSICOLOGIA";"PSICO";"FEDERAL";"PÚBLICA";2002;"ACADÊMICO";"5";"NORDESTE";"BA";"UFBA";"PSICOLOGIA";"MESTRADO/DOUTORADO";0,333333333333333;0,140350877192982;0,529842342342342;0,573611111111111;0,394284415994942
"622";"28001010045P6";"ENGENHARIAS III";"ENGIII";"FEDERAL";"PÚBLICA";2003;"ACADÊMICO";"4";"NORDESTE";"BA";"UFBA";"MECATRÔNICA";"MESTRADO/DOUTORADO";0,636363636363636;0,476923076923077;0,546710896354247;0,376851851851852;0,509212365373203
"623";"28001010047P9";"NUTRIÇÃO";"NUTR";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"4";"NORDESTE";"BA";"UFBA";"ALIMENTOS, NUTRIÇÃO E SAÚDE";"MESTRADO/DOUTORADO";0,444444444444444;0,368421052631579;0,51;0,452898550724638;0,443941011950165
"624";"28001010048P5";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"4";"NORDESTE";"BA";"UFBA";"ESTUDOS ÉTNICOS E AFRICANOS";"MESTRADO/DOUTORADO";0,62962962962963;0,466666666666667;0,770833333333333;0,481896551724138;0,587256545338442
"625";"28001010049P1";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"4";"NORDESTE";"BA";"UFBA";"CULTURA E SOCIEDADE";"MESTRADO/DOUTORADO";0,595238095238095;0,452991452991453;0,621884057971014;0,452142857142857;0,530564115835855
"626";"28001010051P6";"SAÚDE COLETIVA";"SCOL";"FEDERAL";"PÚBLICA";2001;"PROFISSIONAL";"5";"NORDESTE";"BA";"UFBA";"SAÚDE COLETIVA";"MESTRADO PROF.";0,316239316239316;0,450980392156863;0,556902356902357;0,483196721311475;0,451829696652503
"627";"28001010052P2";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADM";"FEDERAL";"PÚBLICA";1998;"PROFISSIONAL";"4";"NORDESTE";"BA";"UFBA";"ADMINISTRAÇÃO";"MESTRADO PROF.";0,476190476190476;0,51;0,781189083820663;0,403333333333333;0,542678223336118
"628";"28001010053P9";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"4";"NORDESTE";"BA";"UFBA";"ENERGIA E AMBIENTE";"DOUTORADO";0,649122807017544;0,769230769230769;0,510289210233593;0,333641975308642;0,565571190447637
"629";"28001010054P5";"ARTES / MÚSICA";"ARTE";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"3";"NORDESTE";"BA";"UFBA";"DANÇA";"MESTRADO";0,549019607843137;0,52112676056338;0,759170653907496;0,388768115942029;0,554521284564011
"630";"28001010055P1";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2006;"PROFISSIONAL";"4";"NORDESTE";"BA";"UFBA";"DESENVOLVIMENTO E GESTÃO SOCIAL";"MESTRADO PROF.";0,466666666666667;0,894736842105263;0,95;0,415625;0,681757127192982
"631";"28001010056P8";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"4";"NORDESTE";"BA";"UFBA";"ESTUDOS INTERDISCIPLINARES SOBRE MULHERES, GÊNERO E FEMINISM";"MESTRADO/DOUTORADO";0,703703703703704;0,508771929824561;0,67948717948718;0,522666666666667;0,603657369920528
"632";"28001010058P0";"ANTROPOLOGIA / ARQUEOLOGIA";"ANTR";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"4";"NORDESTE";"BA";"UFBA";"ANTROPOLOGIA";"MESTRADO/DOUTORADO";0,568627450980392;0,548387096774194;0,685;0,43179012345679;0,558451167802844
"633";"28001010060P5";"SAÚDE COLETIVA";"SCOL";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"3";"NORDESTE";"BA";"UFBA";"SAÚDE, AMBIENTE E TRABALHO";"MESTRADO";0,595238095238095;0,39622641509434;0,525;0,551881720430108;0,517086557690636
"634";"28001010062P8";"ENGENHARIAS III";"ENGIII";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"5";"NORDESTE";"BA";"UFBA";"ENGENHARIA INDUSTRIAL";"MESTRADO/DOUTORADO";0,368421052631579;0,268722466960352;0,516226708074534;0,380416666666667;0,383446723583283
"635";"28001010063P4";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADM";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"3";"NORDESTE";"BA";"UFBA";"CONTABILIDADE";"MESTRADO";0,458333333333333;0,604651162790698;0,751623376623377;0,454166666666667;0,567193634853519
"636";"28001010067P0";"FARMÁCIA";"FARM";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";"NORDESTE";"BA";"UFBA";"FARMÁCIA";"MESTRADO";0,666666666666667;0,517241379310345;0,569121447028424;0,540873015873016;0,573475627219613
"637";"28001010071P7";"ENGENHARIAS III";"ENGIII";"FEDERAL";"PÚBLICA";2009;"PROFISSIONAL";"5";"NORDESTE";"BA";"UFBA";"ENGENHARIA INDUSTRIAL";"MESTRADO PROF.";0,444444444444444;0,7;0,722222222222222;0,435526315789474;0,575548245614035
"638";"28001010072P3";"MEDICINA I";"MEDI";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"5";"NORDESTE";"BA";"UFBA";"CIÊNCIAS DA SAÚDE";"MESTRADO/DOUTORADO";0,349206349206349;0,310344827586207;0,567559523809524;0,6875;0,47865267515052
"639";"28001010073P0";"GEOCIÊNCIAS";"GEOC";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"4";"NORDESTE";"BA";"UFBA";"GEOQUÍMICA: PETRÓLEO E MEIO AMBIENTE";"MESTRADO/DOUTORADO";0,619047619047619;0,741935483870968;0,769047619047619;0,3625;0,623132680491551
"640";"28001010075P2";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"4";"NORDESTE";"BA";"UFBA";"PROCESSOS INTERATIVOS DOS ÓRGÃOS E SISTEMAS";"MESTRADO/DOUTORADO";0,320512820512821;0,37037037037037;0,533437826541275;0,476666666666667;0,425246921022783
"641";"28001010076P9";"ENGENHARIAS I";"ENGI";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";"NORDESTE";"BA";"UFBA";"MEIO AMBIENTE , ÁGUAS E SANEAMENTO";"MESTRADO";0,8;0,611111111111111;0,553240740740741;0,444736842105263;0,602272173489279
"642";"28001010077P5";"ARQUITETURA, URBANISMO E DESIGN";"ARQU";"FEDERAL";"PÚBLICA";2010;"PROFISSIONAL";"4";"NORDESTE";"BA";"UFBA";"CECRE - CONSERVAÇÃO E RESTAURAÇÃO";"MESTRADO PROF.";0,233333333333333;0,461538461538462;0,57593370681606;0,355555555555556;0,406590264310853
"643";"28001010078P1";"LETRAS / LINGUÍSTICA";"LETR";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"4";"NORDESTE";"BA";"UFBA";"LÍNGUA E CULTURA";"MESTRADO/DOUTORADO";0,296296296296296;0,224;0,463181818181818;0,405487804878049;0,347241479839041
"644";"28001010079P8";"LETRAS / LINGUÍSTICA";"LETR";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"5";"NORDESTE";"BA";"UFBA";"LITERATURA E CULTURA";"MESTRADO/DOUTORADO";0,274509803921569;0,237623762376238;0,409947589098532;0,400714285714286;0,330698860277656
