"";"NM_REGIAO";"m_IMI";"m_IPT";"md_IMI";"md_IPT";"v_IMI";"v_IPT";"d_IMI";"d_IPT";"pc_IMI";"pc_IPT";"cor"
"1";"CENTRO-OESTE";0,515519050639772;0,323240945861901;0,516039264215829;0,179144385026738;0,00907691720413558;0,139142782822881;0,095272856596911;0,373018475176338;18,4809574890928;115,399512330255;0,0043121132490138
"2";"NORDESTE";0,494799748593103;0,481405023183119;0,493060064935065;0,227272727272727;0,0117669290705302;0,390675264601112;0,10847547681633;0,625040210387389;21,9231066961464;129,836661498572;0,163886066737179
"3";"NORTE";0,532768696911809;0,295307820045612;0,540109142533711;0,15;0,0119479949773665;0,0938504054881215;0,109306884400602;0,306350135446553;20,5167617831525;103,739256007252;-0,288646176006958
"4";"SUDESTE";0,491721014435785;0,344003406088348;0,48328818264268;0,1875;0,0133492574880923;0,171833550637217;0,115538986874961;0,414528105967758;23,4968576658318;120,501163253394;0,0534927731621379
"5";"SUL";0,512986413972344;0,492696302035151;0,510941451985325;0,230769230769231;0,013712677628496;0,519260285515848;0,117101142729249;0,720597172847527;22,8273380229447;146,255851702357;0,106994756654817
