"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"SG_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"NM_REGIAO";"SG_UF_PROGRAMA";"SG_ENTIDADE_ENSINO";"NM_PROGRAMA_IES";"NM_GRAU_PROGRAMA";"QFGDi";"QDP";"DFGDi";"FCDi"
"605";"25001019065P5";"ENGENHARIAS III";"ENGIII";"FEDERAL";"PÚBLICA";2000;"PROFISSIONAL";"5";"NORDESTE";"PE";"UFPE";"ENGENHARIA DE PRODUÇÃO";"MESTRADO PROF.";29;36;0,805555555555556;0,805555555555556
"606";"25001019066P1";"PSICOLOGIA";"PSICO";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"4";"NORDESTE";"PE";"UFPE";"PSICOLOGIA";"MESTRADO/DOUTORADO";9;52;0,173076923076923;0,173076923076923
"607";"25001019068P4";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADM";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"4";"NORDESTE";"PE";"UFPE";"CIÊNCIAS CONTÁBEIS";"MESTRADO/DOUTORADO";30;48;0,625;0,625
"608";"25001019069P0";"ENSINO";"ENSI";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"4";"NORDESTE";"PE";"UFPE";"EDUCAÇÃO MATEMÁTICA E TECNOLÓGICA";"MESTRADO/DOUTORADO";18;72;0,25;0,25
"609";"25001019072P1";"EDUCAÇÃO FÍSICA";"EFIS";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";"NORDESTE";"PE";"UFPE";"FISIOTERAPIA";"MESTRADO";25;68;0,367647058823529;0,367647058823529
"610";"25001019073P8";"FARMÁCIA";"FARM";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"4";"NORDESTE";"PE";"UFPE";"INOVAÇÃO TERAPÊUTICA";"MESTRADO/DOUTORADO";13;69;0,188405797101449;0,188405797101449
"611";"25001019074P4";"SAÚDE COLETIVA";"SCOL";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";"NORDESTE";"PE";"UFPE";"SAÚDE COLETIVA";"MESTRADO";29;51;0,568627450980392;0,568627450980392
"612";"25001019075P0";"BIODIVERSIDADE";"BIOD";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";"NORDESTE";"PE";"UFPE";"SAÚDE HUMANA E MEIO AMBIENTE";"MESTRADO";15;23;0,652173913043478;0,652173913043478
"613";"25001019077P3";"COMUNICAÇÃO E INFORMAÇÃO";"31";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"4";"NORDESTE";"PE";"UFPE";"CIÊNCIA DA INFORMAÇÃO";"MESTRADO";7;15;0,466666666666667;0,466666666666667
"614";"25001019078P0";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADM";"FEDERAL";"PÚBLICA";2010;"PROFISSIONAL";"3";"NORDESTE";"PE";"UFPE";"ADMINISTRAÇÃO";"MESTRADO PROF.";10;14;0,714285714285714;0,714285714285714
"615";"25001019079P6";"CIÊNCIAS BIOLÓGICAS I";"CBI";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"5";"NORDESTE";"PE";"UFPE";"BIOLOGIA APLICADA À SAÚDE";"MESTRADO/DOUTORADO";16;64;0,25;0,25
"616";"25001019080P4";"ENGENHARIAS I";"ENGI";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";"NORDESTE";"PE";"UFPE";"ENGENHARIA CIVIL E AMBIENTAL";"MESTRADO";34;68;0,5;0,5
"617";"25001019081P0";"BIOTECNOLOGIA";"BIOT";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";"NORDESTE";"PE";"UFPE";"BIOTECNOLOGIA";"MESTRADO";13;18;0,722222222222222;0,722222222222222
"618";"25001019082P7";"ENFERMAGEM";"ENFE";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"4";"NORDESTE";"PE";"UFPE";"ENFERMAGEM";"MESTRADO/DOUTORADO";23;56;0,410714285714286;0,410714285714286
"619";"25001019083P3";"ECONOMIA";"ECON";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";"NORDESTE";"PE";"UFPE";"ECONOMIA - CAMPUS AGRESTE";"MESTRADO";17;23;0,739130434782609;0,739130434782609
"620";"25001019084P0";"EDUCAÇÃO";"EDUC";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";"NORDESTE";"PE";"UFPE";"EDUCAÇÃO CONTEMPORÂNEA";"MESTRADO";26;56;0,464285714285714;0,464285714285714
"621";"25001019085P6";"ARQUITETURA, URBANISMO E DESIGN";"ARQU";"FEDERAL";"PÚBLICA";2013;"PROFISSIONAL";"3";"NORDESTE";"PE";"UFPE";"ERGONOMIA";"MESTRADO PROF.";26;42;0,619047619047619;0,619047619047619
"622";"25001019087P9";"ECONOMIA";"ECON";"FEDERAL";"PÚBLICA";2012;"PROFISSIONAL";"4";"NORDESTE";"PE";"UFPE";"GESTÃO E ECONOMIA DA SAÚDE";"MESTRADO PROF.";30;50;0,6;0,6
"623";"25001019088P5";"ENGENHARIAS IV";"ENGIV";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";"NORDESTE";"PE";"UFPE";"ENGENHARIA BIOMÉDICA";"MESTRADO";27;40;0,675;0,675
"624";"25001019089P1";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";"NORDESTE";"PE";"UFPE";"DIREITOS HUMANOS";"MESTRADO";22;47;0,468085106382979;0,468085106382979
"625";"25001019090P0";"ENGENHARIAS III";"ENGIII";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";"NORDESTE";"PE";"UFPE";"ENGENHARIA DE PRODUÇÃO - CENTRO ACADÊMICO DO AGRESTE";"MESTRADO";31;44;0,704545454545455;0,704545454545455
"626";"25001019091P6";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"CPOL";"FEDERAL";"PÚBLICA";2014;"PROFISSIONAL";"4";"NORDESTE";"PE";"UFPE";"POLÍTICAS PÚBLICAS";"MESTRADO PROF.";21;30;0,7;0,7
"627";"25001019092P2";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"3";"NORDESTE";"PE";"UFPE";"GERONTOLOGIA";"MESTRADO";19;32;0,59375;0,59375
"628";"25001019093P9";"NUTRIÇÃO";"NUTR";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"3";"NORDESTE";"PE";"UFPE";"NUTRIÇÃO, ATIVIDADE FÍSICA E PLASTICIDADE FENOTÍPICA";"MESTRADO";15;22;0,681818181818182;0,681818181818182
"629";"25001019094P5";"FILOSOFIA";"FILO";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"3";"NORDESTE";"PE";"UFPE";"FILOSOFIA";"MESTRADO";18;34;0,529411764705882;0,529411764705882
"630";"25001019095P1";"ENSINO";"ENSI";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"3";"NORDESTE";"PE";"UFPE";"EDUCAÇÃO EM CIÊNCIAS E MATEMÁTICA";"MESTRADO";39;85;0,458823529411765;0,458823529411765
"631";"25001019097P4";"CIÊNCIAS BIOLÓGICAS II";"CBII";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"4";"NORDESTE";"PE";"UFPE";"MORFOTECNOLOGIA";"MESTRADO";20;31;0,645161290322581;0,645161290322581
"632";"25001019156P0";"EDUCAÇÃO FÍSICA";"EFIS";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";"NORDESTE";"PE";"UFPE";"EDUCAÇÃO FÍSICA";"MESTRADO";22;40;0,55;0,55
"633";"25001019157P7";"ARTES / MÚSICA";"ARTE";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";"NORDESTE";"PE";"UFPE";"MÚSICA";"MESTRADO";27;37;0,72972972972973;0,72972972972973
"634";"25001019171P0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12;14;0,857142857142857;0,857142857142857
"635";"25001019172P6";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;15;25;0,6;0,6
"636";"25002015001P3";"PSICOLOGIA";"PSICO";"PARTICULAR";"PRIVADA";1999;"ACADÊMICO";"4";"NORDESTE";"PE";"UNICAP";"PSICOLOGIA CLÍNICA";"MESTRADO/DOUTORADO";13;57;0,228070175438596;0,228070175438596
"637";"25002015002P0";"ENGENHARIAS I";"ENGI";"PARTICULAR";"PRIVADA";2003;"ACADÊMICO";"3";"NORDESTE";"PE";"UNICAP";"ENGENHARIA CIVIL";"MESTRADO";20;45;0,444444444444444;0,444444444444444
"638";"25002015003P6";"LETRAS / LINGUÍSTICA";"LETR";"PARTICULAR";"PRIVADA";2003;"ACADÊMICO";"4";"NORDESTE";"PE";"UNICAP";"CIÊNCIAS DA LINGUAGEM";"MESTRADO/DOUTORADO";17;42;0,404761904761905;0,404761904761905
"639";"25002015004P2";"TEOLOGIA";"TEOL";"PARTICULAR";"PRIVADA";2005;"ACADÊMICO";"4";"NORDESTE";"PE";"UNICAP";"CIÊNCIAS DA RELIGIÃO";"MESTRADO/DOUTORADO";20;43;0,465116279069767;0,465116279069767
"640";"25002015005P9";"ENGENHARIAS II";"ENGII";"PARTICULAR";"PRIVADA";2005;"ACADÊMICO";"3";"NORDESTE";"PE";"UNICAP";"DESENVOLVIMENTO DE PROCESSOS AMBIENTAIS";"MESTRADO";23;28;0,821428571428571;0,821428571428571
"641";"25002015006P5";"DIREITO";"DIRE";"PARTICULAR";"PRIVADA";2005;"ACADÊMICO";"4";"NORDESTE";"PE";"UNICAP";"DIREITO";"MESTRADO/DOUTORADO";9;42;0,214285714285714;0,214285714285714
"642";"25002015007P1";"TEOLOGIA";"TEOL";"PARTICULAR";"PRIVADA";2015;"ACADÊMICO";"3";"NORDESTE";"PE";"UNICAP";"TEOLOGIA";"MESTRADO";24;30;0,8;0,8
"643";"25002015008P8";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;25;46;0,543478260869565;0,543478260869565
"644";"25002015009P4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;26;33;0,787878787878788;0,787878787878788
"645";"25003011001P0";"BIODIVERSIDADE";"BIOD";"FEDERAL";"PÚBLICA";1973;"ACADÊMICO";"4";"NORDESTE";"PE";"UFRPE";"BOTÂNICA";"MESTRADO/DOUTORADO";14;35;0,4;0,4
"646";"25003011002P6";"CIÊNCIAS AGRÁRIAS I";"CAGRI";"FEDERAL";"PÚBLICA";1976;"ACADÊMICO";"5";"NORDESTE";"PE";"UFRPE";"FITOPATOLOGIA";"MESTRADO/DOUTORADO";7;32;0,21875;0,21875
"647";"25003011003P2";"CIÊNCIAS AGRÁRIAS I";"CAGRI";"FEDERAL";"PÚBLICA";1977;"ACADÊMICO";"5";"NORDESTE";"PE";"UFRPE";"AGRONOMIA (CIÊNCIAS DO SOLO)";"MESTRADO/DOUTORADO";11;39;0,282051282051282;0,282051282051282
"648";"25003011005P5";"MEDICINA VETERINÁRIA";"MVET";"FEDERAL";"PÚBLICA";1978;"ACADÊMICO";"5";"NORDESTE";"PE";"UFRPE";"MEDICINA VETERINÁRIA";"MESTRADO/DOUTORADO";17;110;0,154545454545455;0,154545454545455
"649";"25003011006P1";"ZOOTECNIA / RECURSOS PESQUEIROS";"ZOOT";"FEDERAL";"PÚBLICA";1981;"ACADÊMICO";"4";"NORDESTE";"PE";"UFRPE";"ZOOTECNIA";"MESTRADO";22;41;0,536585365853659;0,536585365853659
"650";"25003011010P9";"CIÊNCIAS AGRÁRIAS I";"CAGRI";"FEDERAL";"PÚBLICA";1997;"ACADÊMICO";"5";"NORDESTE";"PE";"UFRPE";"BIOMETRIA E ESTATÍSTICA APLICADA";"MESTRADO/DOUTORADO";15;49;0,306122448979592;0,306122448979592
"651";"25003011011P5";"ZOOTECNIA / RECURSOS PESQUEIROS";"ZOOT";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"4";"NORDESTE";"PE";"UFRPE";"RECURSOS PESQUEIROS E AQUICULTURA";"MESTRADO/DOUTORADO";11;39;0,282051282051282;0,282051282051282
"652";"25003011012P1";"ENSINO";"ENSI";"FEDERAL";"PÚBLICA";1995;"ACADÊMICO";"4";"NORDESTE";"PE";"UFRPE";"ENSINO DAS CIÊNCIAS";"MESTRADO/DOUTORADO";37;92;0,402173913043478;0,402173913043478
"653";"25003011013P8";"CIÊNCIAS AGRÁRIAS I";"CAGRI";"FEDERAL";"PÚBLICA";2002;"ACADÊMICO";"4";"NORDESTE";"PE";"UFRPE";"CIÊNCIAS FLORESTAIS";"MESTRADO/DOUTORADO";8;25;0,32;0,32
"654";"25003011014P4";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADM";"FEDERAL";"PÚBLICA";2003;"ACADÊMICO";"3";"NORDESTE";"PE";"UFRPE";"ADMINISTRAÇÃO E DESENVOLVIMENTO RURAL";"MESTRADO";26;50;0,52;0,52
"655";"25003011015P0";"CIÊNCIAS AGRÁRIAS I";"CAGRI";"FEDERAL";"PÚBLICA";2003;"ACADÊMICO";"4";"NORDESTE";"PE";"UFRPE";"AGRONOMIA ( MELHORAMENTO GENÉTICO DE PLANTAS)";"MESTRADO/DOUTORADO";18;36;0,5;0,5
"656";"25003011017P3";"CIÊNCIAS AGRÁRIAS I";"CAGRI";"FEDERAL";"PÚBLICA";1976;"ACADÊMICO";"5";"NORDESTE";"PE";"UFRPE";"ENTOMOLOGIA AGRÍCOLA";"MESTRADO/DOUTORADO";11;31;0,354838709677419;0,354838709677419
"657";"25003011018P0";"CIÊNCIAS AGRÁRIAS I";"CAGRI";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"5";"NORDESTE";"PE";"UFRPE";"ENGENHARIA AGRÍCOLA";"MESTRADO/DOUTORADO";11;43;0,255813953488372;0,255813953488372
"658";"25003011019P6";"HISTÓRIA";"HIST";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"3";"NORDESTE";"PE";"UFRPE";"HISTÓRIA";"MESTRADO";10;33;0,303030303030303;0,303030303030303
"659";"25003011020P4";"QUÍMICA";"QUIM";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"4";"NORDESTE";"PE";"UFRPE";"QUIMICA";"MESTRADO/DOUTORADO";5;21;0,238095238095238;0,238095238095238
"660";"25003011021P0";"CIÊNCIA DE ALIMENTOS";"CALIM";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"4";"NORDESTE";"PE";"UFRPE";"CIÊNCIA E TECNOLOGIA DE ALIMENTOS";"MESTRADO";30;32;0,9375;0,9375
"661";"25003011022P7";"MEDICINA VETERINÁRIA";"MVET";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"4";"NORDESTE";"PE";"UFRPE";"BIOCIÊNCIA ANIMAL";"MESTRADO/DOUTORADO";16;54;0,296296296296296;0,296296296296296
"662";"25003011024P0";"ASTRONOMIA / FÍSICA";"AFIS";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";"NORDESTE";"PE";"UFRPE";"FÍSICA APLICADA";"MESTRADO";23;36;0,638888888888889;0,638888888888889
"663";"25003011025P6";"MEDICINA VETERINÁRIA";"MVET";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";"NORDESTE";"PE";"UFRPE";"SANIDADE E REPRODUÇÃO DE RUMINANTES";"MESTRADO";18;25;0,72;0,72
"664";"25003011026P2";"BIODIVERSIDADE";"BIOD";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";"NORDESTE";"PE";"UFRPE";"ECOLOGIA";"MESTRADO";23;36;0,638888888888889;0,638888888888889
"665";"25003011027P9";"ZOOTECNIA / RECURSOS PESQUEIROS";"ZOOT";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";"NORDESTE";"PE";"UFRPE";"CIÊNCIA ANIMAL E PASTAGENS";"MESTRADO";22;27;0,814814814814815;0,814814814814815
"666";"25003011028P5";"CIÊNCIAS AGRÁRIAS I";"CAGRI";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";"NORDESTE";"PE";"UFRPE";"PRODUÇÃO AGRÍCOLA";"MESTRADO";21;34;0,617647058823529;0,617647058823529
"667";"25003011029P1";"EDUCAÇÃO";"EDUC";"FEDERAL";"PÚBLICA";2011;"PROFISSIONAL";"3";"NORDESTE";"PE";"UFRPE";"TECNOLOGIA E GESTÃO EM EDUCAÇÃO A DISTÂNCIA";"MESTRADO PROF.";25;39;0,641025641025641;0,641025641025641
"668";"25003011030P0";"CIÊNCIAS AGRÁRIAS I";"CAGRI";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";"NORDESTE";"PE";"UFRPE";"PRODUÇÃO VEGETAL";"MESTRADO";14;33;0,424242424242424;0,424242424242424
"669";"25003011031P6";"MEDICINA VETERINÁRIA";"MVET";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"4";"NORDESTE";"PE";"UFRPE";"CIÊNCIA ANIMAL TROPICAL";"MESTRADO/DOUTORADO";11;53;0,207547169811321;0,207547169811321
"670";"25003011032P2";"CIÊNCIA DA COMPUTAÇÃO";"CCOMP";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";"NORDESTE";"PE";"UFRPE";"INFORMÁTICA APLICADA";"MESTRADO";46;67;0,686567164179104;0,686567164179104
"671";"25003011036P8";"ENGENHARIAS I";"ENGI";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";"NORDESTE";"PE";"UFRPE";"ENGENHARIA AMBIENTAL";"MESTRADO";34;49;0,693877551020408;0,693877551020408
"672";"25003011070P1";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADM";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"3";"NORDESTE";"PE";"UFRPE";"CONTROLADORIA";"MESTRADO";22;34;0,647058823529412;0,647058823529412
"673";"25003011071P8";"BIODIVERSIDADE";"BIOD";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"3";"NORDESTE";"PE";"UFRPE";"BIODIVERSIDADE E CONSERVAÇÃO";"MESTRADO";26;35;0,742857142857143;0,742857142857143
"674";"25004018006P8";"ODONTOLOGIA";"ODON";"ESTADUAL";"PÚBLICA";1972;"ACADÊMICO";"4";"NORDESTE";"PE";"FESP/UPE";"ODONTOLOGIA";"MESTRADO/DOUTORADO";4;50;0,08;0,08
"675";"25004018008P0";"INTERDISCIPLINAR";"INTE";"ESTADUAL";"PÚBLICA";2005;"ACADÊMICO";"3";"NORDESTE";"PE";"FESP/UPE";"HEBIATRIA - DETERMINANTES DE SAÚDE NA ADOLESCENCIA";"MESTRADO";17;36;0,472222222222222;0,472222222222222
"676";"25004018009P7";"MEDICINA I";"MEDI";"ESTADUAL";"PÚBLICA";2005;"ACADÊMICO";"4";"NORDESTE";"PE";"FESP/UPE";"CIENCIAS DA SAUDE";"MESTRADO/DOUTORADO";12;50;0,24;0,24
"677";"25004018010P5";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADM";"ESTADUAL";"PÚBLICA";2006;"PROFISSIONAL";"3";"NORDESTE";"PE";"FESP/UPE";"GESTÃO DO DESENVOLVIMENTO LOCAL SUSTENTÁVEL";"MESTRADO PROF.";35;57;0,614035087719298;0,614035087719298
"678";"25004018011P1";"CIÊNCIA DA COMPUTAÇÃO";"CCOMP";"ESTADUAL";"PÚBLICA";2006;"ACADÊMICO";"3";"NORDESTE";"PE";"FESP/UPE";"ENGENHARIA DA COMPUTAÇÃO";"MESTRADO";9;28;0,321428571428571;0,321428571428571
"679";"25004018012P8";"ENGENHARIAS I";"ENGI";"ESTADUAL";"PÚBLICA";2007;"ACADÊMICO";"3";"NORDESTE";"PE";"FESP/UPE";"ENGENHARIA CIVIL";"MESTRADO";30;74;0,405405405405405;0,405405405405405
"680";"25004018013P4";"CIÊNCIAS BIOLÓGICAS I";"CBI";"ESTADUAL";"PÚBLICA";2008;"ACADÊMICO";"4";"NORDESTE";"PE";"FESP/UPE";"BIOLOGIA CELULAR E MOLECULAR APLICADA";"MESTRADO/DOUTORADO";6;25;0,24;0,24
"681";"25004018016P3";"INTERDISCIPLINAR";"INTE";"ESTADUAL";"PÚBLICA";2009;"ACADÊMICO";"3";"NORDESTE";"PE";"FESP/UPE";"PERÍCIAS FORENSES";"MESTRADO";32;51;0,627450980392157;0,627450980392157
"682";"25004018017P0";"ENGENHARIAS III";"ENGIII";"ESTADUAL";"PÚBLICA";2009;"PROFISSIONAL";"3";"NORDESTE";"PE";"FESP/UPE";"TECNOLOGIA DA ENERGIA";"MESTRADO PROF.";35;79;0,443037974683544;0,443037974683544
"683";"25004018018P6";"ENGENHARIAS IV";"ENGIV";"ESTADUAL";"PÚBLICA";2010;"ACADÊMICO";"3";"NORDESTE";"PE";"FESP/UPE";"ENGENHARIA DE SISTEMAS";"MESTRADO";37;59;0,627118644067797;0,627118644067797
"684";"25004018019P2";"EDUCAÇÃO";"EDUC";"ESTADUAL";"PÚBLICA";2014;"PROFISSIONAL";"3";"NORDESTE";"PE";"FESP/UPE";"EDUCAÇÃO";"MESTRADO PROF.";39;95;0,410526315789474;0,410526315789474
"685";"25004018070P8";"EDUCAÇÃO";"EDUC";"ESTADUAL";"PÚBLICA";2015;"PROFISSIONAL";"3";"NORDESTE";"PE";"FESP/UPE";"PROGRAMA DE PÓS-GRADUAÇÃO EM FORMAÇÃO DE PROFESSORES E PRÁTICAS INTERDISCIPLINARES";"MESTRADO PROF.";37;78;0,474358974358974;0,474358974358974
"686";"25004018071P4";"PSICOLOGIA";"PSICO";"ESTADUAL";"PÚBLICA";2015;"PROFISSIONAL";"3";"NORDESTE";"PE";"FESP/UPE";"PRÁTICAS E INOVAÇÃO EM SAÚDE MENTAL";"MESTRADO PROF.";21;47;0,446808510638298;0,446808510638298
"687";"25004018072P0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;22;30;0,733333333333333;0,733333333333333
"688";"25004018073P7";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12;11;1,09090909090909;1,09090909090909
"689";"25016016002P7";"SOCIOLOGIA";"SOCI";"FEDERAL";"PÚBLICA";2013;"PROFISSIONAL";"3";"NORDESTE";"PE";"FJN";"CIÊNCIAS SOCIAIS PARA O ENSINO MÉDIO";"MESTRADO PROF.";12;10;1,2;1,2
"690";"25017012001P7";"CIÊNCIAS AMBIENTAIS";"CAMB";"PARTICULAR";"PRIVADA";2004;"PROFISSIONAL";"3";"NORDESTE";"PE";"ITEP";"TECNOLOGIA AMBIENTAL";"MESTRADO PROF.";36;59;0,610169491525424;0,610169491525424
"691";"25018019001P3";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADM";"PARTICULAR";"PRIVADA";2005;"PROFISSIONAL";"3";"NORDESTE";"PE";"FBV";"GESTÃO EMPRESARIAL";"MESTRADO PROF.";32;79;0,40506329113924;0,40506329113924
"692";"25020013001P4";"MATERIAIS";"MATE";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"3";"NORDESTE";"PE";"UNIVASF";"CIÊNCIA DOS MATERIAIS";"MESTRADO";8;13;0,615384615384615;0,615384615384615
"693";"25020013002P0";"ZOOTECNIA / RECURSOS PESQUEIROS";"ZOOT";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"3";"NORDESTE";"PE";"UNIVASF";"CIÊNCIA ANIMAL";"MESTRADO";33;48;0,6875;0,6875
"694";"25020013004P3";"CIÊNCIAS AGRÁRIAS I";"CAGRI";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";"NORDESTE";"PE";"UNIVASF";"ENGENHARIA AGRÍCOLA";"MESTRADO";22;27;0,814814814814815;0,814814814814815
"695";"25020013005P0";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";"NORDESTE";"PE";"UNIVASF";"CIÊNCIAS DA SAÚDE E BIOLÓGICAS";"MESTRADO";33;92;0,358695652173913;0,358695652173913
"696";"25020013006P6";"MEDICINA VETERINÁRIA";"MVET";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";"NORDESTE";"PE";"UNIVASF";"CIÊNCIAS VETERINÁRIAS NO SEMIÁRIDO";"MESTRADO";3;8;0,375;0,375
"697";"25020013008P9";"CIÊNCIAS AGRÁRIAS I";"CAGRI";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"3";"NORDESTE";"PE";"UNIVASF";"AGRONOMIA ¿ PRODUÇÃO VEGETAL";"MESTRADO";26;53;0,490566037735849;0,490566037735849
"698";"25020013009P5";"PSICOLOGIA";"PSICO";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"3";"NORDESTE";"PE";"UNIVASF";"PSICOLOGIA";"MESTRADO";22;36;0,611111111111111;0,611111111111111
"699";"25020013010P3";"EDUCAÇÃO FÍSICA";"EFIS";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"3";"NORDESTE";"PE";"UNIVASF";"EDUCAÇÃO FÍSICA";"MESTRADO";24;59;0,406779661016949;0,406779661016949
"700";"25020013011P0";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2016;"PROFISSIONAL";"3";"NORDESTE";"BA";"UNIVASF";"EXTENSÃO RURAL";"MESTRADO PROF.";45;107;0,420560747663551;0,420560747663551
"701";"25020013040P0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;29;57;0,508771929824561;0,508771929824561
"702";"25025015001P6";"ENSINO";"ENSI";"PARTICULAR";"PRIVADA";2011;"PROFISSIONAL";"3";"NORDESTE";"PE";"FPS";"EDUCAÇÃO PARA O ENSINO NA ÁREA DE SAÚDE";"MESTRADO PROF.";22;85;0,258823529411765;0,258823529411765
"703";"25025015002P2";"PSICOLOGIA";"PSICO";"PARTICULAR";"PRIVADA";2016;"PROFISSIONAL";"3";"NORDESTE";"PE";"FPS";"PSICOLOGIA DA SAÚDE";"MESTRADO PROF.";26;43;0,604651162790698;0,604651162790698
"704";"25046004001P0";"ENFERMAGEM";"ENFE";"PARTICULAR";"PRIVADA";2015;"PROFISSIONAL";"3";"NORDESTE";"PB";"FACENE";"SAÚDE DA FAMÍLIA";"MESTRADO PROF.";15;31;0,483870967741935;0,483870967741935
"705";"26001012001P0";"LETRAS / LINGUÍSTICA";"LETR";"FEDERAL";"PÚBLICA";1989;"ACADÊMICO";"4";"NORDESTE";"AL";"UFAL";"LETRAS E LINGÜÍSTICA";"MESTRADO/DOUTORADO";22;93;0,236559139784946;0,236559139784946
"706";"26001012002P6";"ASTRONOMIA / FÍSICA";"AFIS";"FEDERAL";"PÚBLICA";1992;"ACADÊMICO";"5";"NORDESTE";"AL";"UFAL";"FÍSICA DA MATÉRIA CONDENSADA";"MESTRADO/DOUTORADO";5;46;0,108695652173913;0,108695652173913
"707";"26001012003P2";"QUÍMICA";"QUIM";"FEDERAL";"PÚBLICA";1992;"ACADÊMICO";"4";"NORDESTE";"AL";"UFAL";"QUÍMICA E BIOTECNOLOGIA";"MESTRADO/DOUTORADO";33;96;0,34375;0,34375
