"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"SG_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"NM_REGIAO";"SG_UF_PROGRAMA";"SG_ENTIDADE_ENSINO";"NM_PROGRAMA_IES";"NM_GRAU_PROGRAMA";"QFDPD";"QFDPM";"QFDPG";"QPPP";"DFDDo";"DFDM";"DFDG";"FCDo"
"146";"15001016075P2";"ENGENHARIAS III";"ENGIII";"FEDERAL";"PÚBLICA";2013;"PROFISSIONAL";"3";"NORTE";"PA";"UFPA";"ENGENHARIA DE PROCESSOS";"MESTRADO PROF.";7;7;10;17;0,411764705882353;0,411764705882353;0,588235294117647;0,470588235294118
"147";"15001016076P9";"CIÊNCIAS AMBIENTAIS";"CAMB";"FEDERAL";"PÚBLICA";2012;"PROFISSIONAL";"3";"NORTE";"PA";"UFPA";"CIÊNCIAS E MEIO AMBIENTE";"MESTRADO PROF.";6;6;7;14;0,428571428571429;0,428571428571429;0,5;0,452380952380952
"148";"15001016077P5";"CIÊNCIAS BIOLÓGICAS I";"CBI";"FEDERAL";"PÚBLICA";2013;"PROFISSIONAL";"4";"NORTE";"PA";"UFPA";"ANÁLISES CLÍNICAS";"MESTRADO PROF.";7;12;7;20;0,35;0,6;0,35;0,433333333333333
"149";"15001016078P1";"ENSINO";"ENSI";"FEDERAL";"PÚBLICA";2014;"PROFISSIONAL";"4";"NORTE";"PA";"UFPA";"DOCÊNCIA EM EDUCAÇÃO EM CIÊNCIAS E MATEMÁTICAS";"MESTRADO PROF.";9;10;12;23;0,391304347826087;0,434782608695652;0,521739130434783;0,449275362318841
"150";"15001016079P8";"SAÚDE COLETIVA";"SCOL";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"3";"NORTE";"PA";"UFPA";"SAÚDE, AMBIENTE E SOCIEDADE NA AMAZÔNIA";"MESTRADO";9;12;10;12;0,75;1;0,833333333333333;0,861111111111111
"151";"15001016080P6";"GEOCIÊNCIAS";"GEOC";"FEDERAL";"PÚBLICA";2015;"PROFISSIONAL";"3";"NORTE";"PA";"UFPA";"RECURSOS HÍDRICOS";"MESTRADO PROF.";8;9;5;10;0,8;0,9;0,5;0,733333333333333
"152";"15001016081P2";"BIODIVERSIDADE";"BIOD";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"3";"NORTE";"PA";"UFPA";"BIODIVERSIDADE E CONSERVAÇÃO";"MESTRADO";13;13;5;16;0,8125;0,8125;0,3125;0,645833333333333
"153";"15001016082P9";"EDUCAÇÃO";"EDUC";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"3";"NORTE";"PA";"UFPA";"EDUCAÇÃO E CULTURA";"MESTRADO";6;10;8;17;0,352941176470588;0,588235294117647;0,470588235294118;0,470588235294118
"154";"15001016084P1";"PSICOLOGIA";"PSICO";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"3";"NORTE";"PA";"UFPA";"NEUROCIÊNCIAS E COMPORTAMENTO";"MESTRADO";8;6;8;16;0,5;0,375;0,5;0,458333333333333
"155";"15001016085P8";"ENGENHARIAS III";"ENGIII";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"3";"NORTE";"PA";"UFPA";"ENGENHARIA NAVAL";"MESTRADO";7;7;4;10;0,7;0,7;0,4;0,6
"156";"15001016086P4";"FARMÁCIA";"FARM";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"3";"NORTE";"PA";"UFPA";"QUÍMICA MEDICINAL E MODELAGEM MOLECULAR";"MESTRADO";8;6;6;17;0,470588235294118;0,352941176470588;0,352941176470588;0,392156862745098
"157";"15001016087P0";"BIODIVERSIDADE";"BIOD";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"4";"NORTE";"PA";"UFPA";"ECOLOGIA";"MESTRADO/DOUTORADO";11;9;5;18;0,611111111111111;0,5;0,277777777777778;0,462962962962963
"158";"15001016088P7";"CIÊNCIAS AMBIENTAIS";"CAMB";"FEDERAL";"PÚBLICA";2016;"PROFISSIONAL";"3";"NORTE";"PA";"UFPA";"GESTÃO DE RISCO E DESASTRE NA AMAZÔNIA";"MESTRADO PROF.";13;11;10;14;0,928571428571429;0,785714285714286;0,714285714285714;0,80952380952381
"159";"15001016089P3";"EDUCAÇÃO";"EDUC";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";"NORTE";"PA";"UFPA";"CURRÍCULO E GESTÃO DA ESCOLA BÁSICA";"MESTRADO";11;9;11;22;0,5;0,409090909090909;0,5;0,46969696969697
"160";"15001016090P1";"ENGENHARIAS I";"ENGI";"FEDERAL";"PÚBLICA";2016;"PROFISSIONAL";"3";"NORTE";"PA";"UFPA";"ENGENHARIA DE BARRAGEM E GESTÃO AMBIENTAL";"MESTRADO PROF.";11;10;10;13;0,846153846153846;0,769230769230769;0,769230769230769;0,794871794871795
"161";"15001016091P8";"ENGENHARIAS I";"ENGI";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";"NORTE";"PA";"UFPA";"ENGENHARIA DE INFRAESTRUTURA E DESENVOLVIMENTO ENERGÉTICO";"MESTRADO";10;9;7;14;0,714285714285714;0,642857142857143;0,5;0,619047619047619
"162";"15001016092P4";"CIÊNCIA DA COMPUTAÇÃO";"CCOMP";"FEDERAL";"PÚBLICA";2016;"PROFISSIONAL";"3";"NORTE";"PA";"UFPA";"COMPUTAÇÃO APLICADA";"MESTRADO PROF.";8;6;4;11;0,727272727272727;0,545454545454545;0,363636363636364;0,545454545454545
"163";"15001016156P2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11;9;7;12;0,916666666666667;0,75;0,583333333333333;0,75
"164";"15001016157P9";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13;14;9;19;0,684210526315789;0,736842105263158;0,473684210526316;0,631578947368421
"165";"15001016158P5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;2;6;8;0,5;0,25;0,75;0,5
"166";"15001016159P1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10;10;8;13;0,769230769230769;0,769230769230769;0,615384615384615;0,717948717948718
"167";"15001016160P0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;7;5;10;0,6;0,7;0,5;0,6
"168";"15002012001P5";"CIÊNCIAS AGRÁRIAS I";"CAGRI";"FEDERAL";"PÚBLICA";1995;"ACADÊMICO";"4";"NORTE";"PA";"UFRA";"AGRONOMIA";"MESTRADO/DOUTORADO";8;10;5;18;0,444444444444444;0,555555555555556;0,277777777777778;0,425925925925926
"169";"15002012004P4";"BIODIVERSIDADE";"BIOD";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"3";"NORTE";"PA";"UFRA";"CIÊNCIAS BIOLÓGICAS";"MESTRADO";8;8;7;17;0,470588235294118;0,470588235294118;0,411764705882353;0,450980392156863
"170";"15002012005P0";"ZOOTECNIA / RECURSOS PESQUEIROS";"ZOOT";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";"NORTE";"PA";"UFRA";"AQUICULTURA E RECURSOS AQUÁTICOS TROPICAIS";"MESTRADO";8;8;6;11;0,727272727272727;0,727272727272727;0,545454545454545;0,666666666666667
"171";"15002012006P7";"MEDICINA VETERINÁRIA";"MVET";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";"NORTE";"PA";"UFRA";"SAÚDE E PRODUÇÃO ANIMAL NA AMAZÔNIA";"MESTRADO/DOUTORADO";10;9;6;18;0,555555555555556;0,5;0,333333333333333;0,462962962962963
"172";"15002012007P3";"BIOTECNOLOGIA";"BIOT";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";"NORTE";"PA";"UFRA";"BIOTECNOLOGIA APLICADA À AGROPECUÁRIA";"MESTRADO";9;8;6;11;0,818181818181818;0,727272727272727;0,545454545454545;0,696969696969697
"173";"15002012008P0";"CIÊNCIAS AGRÁRIAS I";"CAGRI";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"4";"NORTE";"PA";"UFRA";"CIÊNCIAS FLORESTAIS";"MESTRADO/DOUTORADO";9;8;5;12;0,75;0,666666666666667;0,416666666666667;0,611111111111111
"174";"15002012009P6";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;6;5;12;0,583333333333333;0,5;0,416666666666667;0,5
"175";"15004015004P7";"PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA";"PLUR";"PARTICULAR";"PRIVADA";2007;"ACADÊMICO";"3";"NORTE";"PA";"UNAMA";"DESENVOLVIMENTO E MEIO AMBIENTE URBANO";"MESTRADO";9;7;9;9;1;0,777777777777778;1;0,925925925925926
"176";"15004015005P3";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADM";"PARTICULAR";"PRIVADA";2009;"ACADÊMICO";"4";"NORTE";"PA";"UNAMA";"ADMINISTRAÇÃO";"MESTRADO/DOUTORADO";10;8;11;12;0,833333333333333;0,666666666666667;0,916666666666667;0,805555555555555
"177";"15004015006P0";"INTERDISCIPLINAR";"INTE";"PARTICULAR";"PRIVADA";2009;"ACADÊMICO";"3";"NORTE";"PA";"UNAMA";"COMUNICAÇÃO, LINGUAGENS E CULTURA";"MESTRADO/DOUTORADO";10;8;8;11;0,909090909090909;0,727272727272727;0,727272727272727;0,787878787878788
"178";"15004015007P6";"DIREITO";"DIRE";"PARTICULAR";"PRIVADA";2014;"ACADÊMICO";"3";"NORTE";"PA";"UNAMA";"DIREITOS FUNDAMENTAIS";"MESTRADO";4;2;5;10;0,4;0,2;0,5;0,366666666666667
"179";"15006018001P0";"EDUCAÇÃO";"EDUC";"ESTADUAL";"PÚBLICA";2005;"ACADÊMICO";"3";"NORTE";"PA";"UEPA";"EDUCAÇÃO";"MESTRADO";10;6;11;17;0,588235294117647;0,352941176470588;0,647058823529412;0,529411764705882
"180";"15006018002P7";"CIÊNCIAS BIOLÓGICAS III";"CBIII";"ESTADUAL";"PÚBLICA";2009;"ACADÊMICO";"4";"NORTE";"PA";"UEPA";"BIOLOGIA PARASITÁRIA NA AMAZÔNIA";"MESTRADO/DOUTORADO";14;11;7;20;0,7;0,55;0,35;0,533333333333333
"181";"15006018003P3";"ENFERMAGEM";"ENFE";"ESTADUAL";"PÚBLICA";2010;"ACADÊMICO";"3";"NORTE";"PA";"UEPA";"ENFERMAGEM";"MESTRADO";7;10;6;18;0,388888888888889;0,555555555555556;0,333333333333333;0,425925925925926
"182";"15006018004P0";"TEOLOGIA";"TEOL";"ESTADUAL";"PÚBLICA";2011;"ACADÊMICO";"3";"NORTE";"PA";"UEPA";"CIÊNCIAS DA RELIGIÃO";"MESTRADO";7;7;8;9;0,777777777777778;0,777777777777778;0,888888888888889;0,814814814814815
"183";"15006018005P6";"INTERDISCIPLINAR";"INTE";"ESTADUAL";"PÚBLICA";2011;"ACADÊMICO";"3";"NORTE";"PA";"UEPA";"CIÊNCIAS AMBIENTAIS";"MESTRADO";11;10;9;12;0,916666666666667;0,833333333333333;0,75;0,833333333333333
"184";"15006018006P2";"ENSINO";"ENSI";"ESTADUAL";"PÚBLICA";2012;"PROFISSIONAL";"3";"NORTE";"PA";"UEPA";"ENSINO EM SAÚDE NA AMAZÔNIA";"MESTRADO PROF.";14;9;10;15;0,933333333333333;0,6;0,666666666666667;0,733333333333333
"185";"15006018007P9";"MEDICINA III";"MEDIII";"ESTADUAL";"PÚBLICA";2014;"PROFISSIONAL";"3";"NORTE";"PA";"UEPA";"CIRURGIA E PESQUISA EXPERIMENTAL";"MESTRADO PROF.";10;8;7;14;0,714285714285714;0,571428571428571;0,5;0,595238095238095
"186";"15006018008P5";"ENSINO";"ENSI";"ESTADUAL";"PÚBLICA";2015;"PROFISSIONAL";"3";"NORTE";"PA";"UEPA";"ENSINO DE MATEMÁTICA";"MESTRADO PROF.";5;9;11;11;0,454545454545455;0,818181818181818;1;0,757575757575757
"187";"15010015001P4";"BIODIVERSIDADE";"BIOD";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";"NORTE";"PA";"UFOPA";"RECURSOS AQUÁTICOS CONTINENTAIS AMAZÔNICOS";"MESTRADO";9;7;3;12;0,75;0,583333333333333;0,25;0,527777777777778
"188";"15010015002P0";"CIÊNCIAS AMBIENTAIS";"CAMB";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";"NORTE";"PA";"UFOPA";"RECURSOS NATURAIS DA AMAZÔNIA";"MESTRADO";16;14;7;19;0,842105263157895;0,736842105263158;0,368421052631579;0,649122807017544
