"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"SG_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"NM_REGIAO";"SG_UF_PROGRAMA";"SG_ENTIDADE_ENSINO";"NM_PROGRAMA_IES";"NM_GRAU_PROGRAMA";"QFDPD";"QFDPM";"QFDPG";"QPPP";"DFDDo";"DFDM";"DFDG";"FCDo"
"414";"22003010027P0";"EDUCAÇÃO";"EDUC";"ESTADUAL";"PÚBLICA";2013;"ACADÊMICO";"3";"NORDESTE";"CE";"UECE";"EDUCAÇÃO E ENSINO (MAIE)";"MESTRADO";6;7;10;15;0,4;0,466666666666667;0,666666666666667;0,511111111111111
"415";"22003010028P7";"BIOTECNOLOGIA";"BIOT";"ESTADUAL";"PÚBLICA";2015;"PROFISSIONAL";"4";"NORDESTE";"CE";"UECE";"BIOTECNOLOGIA EM SAÚDE HUMANA E ANIMAL";"MESTRADO PROF.";17;17;10;26;0,653846153846154;0,653846153846154;0,384615384615385;0,564102564102564
"416";"22003010070P3";"GEOCIÊNCIAS";"GEOC";"ESTADUAL";"PÚBLICA";2016;"PROFISSIONAL";"3";"NORDESTE";"CE";"UECE";"CLIMATOLOGIA E APLICAÇÕES NOS PAÍSES DA CPLP E ÁFRICA";"MESTRADO PROF.";8;6;7;11;0,727272727272727;0,545454545454545;0,636363636363636;0,636363636363636
"417";"22003010071P0";"SAÚDE COLETIVA";"SCOL";"ESTADUAL";"PÚBLICA";2016;"PROFISSIONAL";"3";"NORDESTE";"CE";"UECE";"GESTÃO EM SAÚDE";"MESTRADO PROF.";7;7;11;17;0,411764705882353;0,411764705882353;0,647058823529412;0,490196078431373
"418";"22003010072P6";"INTERDISCIPLINAR";"INTE";"ESTADUAL";"PÚBLICA";2016;"ACADÊMICO";"3";"NORDESTE";"CE";"UECE";"INTERDISCIPLINAR EM HISTÓRIA E LETRAS - MIHL";"MESTRADO";10;6;8;18;0,555555555555556;0,333333333333333;0,444444444444444;0,444444444444444
"419";"22003010073P2";"MEDICINA III";"MEDIII";"ESTADUAL";"PÚBLICA";2016;"PROFISSIONAL";"3";"NORDESTE";"CE";"UECE";"TRANSPLANTES";"MESTRADO PROF.";11;7;6;12;0,916666666666667;0,583333333333333;0,5;0,666666666666667
"420";"22003010074P9";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13;7;11;17;0,764705882352941;0,411764705882353;0,647058823529412;0,607843137254902
"421";"22004017002P4";"ZOOTECNIA / RECURSOS PESQUEIROS";"ZOOT";"ESTADUAL";"PÚBLICA";2006;"ACADÊMICO";"3";"NORDESTE";"CE";"UVA-CE";"ZOOTECNIA";"MESTRADO";6;9;8;14;0,428571428571429;0,642857142857143;0,571428571428571;0,547619047619048
"422";"22004017003P0";"GEOGRAFIA";"GEOG";"ESTADUAL";"PÚBLICA";2013;"ACADÊMICO";"3";"NORDESTE";"CE";"UVA-CE";"GEOGRAFIA";"MESTRADO";5;5;3;15;0,333333333333333;0,333333333333333;0,2;0,288888888888889
"423";"22005013001P4";"BIODIVERSIDADE";"BIOD";"ESTADUAL";"PÚBLICA";2007;"ACADÊMICO";"4";"NORDESTE";"CE";"URCA";"BIOPROSPECÇÃO MOLECULAR";"MESTRADO";18;21;13;29;0,620689655172414;0,724137931034483;0,448275862068966;0,597701149425287
"424";"22005013002P0";"ENFERMAGEM";"ENFE";"ESTADUAL";"PÚBLICA";2014;"ACADÊMICO";"3";"NORDESTE";"CE";"URCA";"ENFERMAGEM";"MESTRADO";7;8;5;15;0,466666666666667;0,533333333333333;0,333333333333333;0,444444444444444
"425";"22005013003P7";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;5;8;10;0,5;0,5;0,8;0,6
"426";"22005013004P3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11;10;7;15;0,733333333333333;0,666666666666667;0,466666666666667;0,622222222222222
"427";"22011013001P0";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"3";"NORDESTE";"CE";"UNILAB";"SOCIOBIODIVERSIDADE E TECNOLOGIAS SUSTENTÁVEIS";"MESTRADO";12;11;16;15;0,8;0,733333333333333;1,06666666666667;0,866666666666667
"428";"22011013002P7";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";"NORDESTE";"CE";"UNILAB";"INTERDISCIPLINAR EM HUMANIDADES";"MESTRADO";10;8;9;12;0,833333333333333;0,666666666666667;0,75;0,75
"429";"22011013003P3";"ENFERMAGEM";"ENFE";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";"NORDESTE";"CE";"UNILAB";"ENFERMAGEM";"MESTRADO";3;3;3;16;0,1875;0,1875;0,1875;0,1875
"430";"22012010001P0";"DIREITO";"DIRE";"PARTICULAR";"PRIVADA";2016;"ACADÊMICO";"3";"NORDESTE";"CE";"UNI7";"DIREITO";"MESTRADO";3;2;5;14;0,214285714285714;0,142857142857143;0,357142857142857;0,238095238095238
"431";"22021019001P2";"BIOTECNOLOGIA";"BIOT";"PARTICULAR";"PRIVADA";2014;"ACADÊMICO";"3";"NORDESTE";"CE";"INTA";"BIOTECNOLOGIA";"MESTRADO";9;9;5;12;0,75;0,75;0,416666666666667;0,638888888888889
"432";"22033017001P7";"CIÊNCIAS AMBIENTAIS";"CAMB";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";"NORDESTE";"CE";"UFCA";"DESENVOLVIMENTO REGIONAL SUSTENTÁVEL";"MESTRADO";12;15;16;18;0,666666666666667;0,833333333333333;0,888888888888889;0,796296296296296
"433";"22033017002P3";"COMUNICAÇÃO E INFORMAÇÃO";"31";"FEDERAL";"PÚBLICA";2016;"PROFISSIONAL";"3";"NORDESTE";"CE";"UFCA";"BIBLIOTECONOMIA";"MESTRADO PROF.";9;9;12;17;0,529411764705882;0,529411764705882;0,705882352941177;0,588235294117647
"434";"23001011001P1";"EDUCAÇÃO";"EDUC";"FEDERAL";"PÚBLICA";1978;"ACADÊMICO";"4";"NORDESTE";"RN";"UFRN";"EDUCAÇÃO";"MESTRADO/DOUTORADO";14;16;21;53;0,264150943396226;0,30188679245283;0,39622641509434;0,320754716981132
"435";"23001011003P4";"PSICOLOGIA";"PSICO";"FEDERAL";"PÚBLICA";1985;"ACADÊMICO";"6";"NORDESTE";"RN";"UFRN";"PSICOBIOLOGIA";"MESTRADO/DOUTORADO";15;10;7;23;0,652173913043478;0,434782608695652;0,304347826086957;0,463768115942029
"436";"23001011004P0";"SOCIOLOGIA";"SOCI";"FEDERAL";"PÚBLICA";1979;"ACADÊMICO";"4";"NORDESTE";"RN";"UFRN";"CIÊNCIAS SOCIAIS";"MESTRADO/DOUTORADO";6;6;9;14;0,428571428571429;0,428571428571429;0,642857142857143;0,5
"437";"23001011005P7";"ODONTOLOGIA";"ODON";"FEDERAL";"PÚBLICA";1978;"ACADÊMICO";"4";"NORDESTE";"RN";"UFRN";"PATOLOGIA ORAL";"MESTRADO/DOUTORADO";6;5;1;23;0,260869565217391;0,217391304347826;0,0434782608695652;0,173913043478261
"438";"23001011007P0";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADM";"FEDERAL";"PÚBLICA";1978;"ACADÊMICO";"5";"NORDESTE";"RN";"UFRN";"ADMINISTRAÇÃO";"MESTRADO/DOUTORADO";5;8;8;15;0,333333333333333;0,533333333333333;0,533333333333333;0,466666666666667
"439";"23001011008P6";"ENGENHARIAS IV";"ENGIV";"FEDERAL";"PÚBLICA";1983;"ACADÊMICO";"4";"NORDESTE";"RN";"UFRN";"ENGENHARIA ELÉTRICA";"MESTRADO/DOUTORADO";8;7;12;27;0,296296296296296;0,259259259259259;0,444444444444444;0,333333333333333
"440";"23001011009P2";"ENGENHARIAS III";"ENGIII";"FEDERAL";"PÚBLICA";1983;"ACADÊMICO";"4";"NORDESTE";"RN";"UFRN";"ENGENHARIA MECÂNICA";"MESTRADO/DOUTORADO";7;7;10;18;0,388888888888889;0,388888888888889;0,555555555555556;0,444444444444444
"441";"23001011010P0";"ASTRONOMIA / FÍSICA";"AFIS";"FEDERAL";"PÚBLICA";1986;"ACADÊMICO";"6";"NORDESTE";"RN";"UFRN";"FÍSICA";"MESTRADO/DOUTORADO";11;6;4;34;0,323529411764706;0,176470588235294;0,117647058823529;0,205882352941176
"442";"23001011011P7";"ENGENHARIAS II";"ENGII";"FEDERAL";"PÚBLICA";1988;"ACADÊMICO";"4";"NORDESTE";"RN";"UFRN";"ENGENHARIA QUÍMICA";"MESTRADO/DOUTORADO";5;5;5;12;0,416666666666667;0,416666666666667;0,416666666666667;0,416666666666667
"443";"23001011012P3";"QUÍMICA";"QUIM";"FEDERAL";"PÚBLICA";1990;"ACADÊMICO";"4";"NORDESTE";"RN";"UFRN";"QUÍMICA";"MESTRADO/DOUTORADO";9;7;7;24;0,375;0,291666666666667;0,291666666666667;0,319444444444444
"444";"23001011013P0";"LETRAS / LINGUÍSTICA";"LETR";"FEDERAL";"PÚBLICA";1993;"ACADÊMICO";"4";"NORDESTE";"RN";"UFRN";"ESTUDOS DA LINGUAGEM";"MESTRADO/DOUTORADO";18;12;11;42;0,428571428571429;0,285714285714286;0,261904761904762;0,325396825396825
"445";"23001011015P2";"BIODIVERSIDADE";"BIOD";"FEDERAL";"PÚBLICA";1995;"ACADÊMICO";"5";"NORDESTE";"RN";"UFRN";"ECOLOGIA";"MESTRADO/DOUTORADO";9;9;2;21;0,428571428571429;0,428571428571429;0,0952380952380952;0,317460317460317
"446";"23001011018P1";"GEOCIÊNCIAS";"GEOC";"FEDERAL";"PÚBLICA";1996;"ACADÊMICO";"4";"NORDESTE";"RN";"UFRN";"GEODINÂMICA E GEOFÍSICA";"MESTRADO/DOUTORADO";9;8;4;19;0,473684210526316;0,421052631578947;0,210526315789474;0,368421052631579
"447";"23001011020P6";"CIÊNCIAS BIOLÓGICAS II";"CBII";"FEDERAL";"PÚBLICA";1996;"ACADÊMICO";"4";"NORDESTE";"RN";"UFRN";"BIOQUÍMICA";"MESTRADO/DOUTORADO";13;12;11;30;0,433333333333333;0,4;0,366666666666667;0,4
"448";"23001011021P2";"ENGENHARIAS III";"ENGIII";"FEDERAL";"PÚBLICA";1999;"ACADÊMICO";"3";"NORDESTE";"RN";"UFRN";"ENGENHARIA DE PRODUÇÃO";"MESTRADO";7;8;12;12;0,583333333333333;0,666666666666667;1;0,75
"449";"23001011022P9";"CIÊNCIA DA COMPUTAÇÃO";"CCOMP";"FEDERAL";"PÚBLICA";1999;"ACADÊMICO";"5";"NORDESTE";"RN";"UFRN";"SISTEMAS E COMPUTAÇÃO";"MESTRADO/DOUTORADO";13;7;10;27;0,481481481481481;0,259259259259259;0,37037037037037;0,37037037037037
"450";"23001011023P5";"ENGENHARIAS I";"ENGI";"FEDERAL";"PÚBLICA";1999;"ACADÊMICO";"3";"NORDESTE";"RN";"UFRN";"ENGENHARIA SANITÁRIA";"MESTRADO";8;5;5;11;0,727272727272727;0,454545454545455;0,454545454545455;0,545454545454546
"451";"23001011024P1";"ARQUITETURA, URBANISMO E DESIGN";"ARQU";"FEDERAL";"PÚBLICA";1999;"ACADÊMICO";"4";"NORDESTE";"RN";"UFRN";"ARQUITETURA E URBANISMO";"MESTRADO/DOUTORADO";9;9;4;15;0,6;0,6;0,266666666666667;0,488888888888889
"452";"23001011025P8";"PSICOLOGIA";"PSICO";"FEDERAL";"PÚBLICA";1999;"ACADÊMICO";"5";"NORDESTE";"RN";"UFRN";"PSICOLOGIA";"MESTRADO/DOUTORADO";11;10;3;18;0,611111111111111;0,555555555555556;0,166666666666667;0,444444444444444
"453";"23001011026P4";"MATERIAIS";"MATE";"FEDERAL";"PÚBLICA";1998;"ACADÊMICO";"6";"NORDESTE";"RN";"UFRN";"CIÊNCIA E ENGENHARIA DE MATERIAIS";"MESTRADO/DOUTORADO";10;9;8;16;0,625;0,5625;0,5;0,5625
"454";"23001011027P0";"SERVIÇO SOCIAL";"SSOC";"FEDERAL";"PÚBLICA";2000;"ACADÊMICO";"4";"NORDESTE";"RN";"UFRN";"SERVIÇO SOCIAL";"MESTRADO/DOUTORADO";7;7;5;15;0,466666666666667;0,466666666666667;0,333333333333333;0,422222222222222
"455";"23001011028P7";"GEOGRAFIA";"GEOG";"FEDERAL";"PÚBLICA";2000;"ACADÊMICO";"4";"NORDESTE";"RN";"UFRN";"GEOGRAFIA";"MESTRADO/DOUTORADO";8;8;7;20;0,4;0,4;0,35;0,383333333333333
"456";"23001011029P3";"ENFERMAGEM";"ENFE";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"4";"NORDESTE";"RN";"UFRN";"ENFERMAGEM";"MESTRADO/DOUTORADO";4;3;1;16;0,25;0,1875;0,0625;0,166666666666667
"457";"23001011030P1";"FILOSOFIA";"FILO";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"4";"NORDESTE";"RN";"UFRN";"FILOSOFIA";"MESTRADO/DOUTORADO";10;7;11;20;0,5;0,35;0,55;0,466666666666667
"458";"23001011031P8";"MEDICINA II";"MEDII";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"5";"NORDESTE";"RN";"UFRN";"CIÊNCIAS DA SAÚDE";"MESTRADO/DOUTORADO";23;22;13;30;0,766666666666667;0,733333333333333;0,433333333333333;0,644444444444444
"459";"23001011032P4";"ENSINO";"ENSI";"FEDERAL";"PÚBLICA";2002;"PROFISSIONAL";"4";"NORDESTE";"RN";"UFRN";"ENSINO DE CIÊNCIAS NATURAIS E MATEMÁTICA";"MESTRADO PROF.";11;12;13;21;0,523809523809524;0,571428571428571;0,619047619047619;0,571428571428572
"460";"23001011033P0";"ODONTOLOGIA";"ODON";"FEDERAL";"PÚBLICA";2003;"ACADÊMICO";"4";"NORDESTE";"RN";"UFRN";"SAÚDE COLETIVA";"MESTRADO/DOUTORADO";9;14;7;29;0,310344827586207;0,482758620689655;0,241379310344828;0,344827586206897
"461";"23001011034P7";"DIREITO";"DIRE";"FEDERAL";"PÚBLICA";2003;"ACADÊMICO";"3";"NORDESTE";"RN";"UFRN";"DIREITO";"MESTRADO";5;4;7;18;0,277777777777778;0,222222222222222;0,388888888888889;0,296296296296296
"462";"23001011035P3";"CIÊNCIAS BIOLÓGICAS I";"CBI";"FEDERAL";"PÚBLICA";2004;"ACADÊMICO";"3";"NORDESTE";"RN";"UFRN";"CIÊNCIAS BIOLÓGICAS";"MESTRADO";9;10;7;16;0,5625;0,625;0,4375;0,541666666666667
"463";"23001011036P0";"CIÊNCIAS AMBIENTAIS";"CAMB";"FEDERAL";"PÚBLICA";2004;"ACADÊMICO";"4";"NORDESTE";"RN";"UFRN";"DESENVOLVIMENTO E MEIO AMBIENTE";"MESTRADO";17;14;10;18;0,944444444444444;0,777777777777778;0,555555555555556;0,759259259259259
"464";"23001011037P6";"ANTROPOLOGIA / ARQUEOLOGIA";"ANTR";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"4";"NORDESTE";"RN";"UFRN";"ANTROPOLOGIA SOCIAL";"MESTRADO/DOUTORADO";5;4;6;13;0,384615384615385;0,307692307692308;0,461538461538462;0,384615384615385
"465";"23001011038P2";"HISTÓRIA";"HIST";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"3";"NORDESTE";"RN";"UFRN";"HISTÓRIA";"MESTRADO";5;6;2;13;0,384615384615385;0,461538461538462;0,153846153846154;0,333333333333333
"466";"23001011039P9";"ECONOMIA";"ECON";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"3";"NORDESTE";"RN";"UFRN";"ECONOMIA";"MESTRADO";5;3;4;9;0,555555555555556;0,333333333333333;0,444444444444444;0,444444444444444
"467";"23001011040P7";"FARMÁCIA";"FARM";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"4";"NORDESTE";"RN";"UFRN";"CIÊNCIAS FARMACÊUTICAS";"MESTRADO/DOUTORADO";15;12;10;22;0,681818181818182;0,545454545454545;0,454545454545455;0,560606060606061
"468";"23001011041P3";"ENGENHARIAS III";"ENGIII";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"4";"NORDESTE";"RN";"UFRN";"CIÊNCIA E ENGENHARIA DE PETRÓLEO";"MESTRADO/DOUTORADO";14;10;8;19;0,736842105263158;0,526315789473684;0,421052631578947;0,56140350877193
"469";"23001011042P0";"MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA";"MAPE";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"3";"NORDESTE";"RN";"UFRN";"MATEMÁTICA APLICADA E ESTATISTICA";"MESTRADO";9;3;6;19;0,473684210526316;0,157894736842105;0,315789473684211;0,315789473684211
"470";"23001011043P6";"EDUCAÇÃO FÍSICA";"EFIS";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"4";"NORDESTE";"RN";"UFRN";"FISIOTERAPIA";"MESTRADO/DOUTORADO";7;7;1;14;0,5;0,5;0,0714285714285714;0,357142857142857
"471";"23001011044P2";"ARTES / MÚSICA";"ARTE";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"3";"NORDESTE";"RN";"UFRN";"ARTES CÊNICAS";"MESTRADO";6;6;10;15;0,4;0,4;0,666666666666667;0,488888888888889
"472";"23001011046P5";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADM";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"4";"NORDESTE";"RN";"UFRN";"TURISMO";"MESTRADO/DOUTORADO";9;9;8;13;0,692307692307692;0,692307692307692;0,615384615384615;0,666666666666667
"473";"23001011047P1";"FARMÁCIA";"FARM";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"4";"NORDESTE";"RN";"UFRN";"DESENVOLVIMENTO E INOVAÇÃO TECNOLÓGICA EM MEDICAMENTOS";"DOUTORADO";16;14;14;30;0,533333333333333;0,466666666666667;0,466666666666667;0,488888888888889
"474";"23001011050P2";"ZOOTECNIA / RECURSOS PESQUEIROS";"ZOOT";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";"NORDESTE";"RN";"UFRN";"PRODUÇÃO ANIMAL";"MESTRADO";8;9;6;12;0,666666666666667;0,75;0,5;0,638888888888889
"475";"23001011051P9";"ENGENHARIAS I";"ENGI";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";"NORDESTE";"RN";"UFRN";"ENGENHARIA CIVIL";"MESTRADO";8;8;5;16;0,5;0,5;0,3125;0,4375
"476";"23001011052P5";"ARQUITETURA, URBANISMO E DESIGN";"ARQU";"FEDERAL";"PÚBLICA";2010;"PROFISSIONAL";"4";"NORDESTE";"RN";"UFRN";"ARQUITETURA E URBANISMO";"MESTRADO PROF.";6;4;4;10;0,6;0,4;0,4;0,466666666666667
"477";"23001011053P1";"COMUNICAÇÃO E INFORMAÇÃO";"31";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"4";"NORDESTE";"RN";"UFRN";"ESTUDOS DA MÍDIA";"MESTRADO/DOUTORADO";9;10;9;15;0,6;0,666666666666667;0,6;0,622222222222222
"478";"23001011054P8";"CIÊNCIAS BIOLÓGICAS II";"CBII";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"4";"NORDESTE";"RN";"UFRN";"NEUROCIÊNCIAS";"MESTRADO/DOUTORADO";9;7;3;12;0,75;0,583333333333333;0,25;0,527777777777778
"479";"23001011055P4";"PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA";"PLUR";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";"NORDESTE";"RN";"UFRN";"ESTUDOS URBANOS E REGIONAIS";"MESTRADO";11;16;14;21;0,523809523809524;0,761904761904762;0,666666666666667;0,650793650793651
"480";"23001011056P0";"GEOCIÊNCIAS";"GEOC";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"4";"NORDESTE";"RN";"UFRN";"CIÊNCIAS CLIMÁTICAS";"MESTRADO/DOUTORADO";7;6;4;13;0,538461538461538;0,461538461538462;0,307692307692308;0,435897435897436
"481";"23001011057P7";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADM";"FEDERAL";"PÚBLICA";2011;"PROFISSIONAL";"3";"NORDESTE";"RN";"UFRN";"GESTÃO PÚBLICA";"MESTRADO PROF.";5;6;8;12;0,416666666666667;0,5;0,666666666666667;0,527777777777778
"482";"23001011058P3";"PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA";"PLUR";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";"NORDESTE";"RN";"UFRN";"DEMOGRAFIA";"MESTRADO";3;5;7;13;0,230769230769231;0,384615384615385;0,538461538461538;0,384615384615385
"483";"23001011059P0";"BIODIVERSIDADE";"BIOD";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"4";"NORDESTE";"RN";"UFRN";"SISTEMÁTICA E EVOLUÇÃO";"MESTRADO/DOUTORADO";7;8;3;15;0,466666666666667;0,533333333333333;0,2;0,4
"484";"23001011060P8";"EDUCAÇÃO FÍSICA";"EFIS";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";"NORDESTE";"RN";"UFRN";"EDUCAÇÃO FÍSICA";"MESTRADO";9;6;4;18;0,5;0,333333333333333;0,222222222222222;0,351851851851852
"485";"23001011061P4";"CIÊNCIAS AGRÁRIAS I";"CAGRI";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";"NORDESTE";"RN";"UFRN";"CIÊNCIAS FLORESTAIS";"MESTRADO";10;11;7;15;0,666666666666667;0,733333333333333;0,466666666666667;0,622222222222222
"486";"23001011062P0";"ARQUITETURA, URBANISMO E DESIGN";"ARQU";"FEDERAL";"PÚBLICA";2012;"PROFISSIONAL";"3";"NORDESTE";"RN";"UFRN";"DESIGN";"MESTRADO PROF.";12;10;13;12;1;0,833333333333333;1,08333333333333;0,972222222222222
"487";"23001011063P7";"ENSINO";"ENSI";"FEDERAL";"PÚBLICA";2013;"PROFISSIONAL";"3";"NORDESTE";"RN";"UFRN";"ENSINO NA SAÚDE";"MESTRADO PROF.";14;12;12;19;0,736842105263158;0,631578947368421;0,631578947368421;0,666666666666667
"488";"23001011066P6";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2013;"PROFISSIONAL";"3";"NORDESTE";"RN";"UFRN";"GESTÃO DE PROCESSOS INSTITUCIONAIS";"MESTRADO PROF.";10;9;11;13;0,769230769230769;0,692307692307692;0,846153846153846;0,769230769230769
"489";"23001011067P2";"ARTES / MÚSICA";"ARTE";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";"NORDESTE";"RN";"UFRN";"MÚSICA";"MESTRADO";3;4;3;13;0,230769230769231;0,307692307692308;0,230769230769231;0,256410256410256
"490";"23001011068P9";"ENGENHARIAS IV";"ENGIV";"FEDERAL";"PÚBLICA";2013;"PROFISSIONAL";"3";"NORDESTE";"RN";"UFRN";"ENERGIA ELÉTRICA";"MESTRADO PROF.";2;1;4;12;0,166666666666667;0,0833333333333333;0,333333333333333;0,194444444444444
"491";"23001011069P5";"LETRAS / LINGUÍSTICA";"LETR";"FEDERAL";"PÚBLICA";2013;"PROFISSIONAL";"4";"NORDESTE";"RN";"UFRN";"LETRAS";"MESTRADO PROF.";51;67;69;548;0,0930656934306569;0,122262773722628;0,125912408759124;0,11374695863747
"492";"23001011070P3";"CIÊNCIAS BIOLÓGICAS II";"CBII";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";"NORDESTE";"RN";"UFRN";"BIOLOGIA ESTRUTURAL E FUNCIONAL";"MESTRADO";11;11;7;16;0,6875;0,6875;0,4375;0,604166666666667
"493";"23001011071P0";"CIÊNCIA DA COMPUTAÇÃO";"CCOMP";"FEDERAL";"PÚBLICA";2014;"PROFISSIONAL";"3";"NORDESTE";"RN";"UFRN";"ENGENHARIA DE SOFTWARE";"MESTRADO PROF.";7;6;3;12;0,583333333333333;0,5;0,25;0,444444444444444
"494";"23001011072P6";"SAÚDE COLETIVA";"SCOL";"FEDERAL";"PÚBLICA";2014;"PROFISSIONAL";"3";"NORDESTE";"RN";"UFRN";"GESTÃO DA QUALIDADE EM SERVIÇOS DE SAÚDE";"MESTRADO PROF.";8;12;7;22;0,363636363636364;0,545454545454545;0,318181818181818;0,409090909090909
"495";"23001011073P2";"CIÊNCIAS BIOLÓGICAS III";"CBIII";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"3";"NORDESTE";"RN";"UFRN";"BIOLOGIA PARASITÁRIA";"MESTRADO";6;6;4;11;0,545454545454545;0,545454545454545;0,363636363636364;0,484848484848485
"496";"23001011074P9";"ENGENHARIAS III";"ENGIII";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"3";"NORDESTE";"RN";"UFRN";"ENGENHARIA MECATRÔNICA";"MESTRADO";6;4;2;11;0,545454545454545;0,363636363636364;0,181818181818182;0,363636363636364
"497";"23001011075P5";"NUTRIÇÃO";"NUTR";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"3";"NORDESTE";"RN";"UFRN";"NUTRIÇÃO";"MESTRADO";9;10;5;13;0,692307692307692;0,769230769230769;0,384615384615385;0,615384615384615
"498";"23001011076P1";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADM";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"3";"NORDESTE";"RN";"UFRN";"CIÊNCIAS CONTÁBEIS";"MESTRADO";5;4;8;14;0,357142857142857;0,285714285714286;0,571428571428571;0,404761904761905
"499";"23001011077P8";"ENSINO";"ENSI";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"4";"NORDESTE";"RN";"UFRN";"ENSINO DE CIÊNCIAS E MATEMÁTICA";"DOUTORADO";6;6;8;9;0,666666666666667;0,666666666666667;0,888888888888889;0,740740740740741
"500";"23001011078P4";"GEOGRAFIA";"GEOG";"FEDERAL";"PÚBLICA";2015;"PROFISSIONAL";"4";"NORDESTE";"RN";"UFRN";"PROGRAMA DE POS-GRADUAÇÃO EM GEOGRAFIA - MESTRADO PROFISSIONAL";"MESTRADO PROF.";5;5;6;15;0,333333333333333;0,333333333333333;0,4;0,355555555555556
"501";"23001011079P0";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2015;"PROFISSIONAL";"3";"NORDESTE";"RN";"UFRN";"CIÊNCIA, TECNOLOGIA E INOVAÇÃO";"MESTRADO PROF.";13;10;12;15;0,866666666666667;0,666666666666667;0,8;0,777777777777778
"502";"23001011080P9";"COMUNICAÇÃO E INFORMAÇÃO";"31";"FEDERAL";"PÚBLICA";2015;"PROFISSIONAL";"3";"NORDESTE";"RN";"UFRN";"GESTÃO DA INFORMAÇÃO E DO CONHECIMENTO";"MESTRADO PROF.";8;4;8;9;0,888888888888889;0,444444444444444;0,888888888888889;0,740740740740741
"503";"23001011170P8";"CIÊNCIAS BIOLÓGICAS I";"CBI";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"5";"NORDESTE";"RN";"UFRN";"BIOINFORMÁTICA";"MESTRADO/DOUTORADO";16;11;13;23;0,695652173913043;0,478260869565217;0,565217391304348;0,579710144927536
