"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"SG_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"NM_REGIAO";"SG_UF_PROGRAMA";"SG_ENTIDADE_ENSINO";"NM_PROGRAMA_IES";"NM_GRAU_PROGRAMA";"QIP";"QPP";"DIPP";"DFPP";"QMP";"DFCP";"CC"
"44";"12001015036P9";"PSICOLOGIA";"PSICO";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"PSICOLOGIA";"MESTRADO";3;13;0,230769230769231;1,55555555555556;1,77777777777778;0,916666666666667;0,573717948717949
"45";"12001015037P5";"LETRAS / LINGUÍSTICA";"LETR";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"LETRAS";"MESTRADO";1;1;1;1;1;1;1
"46";"12001015038P1";"BIOTECNOLOGIA";"BIOT";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"4";"NORTE";"AM";"UFAM";"BIODIVERSIDADE E BIOTECNOLOGIA - REDE BIONORTE";"DOUTORADO";7;173;0,0404624277456647;1,05445544554455;1,04950495049505;1,02310231023102;0,531782368988344
"47";"12001015039P8";"MEDICINA II";"MEDII";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"CIÊNCIAS DA SAÚDE";"MESTRADO";2;2;1;1,93333333333333;1,53333333333333;1,4;1,2
"48";"12001015040P6";"ODONTOLOGIA";"ODON";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"ODONTOLOGIA";"MESTRADO";2;10;0,2;1,25;1,875;0,791666666666667;0,495833333333333
"49";"12001015041P2";"CIÊNCIAS AMBIENTAIS";"CAMB";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"CIÊNCIA E TECNOLOGIA PARA RECURSOS AMAZÔNICOS";"MESTRADO";3;26;0,115384615384615;1,45454545454545;1,54545454545455;0,977272727272727;0,546328671328671
"50";"12001015042P9";"ENSINO";"ENSI";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"ENSINO DE CIÊNCIAS E MATEMÁTICA";"MESTRADO";4;3;1,33333333333333;1,125;1;1,125;1,22916666666667
"51";"12001015063P6";"BIODIVERSIDADE";"BIOD";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"4";"NORTE";"AM";"UFAM";"ZOOLOGIA";"MESTRADO/DOUTORADO";5;17;0,294117647058824;1,3;1,5;1;0,647058823529412
"52";"12001015064P2";"CIÊNCIAS AMBIENTAIS";"CAMB";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"CIÊNCIAS AMBIENTAIS";"MESTRADO";1;1;1;1,33333333333333;1,18181818181818;1,15151515151515;1,07575757575758
"53";"12001015066P5";"ZOOTECNIA / RECURSOS PESQUEIROS";"ZOOT";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"CIÊNCIA ANIMAL";"MESTRADO";4;9;0,444444444444444;1;1;1;0,722222222222222
"54";"12002011001P7";"BIODIVERSIDADE";"BIOD";"FEDERAL";"PÚBLICA";1976;"ACADÊMICO";"4";"NORTE";"AM";"INPA";"CIÊNCIAS BIOLÓGICAS";"MESTRADO/DOUTORADO";6;13;0,461538461538462;NA;NA;NA;NA
"55";"12002011002P3";"BIODIVERSIDADE";"BIOD";"FEDERAL";"PÚBLICA";1973;"ACADÊMICO";"4";"NORTE";"AM";"INPA";"CIÊNCIAS BIOLÓGICAS (BOTÂNICA)";"MESTRADO/DOUTORADO";2;10;0,2;NA;NA;NA;NA
"56";"12002011003P0";"BIODIVERSIDADE";"BIOD";"FEDERAL";"PÚBLICA";1976;"ACADÊMICO";"6";"NORTE";"AM";"INPA";"BIOLOGIA (ECOLOGIA)";"MESTRADO/DOUTORADO";4;52;0,0769230769230769;NA;NA;NA;NA
"57";"12002011004P6";"BIODIVERSIDADE";"BIOD";"FEDERAL";"PÚBLICA";1976;"ACADÊMICO";"5";"NORTE";"AM";"INPA";"CIÊNCIAS BIOLÓGICAS (ENTOMOLOGIA)";"MESTRADO/DOUTORADO";5;36;0,138888888888889;NA;NA;NA;NA
"58";"12002011006P9";"CIÊNCIAS AGRÁRIAS I";"CAGRI";"FEDERAL";"PÚBLICA";1980;"ACADÊMICO";"5";"NORTE";"AM";"INPA";"CIÊNCIAS DE FLORESTAS TROPICAIS";"MESTRADO/DOUTORADO";5;47;0,106382978723404;NA;NA;NA;NA
"59";"12002011009P8";"CIÊNCIAS BIOLÓGICAS I";"CBI";"FEDERAL";"PÚBLICA";2003;"ACADÊMICO";"4";"NORTE";"AM";"INPA";"GENÉTICA, CONSERVAÇÃO E BIOLOGIA EVOLUTIVA";"MESTRADO/DOUTORADO";10;133;0,075187969924812;NA;NA;NA;NA
"60";"12002011010P6";"CIÊNCIAS AGRÁRIAS I";"CAGRI";"FEDERAL";"PÚBLICA";2002;"ACADÊMICO";"3";"NORTE";"AM";"INPA";"AGRICULTURA NO TRÓPICO ÚMIDO";"MESTRADO";4;42;0,0952380952380952;NA;NA;NA;NA
