"";"SG_ENTIDADE_ENSINO";"m_IMI";"m_IPT";"md_IMI";"md_IPT";"v_IMI";"v_IPT";"d_IMI";"d_IPT";"pc_IMI";"pc_IPT";"cor"
"32";"UCDB";0,604879940098456;0,631135531135531;0,590028012619875;0,785714285714286;0,00287872428759076;0,0785126595016705;0,0536537443948767;0,280201105461186;8,87014774967467;44,3963446261774;-0,953241194946016
"33";"UCP/RJ";0,613995726495726;0,5;0,613995726495726;0,5;NA;NA;NA;NA;NA;NA;NA
"34";"UCS";0,575079487999288;0,758241848928123;0,556207662035381;0,6;0,00156349476146306;0,444512687761645;0,0395410515978401;0,666717847189983;6,87575412147009;87,9294446926766;-0,355932709184452
"35";"UCSAL";0,631895678846898;0,1;0,631895678846898;0,1;NA;NA;NA;NA;NA;NA;NA
"36";"UDESC";0,515084297511752;0,521026592455164;0,513173287586944;0,323863636363636;0,00466560647272235;0,265839257487952;0,0683052448405124;0,515596021598259;13,2609837206218;98,9577171423602;-0,0502213935652747
"37";"UEA";0,583816902052196;0,233333333333333;0,583816902052196;0,233333333333333;0,00299197740452195;0,02;0,0546989707811943;0,14142135623731;9,36919958790504;60,6091526731326;-1
"38";"UECE";0,504974557583497;0,4363662844055;0,546038381907947;0,2;0,0125131265158092;0,281089742477772;0,111862087034925;0,530178972119578;22,1520243653917;121,498610471679;0,061405581483083
"39";"UEFS";0,515050735208656;0,376361269145339;0,559865732827689;0,0869565217391304;0,0111835373794073;0,273224170106502;0,10575224526887;0,522708494389083;20,5323938089377;138,884773020369;0,230578381077097
"40";"UEG";0,575310905215977;0,100548245614035;0,5655098953793;0,0645833333333333;0,00238923790167322;0,00537949176669744;0,0488798312361368;0,0733450186904158;8,49624625449902;72,9451003769457;-0,507509154376114
"41";"UEL";0,473938697344598;0,448358957897293;0,469717413689262;0,272727272727273;0,0114879369164902;0,245137158770111;0,107181793773431;0,495113278725294;22,6151176035957;110,427877040144;0,229201425724535
"42";"UEM";0,44692009123925;0,277174125897036;0,470892817354214;0,181818181818182;0,00992645737569236;0,0931595086827865;0,0996316083162987;0,305220426385238;22,2929356431557;110,11865750363;0,228151652488924
"43";"UEMA";0,518192873391882;0,166910866910867;0,564893684746626;0,0769230769230769;0,012938177129149;0,027167456068555;0,113746108193419;0,164825532210744;21,9505350293382;98,7506297590338;0,38447221109415
"44";"UEMG";0,580112715659133;0,349358974358974;0,580112715659133;0,349358974358974;0,00774737371327008;0,141539283366206;0,0880191667381036;0,376217069477458;15,1727697673537;107,687821721988;1
"45";"UEMS";0,543057226310741;0,116666666666667;0,545301299283154;0,133333333333333;0,00184819744026613;0,00361111111111111;0,0429906668972014;0,0600925212577332;7,91641558464445;51,5078753637713;0,725240597612933
"46";"UENF";0,495146104958339;0,569079770132402;0,501029575983559;0,224171539961014;0,0136282116458453;0,420183639538296;0,116739931667983;0,648215735336852;23,5768655956216;113,905952971415;-0,0281982427867092
"47";"UEPA";0,540726798554179;0,184920634920635;0,512301587301587;0,15;0,00456879863589863;0,0180631141345427;0,0675928889447598;0,134399085318847;12,5003771082722;72,679333691737;0,90154521552353
"48";"UEPB";0,539828169717876;0,295217086834734;0,576960784313726;0,0714285714285714;0,0156853680395151;0,101745158602657;0,125241239372321;0,318975169257196;23,2002045091079;108,047665085105;0,591829825305004
"49";"UEPG";0,515069940564742;0,523109908312325;0,537186394964332;0,551630434782609;0,0166973277324671;0,161792049995975;0,129218140106051;0,402233825027154;25,0874939361384;76,8927941596164;0,150025107412246
"50";"UERJ";0,499511100984862;0,299352944291525;0,516331174099759;0,149553571428571;0,0110985160166004;0,137281307824806;0,105349494619577;0,370514922539978;21,0905211939965;123,771931963746;0,0457576768398626
"51";"UERN";0,540414045096203;0,242613636363636;0,539758329374092;0,1875;0,00148174287479391;0,0449625516528926;0,0384934133949422;0,21204374938416;7,12294836602363;87,3997655541269;-0,673136439329896
"52";"UESB";0,465121207975407;0,0875222816399287;0,486460584583439;0,0588235294117647;0,00762033906972293;0,00260886273521274;0,0872945534940349;0,0510770274704073;18,7681301125814;58,3588847472474;0,467194944569534
"53";"UESC";0,501562174918698;0,300342967719129;0,50483626932985;0,105128205128205;0,0106479904318083;0,127173168542763;0,103189100353711;0,356613472183487;20,5735411308555;118,735416011798;0,130732434120225
"54";"UEZO";0,777962315462315;0,153846153846154;0,777962315462315;0,153846153846154;NA;NA;NA;NA;NA;NA;NA
"55";"UFABC";0,565231022752036;0,205399833440174;0,55328009120331;0,118055555555556;0,0179579935794042;0,036610200713266;0,134007438522659;0,191337922830959;23,7084365734552;93,1538841226418;-0,178191191458541
"56";"UFAL";0,466392231267281;0,594147120127512;0,47370015130788;0,470588235294118;0,0100013848893368;0,32803378873074;0,100006924206961;0,572742340612897;21,4426651008363;96,3973940477871;-0,0148360010763144
"57";"UFAM";0,485493763117241;0,473718637027461;0,453309286574467;0,446428571428571;0,0139552120131375;0,175397116694694;0,118132180260662;0,418804389536087;24,3323785463613;88,4078346936157;-0,203571085592464
"58";"UFBA";0,498320353191595;0,437163814619948;0,503889221158958;0,277777777777778;0,0125982644724805;0,247176940100838;0,11224199068299;0,497168925115838;22,5240630779204;113,726001212625;0,12416332022944
"59";"UFC";0,433197398845893;0,346817855528011;0,407558254063188;0,24;0,0118396099050595;0,0821325258791036;0,108809971533217;0,28658772806787;25,1178727811164;82,63349867946;0,157331146505863
"60";"UFCG";0,408845996102875;0,58392432730668;0,382807832396648;0,3125;0,0101504017648457;0,514278270988305;0,100749202303769;0,717131975990685;24,6423355650077;122,812484846867;0,683921747392961
"61";"UFCSPA";0,387288728179008;0,105263157894737;0,387288728179008;0,105263157894737;NA;NA;NA;NA;NA;NA;NA
"62";"UFERSA";0,552509800709115;0,11492673992674;0,568053647741148;0,125;0,0114276980064114;0,00116292818902709;0,106900411628821;0,0341017329329037;19,3481475788521;29,6725835559608;-0,381269147100614
"63";"UFES";0,49201074117182;0,370740285768745;0,470281649955164;0,166666666666667;0,0132739945973861;0,201830015252321;0,115212823059702;0,449254955734848;23,4167292334512;121,177809097088;0,00000991240792233567
"64";"UFF";0,477904083702224;0,274068411338644;0,465135341320523;0,125;0,00916932759195879;0,108639615219605;0,095756605996447;0,329605241492918;20,0367833759947;120,263856707533;-0,259958625505996
"65";"UFFS";0,533027019912826;0,0697115384615385;0,533027019912826;0,0697115384615385;0,00969358254534961;0,000104012573964497;0,098455992937706;0,0101986554978829;18,4711073284442;14,6297954728251;-1
"66";"UFG";0,503251746059641;0,3148935756955;0,49351994141818;0,166666666666667;0,00804125849084655;0,160158773563725;0,0896730644666867;0,400198417742655;17,8187289301644;127,090054745875;-0,0700360589133534
"67";"UFGD";0,553323177388103;0,261821219715957;0,524785432766531;0,242690058479532;0,00568191073671213;0,0152948788010126;0,0753784500816522;0,123672465816012;13,6228614961454;47,2354631722291;-0,766437233204393
"68";"UFJF";0,462311436067553;0,305373702202814;0,456914782004595;0,142857142857143;0,0141069110216239;0,161116115387634;0,118772517956066;0,401392719649515;25,6910188003029;131,443119284361;0,0500158175139587
"69";"UFLA";0,453427344062231;0,321658578229137;0,452532242063492;0,227272727272727;0,0101094732046984;0,0653177975992513;0,100545876119801;0,255573468105066;22,1746388779769;79,4548895639915;0,101048502941657
"70";"UFMA";0,5362353384971;0,565118823156245;0,518775297904374;0,333333333333333;0,0129669374312979;0,447143581392368;0,113872461250725;0,668687955172192;21,2355384055579;118,326965546379;-0,452082623597929
"71";"UFMG";0,427614929595521;0,394624292547681;0,419292296245421;0,2;0,0079613872459422;0,176715102843369;0,0892266061550152;0,420374955061989;20,8661110685294;106,525361717613;0,0877857667039883
"72";"UFMS";0,5201480416378;0,293103832442068;0,50558430899332;0,223707664884135;0,0129338566373311;0,0441147680207231;0,113727114785046;0,210035159010874;21,8643743090816;71,6589603284657;-0,836810450884966
"73";"UFMT";0,542752389038057;0,378662432338903;0,556539607510611;0,214285714285714;0,0120758554906316;0,289379888300339;0,109890197427394;0,537940413336216;20,2468380880197;142,063317454941;0,31526035859876
"74";"UFOP";0,507481657865666;0,366044200897142;0,49055405923053;0,19375;0,00896417825458958;0,111045034646442;0,0946793443924787;0,333234203896362;18,6567027448194;91,0366024320655;-0,302554583659139
"75";"UFOPA";0,59260171713845;0,107456140350877;0,598326653650119;0,105263157894737;0,00199285502774877;0,00217374576792859;0,0446414048585926;0,0466234465470818;7,53312107736653;43,3883502560598;-0,921010531789383
"76";"UFPA";0,496240890783413;0,301076655863639;0,497839199288475;0,15;0,00943929257993792;0,115185795427328;0,0971560218408407;0,339390329012669;19,5783990487888;112,725554241038;-0,421584319247944
