"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO.x";"SG_AREA_AVALIACAO.x";"CS_STATUS_JURIDICO.x";"DS_DEPENDENCIA_ADMINISTRATIVA.x";"ANO_INICIO_PROGRAMA.x";"NM_MODALIDADE_PROGRAMA.x";"CD_CONCEITO_PROGRAMA.x";"NM_REGIAO.x";"SG_UF_PROGRAMA.x";"SG_ENTIDADE_ENSINO.x";"NM_PROGRAMA_IES.x";"NM_GRAU_PROGRAMA.x";"FCDo";"FCDi";"CC";"CP";"IMI";"NM_AREA_AVALIACAO.y";"SG_AREA_AVALIACAO.y";"CS_STATUS_JURIDICO.y";"DS_DEPENDENCIA_ADMINISTRATIVA.y";"ANO_INICIO_PROGRAMA.y";"NM_MODALIDADE_PROGRAMA.y";"CD_CONCEITO_PROGRAMA.y";"NM_REGIAO.y";"SG_UF_PROGRAMA.y";"SG_ENTIDADE_ENSINO.y";"NM_PROGRAMA_IES.y";"NM_GRAU_PROGRAMA.y";"QPPP";"SPPP";"SPPPr";"SAPP";"QPPa";"QPPr";"QPA";"IPT"
"607";"25001019023P0";"MEDICINA III";"MEDIII";"FEDERAL";"PÚBLICA";1973;"ACADÊMICO";"4";"NORDESTE";"PE";"UFPE";"CIRURGIA";"MESTRADO/DOUTORADO";0,452380952380952;0,242424242424242;0,538978494623656;0,526785714285714;0,440142350928641;"MEDICINA III";"MEDIII";"FEDERAL";"PÚBLICA";1973;"ACADÊMICO";"4";"NORDESTE";"PE";"UFPE";"CIRURGIA";"MESTRADO/DOUTORADO";14;0;0;0;0;0;0;0
"608";"25001019024P7";"MEDICINA II";"MEDII";"FEDERAL";"PÚBLICA";1973;"ACADÊMICO";"5";"NORDESTE";"PE";"UFPE";"MEDICINA TROPICAL";"MESTRADO/DOUTORADO";0,642857142857143;0,188679245283019;0,56525;0,566111111111111;0,490724374812818;"MEDICINA II";"MEDII";"FEDERAL";"PÚBLICA";1973;"ACADÊMICO";"5";"NORDESTE";"PE";"UFPE";"MEDICINA TROPICAL";"MESTRADO/DOUTORADO";14;1;0;0;1;0;0;0,0714285714285714
"609";"25001019026P0";"MEDICINA II";"MEDII";"FEDERAL";"PÚBLICA";1973;"ACADÊMICO";"4";"NORDESTE";"PE";"UFPE";"SAÚDE DA CRIANÇA E DO ADOLESCENTE";"MESTRADO/DOUTORADO";0,518518518518518;0,22;0,225;0,588194444444444;0,387928240740741;"MEDICINA II";"MEDII";"FEDERAL";"PÚBLICA";1973;"ACADÊMICO";"4";"NORDESTE";"PE";"UFPE";"SAÚDE DA CRIANÇA E DO ADOLESCENTE";"MESTRADO/DOUTORADO";18;1;0;1;1;0;1;0,111111111111111
"610";"25001019027P6";"FARMÁCIA";"FARM";"FEDERAL";"PÚBLICA";1976;"ACADÊMICO";"4";"NORDESTE";"PE";"UFPE";"CIÊNCIAS FARMACÊUTICAS";"MESTRADO/DOUTORADO";0,383333333333333;0,219512195121951;0,400452308583008;0,448;0,362824459259573;"FARMÁCIA";"FARM";"FEDERAL";"PÚBLICA";1976;"ACADÊMICO";"4";"NORDESTE";"PE";"UFPE";"CIÊNCIAS FARMACÊUTICAS";"MESTRADO/DOUTORADO";20;36;3;0;36;3;0;1,95
"611";"25001019028P2";"NUTRIÇÃO";"NUTR";"FEDERAL";"PÚBLICA";1971;"ACADÊMICO";"6";"NORDESTE";"PE";"UFPE";"NUTRIÇÃO";"MESTRADO/DOUTORADO";0,647058823529412;0,169230769230769;0,497345420513309;0,589930555555556;0,475891392207261;"NUTRIÇÃO";"NUTR";"FEDERAL";"PÚBLICA";1971;"ACADÊMICO";"6";"NORDESTE";"PE";"UFPE";"NUTRIÇÃO";"MESTRADO/DOUTORADO";17;12;0;0;12;0;0;0,705882352941177
"612";"25001019029P9";"DIREITO";"DIRE";"FEDERAL";"PÚBLICA";1972;"ACADÊMICO";"4";"NORDESTE";"PE";"UFPE";"DIREITO";"MESTRADO/DOUTORADO";0,2;0,169491525423729;0,616666666666667;0,376315789473684;0,34061849539102;"DIREITO";"DIRE";"FEDERAL";"PÚBLICA";1972;"ACADÊMICO";"4";"NORDESTE";"PE";"UFPE";"DIREITO";"MESTRADO/DOUTORADO";30;0;0;0;0;0;0;0
"613";"25001019030P7";"PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA";"PLUR";"FEDERAL";"PÚBLICA";1975;"ACADÊMICO";"5";"NORDESTE";"PE";"UFPE";"DESENVOLVIMENTO URBANO";"MESTRADO/DOUTORADO";0,444444444444444;0,242857142857143;0,58859649122807;0,420333333333333;0,424057852965748;"PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA";"PLUR";"FEDERAL";"PÚBLICA";1975;"ACADÊMICO";"5";"NORDESTE";"PE";"UFPE";"DESENVOLVIMENTO URBANO";"MESTRADO/DOUTORADO";21;0;0;0;0;0;0;0
"614";"25001019031P3";"SERVIÇO SOCIAL";"SSOC";"FEDERAL";"PÚBLICA";1979;"ACADÊMICO";"6";"NORDESTE";"PE";"UFPE";"SERVIÇO SOCIAL";"MESTRADO/DOUTORADO";0,363636363636364;0,21875;0,487275985663082;0,519047619047619;0,397177492086766;"SERVIÇO SOCIAL";"SSOC";"FEDERAL";"PÚBLICA";1979;"ACADÊMICO";"6";"NORDESTE";"PE";"UFPE";"SERVIÇO SOCIAL";"MESTRADO/DOUTORADO";11;0;0;0;0;0;0;0
"615";"25001019032P0";"LETRAS / LINGUÍSTICA";"LETR";"FEDERAL";"PÚBLICA";1976;"ACADÊMICO";"5";"NORDESTE";"PE";"UFPE";"LETRAS";"MESTRADO/DOUTORADO";0,416666666666667;0,147887323943662;0,509523809523809;0,418859649122807;0,373234362314236;"LETRAS / LINGUÍSTICA";"LETR";"FEDERAL";"PÚBLICA";1976;"ACADÊMICO";"5";"NORDESTE";"PE";"UFPE";"LETRAS";"MESTRADO/DOUTORADO";28;0;0;0;0;0;0;0
"616";"25001019033P6";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"CPOL";"FEDERAL";"PÚBLICA";1982;"ACADÊMICO";"6";"NORDESTE";"PE";"UFPE";"CIÊNCIA POLÍTICA";"MESTRADO/DOUTORADO";0,619047619047619;0,357142857142857;0,598214285714286;0,293859649122807;0,467066102756892;"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"CPOL";"FEDERAL";"PÚBLICA";1982;"ACADÊMICO";"6";"NORDESTE";"PE";"UFPE";"CIÊNCIA POLÍTICA";"MESTRADO/DOUTORADO";14;0;0;0;0;0;0;0
"617";"25001019034P2";"BIODIVERSIDADE";"BIOD";"FEDERAL";"PÚBLICA";1982;"ACADÊMICO";"5";"NORDESTE";"PE";"UFPE";"OCEANOGRAFIA";"MESTRADO/DOUTORADO";0,5;0,288888888888889;0,622971090212469;0,473850574712644;0,471427638453501;"BIODIVERSIDADE";"BIOD";"FEDERAL";"PÚBLICA";1982;"ACADÊMICO";"5";"NORDESTE";"PE";"UFPE";"OCEANOGRAFIA";"MESTRADO/DOUTORADO";22;0;0;0;0;0;0;0
"618";"25001019036P5";"QUÍMICA";"QUIM";"FEDERAL";"PÚBLICA";1989;"ACADÊMICO";"6";"NORDESTE";"PE";"UFPE";"QUÍMICA";"MESTRADO/DOUTORADO";0,277777777777778;0,0895522388059701;0,420319036705591;0,427352607709751;0,303750415249772;"QUÍMICA";"QUIM";"FEDERAL";"PÚBLICA";1989;"ACADÊMICO";"6";"NORDESTE";"PE";"UFPE";"QUÍMICA";"MESTRADO/DOUTORADO";36;18;1;3;18;1;3;0,611111111111111
"619";"25001019037P1";"CIÊNCIAS BIOLÓGICAS I";"CBI";"FEDERAL";"PÚBLICA";1992;"ACADÊMICO";"4";"NORDESTE";"PE";"UFPE";"GENÉTICA";"MESTRADO/DOUTORADO";0,45;0,0980392156862745;0,431973241183768;0,458712121212121;0,359681144520541;"CIÊNCIAS BIOLÓGICAS I";"CBI";"FEDERAL";"PÚBLICA";1992;"ACADÊMICO";"4";"NORDESTE";"PE";"UFPE";"GENÉTICA";"MESTRADO/DOUTORADO";20;0;0;0;0;0;0;0
"620";"25001019038P8";"BIODIVERSIDADE";"BIOD";"FEDERAL";"PÚBLICA";1992;"ACADÊMICO";"6";"NORDESTE";"PE";"UFPE";"BIOLOGIA VEGETAL";"MESTRADO/DOUTORADO";0,365079365079365;0,189655172413793;0,474833635813672;0,457142857142857;0,371677757612422;"BIODIVERSIDADE";"BIOD";"FEDERAL";"PÚBLICA";1992;"ACADÊMICO";"6";"NORDESTE";"PE";"UFPE";"BIOLOGIA VEGETAL";"MESTRADO/DOUTORADO";21;1;0;0;1;0;0;0,0476190476190476
"621";"25001019039P4";"MEDICINA I";"MEDI";"FEDERAL";"PÚBLICA";1991;"ACADÊMICO";"3";"NORDESTE";"PE";"UFPE";"CIÊNCIAS DA SAÚDE";"MESTRADO";0,536231884057971;0,485714285714286;0,617236024844721;0,485069444444444;0,531062909765355;"MEDICINA I";"MEDI";"FEDERAL";"PÚBLICA";1991;"ACADÊMICO";"3";"NORDESTE";"PE";"UFPE";"CIÊNCIAS DA SAÚDE";"MESTRADO";23;1;0;0;1;0;0;0,0434782608695652
"622";"25001019040P2";"ENGENHARIAS I";"ENGI";"FEDERAL";"PÚBLICA";1992;"ACADÊMICO";"5";"NORDESTE";"PE";"UFPE";"ENGENHARIA CIVIL";"MESTRADO/DOUTORADO";0,357142857142857;0,233644859813084;0,486734693877551;0,372072072072072;0,362398620726391;"ENGENHARIAS I";"ENGI";"FEDERAL";"PÚBLICA";1992;"ACADÊMICO";"5";"NORDESTE";"PE";"UFPE";"ENGENHARIA CIVIL";"MESTRADO/DOUTORADO";28;0;1;0;0;1;0;0,0357142857142857
"623";"25001019041P9";"BIODIVERSIDADE";"BIOD";"FEDERAL";"PÚBLICA";1994;"ACADÊMICO";"5";"NORDESTE";"PE";"UFPE";"BIOLOGIA ANIMAL";"MESTRADO/DOUTORADO";0,333333333333333;0,108108108108108;0,480957767722474;0,439814814814815;0,340553505994682;"BIODIVERSIDADE";"BIOD";"FEDERAL";"PÚBLICA";1994;"ACADÊMICO";"5";"NORDESTE";"PE";"UFPE";"BIOLOGIA ANIMAL";"MESTRADO/DOUTORADO";22;0;0;0;0;0;0;0
"624";"25001019043P1";"MEDICINA II";"MEDII";"FEDERAL";"PÚBLICA";1994;"ACADÊMICO";"4";"NORDESTE";"PE";"UFPE";"NEUROPSIQUIATRIA E CIÊNCIAS DO COMPORTAMENTO";"MESTRADO/DOUTORADO";0,560606060606061;0,283018867924528;0,509090909090909;0,543103448275862;0,47395482147434;"MEDICINA II";"MEDII";"FEDERAL";"PÚBLICA";1994;"ACADÊMICO";"4";"NORDESTE";"PE";"UFPE";"NEUROPSIQUIATRIA E CIÊNCIAS DO COMPORTAMENTO";"MESTRADO/DOUTORADO";22;2;0;0;2;0;0;0,0909090909090909
"625";"25001019044P8";"ENGENHARIAS II";"ENGII";"FEDERAL";"PÚBLICA";1994;"ACADÊMICO";"4";"NORDESTE";"PE";"UFPE";"ENGENHARIA QUÍMICA";"MESTRADO/DOUTORADO";0,425925925925926;0,170731707317073;0,514962121212121;0,459848484848485;0,392867059825901;"ENGENHARIAS II";"ENGII";"FEDERAL";"PÚBLICA";1994;"ACADÊMICO";"4";"NORDESTE";"PE";"UFPE";"ENGENHARIA QUÍMICA";"MESTRADO/DOUTORADO";18;2;0;0;2;0;0;0,111111111111111
"626";"25001019045P4";"CIÊNCIAS BIOLÓGICAS I";"CBI";"FEDERAL";"PÚBLICA";1994;"ACADÊMICO";"4";"NORDESTE";"PE";"UFPE";"CIÊNCIAS BIOLÓGICAS";"MESTRADO/DOUTORADO";0,537634408602151;0,171717171717172;0,512431693989071;0,505284552845528;0,43176695678848;"CIÊNCIAS BIOLÓGICAS I";"CBI";"FEDERAL";"PÚBLICA";1994;"ACADÊMICO";"4";"NORDESTE";"PE";"UFPE";"CIÊNCIAS BIOLÓGICAS";"MESTRADO/DOUTORADO";31;18;9;0;18;9;0;0,870967741935484
"627";"25001019046P0";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADM";"FEDERAL";"PÚBLICA";1995;"ACADÊMICO";"4";"NORDESTE";"PE";"UFPE";"ADMINISTRAÇÃO";"MESTRADO/DOUTORADO";0,444444444444444;0,328571428571429;0,654714611872146;0,444791666666667;0,468130537888671;"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADM";"FEDERAL";"PÚBLICA";1995;"ACADÊMICO";"4";"NORDESTE";"PE";"UFPE";"ADMINISTRAÇÃO";"MESTRADO/DOUTORADO";21;0;0;0;0;0;0;0
"628";"25001019048P3";"MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA";"MAPE";"FEDERAL";"PÚBLICA";1996;"ACADÊMICO";"5";"NORDESTE";"PE";"UFPE";"ESTATÍSTICA";"MESTRADO/DOUTORADO";0,385964912280702;0,0869565217391304;0,601923076923077;0,482608695652174;0,389363301648771;"MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA";"MAPE";"FEDERAL";"PÚBLICA";1996;"ACADÊMICO";"5";"NORDESTE";"PE";"UFPE";"ESTATÍSTICA";"MESTRADO/DOUTORADO";19;1;0;0;1;0;0;0,0526315789473684
"629";"25001019050P8";"ENGENHARIAS III";"ENGIII";"FEDERAL";"PÚBLICA";1996;"ACADÊMICO";"4";"NORDESTE";"PE";"UFPE";"ENGENHARIA MECÂNICA";"MESTRADO/DOUTORADO";0,43859649122807;0,339622641509434;0,508108108108108;0,301736111111111;0,397015837989181;"ENGENHARIAS III";"ENGIII";"FEDERAL";"PÚBLICA";1996;"ACADÊMICO";"4";"NORDESTE";"PE";"UFPE";"ENGENHARIA MECÂNICA";"MESTRADO/DOUTORADO";19;3;0;6;3;0;6;0,473684210526316
"630";"25001019052P0";"GEOCIÊNCIAS";"GEOC";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"3";"NORDESTE";"PE";"UFPE";"CIÊNCIAS GEODÉSICAS E TECNOLOGIAS DA GEOINFORMAÇÃO";"MESTRADO";0,733333333333333;0,483333333333333;0,621929824561403;0,601282051282051;0,60996963562753;"GEOCIÊNCIAS";"GEOC";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"3";"NORDESTE";"PE";"UFPE";"CIÊNCIAS GEODÉSICAS E TECNOLOGIAS DA GEOINFORMAÇÃO";"MESTRADO";10;1;0;2;1;0;2;0,3
"631";"25001019053P7";"MATERIAIS";"MATE";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"5";"NORDESTE";"PE";"UFPE";"CIÊNCIA DE MATERIAIS";"MESTRADO/DOUTORADO";0,272727272727273;0,193877551020408;0,486344537815126;0,473886328725038;0,356708922571961;"MATERIAIS";"MATE";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"5";"NORDESTE";"PE";"UFPE";"CIÊNCIA DE MATERIAIS";"MESTRADO/DOUTORADO";22;19;0;0;19;0;0;0,863636363636364
"632";"25001019054P3";"COMUNICAÇÃO E INFORMAÇÃO";"31";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"4";"NORDESTE";"PE";"UFPE";"COMUNICAÇÃO";"MESTRADO/DOUTORADO";0,543859649122807;0,393939393939394;0,590909090909091;0,5;0,507177033492823;"COMUNICAÇÃO E INFORMAÇÃO";"31";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"4";"NORDESTE";"PE";"UFPE";"COMUNICAÇÃO";"MESTRADO/DOUTORADO";19;0;0;0;0;0;0;0
"633";"25001019055P0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2001;"PROFISSIONAL";"4";"NORDESTE";"PE";"UFPE";"GESTÃO PÚBLICA PARA O DESENVOLVIMENTO DO NORDESTE";"MESTRADO PROF.";15;0;0;0;0;0;0;0
"634";"25001019057P2";"ARQUITETURA, URBANISMO E DESIGN";"ARQU";"FEDERAL";"PÚBLICA";2003;"ACADÊMICO";"4";"NORDESTE";"PE";"UFPE";"DESIGN";"MESTRADO/DOUTORADO";0,650793650793651;0,403846153846154;0,680776014109347;0,484;0,554853954687288;"ARQUITETURA, URBANISMO E DESIGN";"ARQU";"FEDERAL";"PÚBLICA";2003;"ACADÊMICO";"4";"NORDESTE";"PE";"UFPE";"DESIGN";"MESTRADO/DOUTORADO";21;1;0;0;1;0;0;0,0476190476190476
"635";"25001019058P9";"ODONTOLOGIA";"ODON";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"4";"NORDESTE";"PE";"UFPE";"ODONTOLOGIA";"MESTRADO/DOUTORADO";0,431372549019608;0,0816326530612245;0,494390243902439;0,442156862745098;0,362388077182092;"ODONTOLOGIA";"ODON";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"4";"NORDESTE";"PE";"UFPE";"ODONTOLOGIA";"MESTRADO/DOUTORADO";17;0;0;0;0;0;0;0
"636";"25001019059P5";"ANTROPOLOGIA / ARQUEOLOGIA";"ANTR";"FEDERAL";"PÚBLICA";2003;"ACADÊMICO";"4";"NORDESTE";"PE";"UFPE";"ARQUEOLOGIA";"MESTRADO/DOUTORADO";0,564102564102564;0,296296296296296;0,533623188405797;0,417156862745098;0,452794727887439;"ANTROPOLOGIA / ARQUEOLOGIA";"ANTR";"FEDERAL";"PÚBLICA";2003;"ACADÊMICO";"4";"NORDESTE";"PE";"UFPE";"ARQUEOLOGIA";"MESTRADO/DOUTORADO";13;0;0;0;0;0;0;0
"637";"25001019060P3";"CIÊNCIAS AMBIENTAIS";"CAMB";"FEDERAL";"PÚBLICA";1998;"ACADÊMICO";"4";"NORDESTE";"PE";"UFPE";"DESENVOLVIMENTO E MEIO AMBIENTE";"MESTRADO";0,711111111111111;0,6;0,555772495755518;0,434649122807018;0,575383182418412;"CIÊNCIAS AMBIENTAIS";"CAMB";"FEDERAL";"PÚBLICA";1998;"ACADÊMICO";"4";"NORDESTE";"PE";"UFPE";"DESENVOLVIMENTO E MEIO AMBIENTE";"MESTRADO";15;0;0;0;0;0;0;0
"638";"25001019061P0";"ENGENHARIAS II";"ENGII";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"3";"NORDESTE";"PE";"UFPE";"ENGENHARIA MINERAL";"MESTRADO";0,69047619047619;0,5;0,535353535353535;0,427083333333333;0,538228264790765;"ENGENHARIAS II";"ENGII";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"3";"NORDESTE";"PE";"UFPE";"ENGENHARIA MINERAL";"MESTRADO";14;1;0;0;1;0;0;0,0714285714285714
"639";"25001019062P6";"CIÊNCIA DA COMPUTAÇÃO";"CCOMP";"FEDERAL";"PÚBLICA";2006;"PROFISSIONAL";"3";"NORDESTE";"PE";"UFPE";"CIÊNCIAS DA COMPUTAÇÃO";"MESTRADO PROF.";0,276190476190476;0,644444444444444;0,537037037037037;0,386434108527132;0,461026516549772;"CIÊNCIA DA COMPUTAÇÃO";"CCOMP";"FEDERAL";"PÚBLICA";2006;"PROFISSIONAL";"3";"NORDESTE";"PE";"UFPE";"CIÊNCIAS DA COMPUTAÇÃO";"MESTRADO PROF.";35;2;0;6;2;0;6;0,228571428571429
"640";"25001019065P5";"ENGENHARIAS III";"ENGIII";"FEDERAL";"PÚBLICA";2000;"PROFISSIONAL";"5";"NORDESTE";"PE";"UFPE";"ENGENHARIA DE PRODUÇÃO";"MESTRADO PROF.";0,307692307692308;0,805555555555556;1,60714285714286;0,347222222222222;0,766903235653236;"ENGENHARIAS III";"ENGIII";"FEDERAL";"PÚBLICA";2000;"PROFISSIONAL";"5";"NORDESTE";"PE";"UFPE";"ENGENHARIA DE PRODUÇÃO";"MESTRADO PROF.";13;7;0;22;7;0;22;2,23076923076923
"641";"25001019066P1";"PSICOLOGIA";"PSICO";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"4";"NORDESTE";"PE";"UFPE";"PSICOLOGIA";"MESTRADO/DOUTORADO";0,512820512820513;0,173076923076923;0,545138888888889;0,45462962962963;0,421416488603989;"PSICOLOGIA";"PSICO";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"4";"NORDESTE";"PE";"UFPE";"PSICOLOGIA";"MESTRADO/DOUTORADO";13;0;0;0;0;0;0;0
"642";"25001019068P4";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADM";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"4";"NORDESTE";"PE";"UFPE";"CIÊNCIAS CONTÁBEIS";"MESTRADO/DOUTORADO";0,596491228070175;0,625;0,755448717948718;0,455833333333333;0,608193319838057;"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADM";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"4";"NORDESTE";"PE";"UFPE";"CIÊNCIAS CONTÁBEIS";"MESTRADO/DOUTORADO";19;0;0;0;0;0;0;0
"643";"25001019069P0";"ENSINO";"ENSI";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"4";"NORDESTE";"PE";"UFPE";"EDUCAÇÃO MATEMÁTICA E TECNOLÓGICA";"MESTRADO/DOUTORADO";0,492063492063492;0,25;0,554924242424242;0,410763888888889;0,426937905844156;"ENSINO";"ENSI";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"4";"NORDESTE";"PE";"UFPE";"EDUCAÇÃO MATEMÁTICA E TECNOLÓGICA";"MESTRADO/DOUTORADO";21;0;0;4;0;0;4;0,19047619047619
"644";"25001019072P1";"EDUCAÇÃO FÍSICA";"EFIS";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";"NORDESTE";"PE";"UFPE";"FISIOTERAPIA";"MESTRADO";0,490196078431373;0,367647058823529;0,5375;0,5975;0,498210784313726;"EDUCAÇÃO FÍSICA";"EFIS";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";"NORDESTE";"PE";"UFPE";"FISIOTERAPIA";"MESTRADO";17;4;0;2;4;0;2;0,352941176470588
"645";"25001019073P8";"FARMÁCIA";"FARM";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"4";"NORDESTE";"PE";"UFPE";"INOVAÇÃO TERAPÊUTICA";"MESTRADO/DOUTORADO";0,506666666666667;0,188405797101449;0,437189917125593;0,503611111111111;0,408968373001205;"FARMÁCIA";"FARM";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"4";"NORDESTE";"PE";"UFPE";"INOVAÇÃO TERAPÊUTICA";"MESTRADO/DOUTORADO";25;67;20;3;67;20;3;3,6
"646";"25001019074P4";"SAÚDE COLETIVA";"SCOL";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";"NORDESTE";"PE";"UFPE";"SAÚDE COLETIVA";"MESTRADO";0,615384615384615;0,568627450980392;0,503812636165577;0,4875;0,543831175632646;"SAÚDE COLETIVA";"SCOL";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";"NORDESTE";"PE";"UFPE";"SAÚDE COLETIVA";"MESTRADO";13;0;0;0;0;0;0;0
"647";"25001019075P0";"BIODIVERSIDADE";"BIOD";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";"NORDESTE";"PE";"UFPE";"SAÚDE HUMANA E MEIO AMBIENTE";"MESTRADO";0,543859649122807;0,652173913043478;0,541666666666667;0,498809523809524;0,559127438160619;"BIODIVERSIDADE";"BIOD";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";"NORDESTE";"PE";"UFPE";"SAÚDE HUMANA E MEIO AMBIENTE";"MESTRADO";19;27;15;0;27;15;0;2,21052631578947
"648";"25001019077P3";"COMUNICAÇÃO E INFORMAÇÃO";"31";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"4";"NORDESTE";"PE";"UFPE";"CIÊNCIA DA INFORMAÇÃO";"MESTRADO";0,666666666666667;0,466666666666667;0,611111111111111;0,324537037037037;0,51724537037037;"COMUNICAÇÃO E INFORMAÇÃO";"31";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"4";"NORDESTE";"PE";"UFPE";"CIÊNCIA DA INFORMAÇÃO";"MESTRADO";15;0;0;0;0;0;0;0
"649";"25001019078P0";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADM";"FEDERAL";"PÚBLICA";2010;"PROFISSIONAL";"3";"NORDESTE";"PE";"UFPE";"ADMINISTRAÇÃO";"MESTRADO PROF.";0,5;0,714285714285714;0,680555555555556;0,513461538461538;0,602075702075702;"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADM";"FEDERAL";"PÚBLICA";2010;"PROFISSIONAL";"3";"NORDESTE";"PE";"UFPE";"ADMINISTRAÇÃO";"MESTRADO PROF.";12;0;0;0;0;0;0;0
"650";"25001019079P6";"CIÊNCIAS BIOLÓGICAS I";"CBI";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"5";"NORDESTE";"PE";"UFPE";"BIOLOGIA APLICADA À SAÚDE";"MESTRADO/DOUTORADO";0,55;0,25;0,458333333333333;0,519047619047619;0,444345238095238;"CIÊNCIAS BIOLÓGICAS I";"CBI";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"5";"NORDESTE";"PE";"UFPE";"BIOLOGIA APLICADA À SAÚDE";"MESTRADO/DOUTORADO";20;12;0;0;12;0;0;0,6
"651";"25001019080P4";"ENGENHARIAS I";"ENGI";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";"NORDESTE";"PE";"UFPE";"ENGENHARIA CIVIL E AMBIENTAL";"MESTRADO";0,388888888888889;0,5;0,592592592592593;0,388541666666667;0,467505787037037;"ENGENHARIAS I";"ENGI";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";"NORDESTE";"PE";"UFPE";"ENGENHARIA CIVIL E AMBIENTAL";"MESTRADO";12;1;0;0;1;0;0;0,0833333333333333
"652";"25001019081P0";"BIOTECNOLOGIA";"BIOT";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";"NORDESTE";"PE";"UFPE";"BIOTECNOLOGIA";"MESTRADO";0,69047619047619;0,722222222222222;0,544973544973545;0,518229166666667;0,618975281084656;"BIOTECNOLOGIA";"BIOT";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";"NORDESTE";"PE";"UFPE";"BIOTECNOLOGIA";"MESTRADO";14;10;0;0;10;0;0;0,714285714285714
"653";"25001019082P7";"ENFERMAGEM";"ENFE";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"4";"NORDESTE";"PE";"UFPE";"ENFERMAGEM";"MESTRADO/DOUTORADO";0,266666666666667;0,410714285714286;0,287608225108225;0,481018518518519;0,361501924001924;"ENFERMAGEM";"ENFE";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"4";"NORDESTE";"PE";"UFPE";"ENFERMAGEM";"MESTRADO/DOUTORADO";15;0;0;0;0;0;0;0
"654";"25001019083P3";"ECONOMIA";"ECON";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";"NORDESTE";"PE";"UFPE";"ECONOMIA - CAMPUS AGRESTE";"MESTRADO";0,307692307692308;0,739130434782609;0,611029411764706;0,394791666666667;0,513160955226572;"ECONOMIA";"ECON";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";"NORDESTE";"PE";"UFPE";"ECONOMIA - CAMPUS AGRESTE";"MESTRADO";13;0;0;0;0;0;0;0
