"";"sigla";"NM_AREA_AVALIACAO";"m_IMI";"m_IPT";"md_IMI";"md_IPT";"v_IMI";"v_IPT";"d_IMI";"d_IPT";"pc_IMI";"pc_IPT";"cor"
"23";"ENGII";"ENGENHARIAS II";0,497830840605224;0,68938374933748;0,48328818264268;0,545454545454545;0,0130446622340481;0,29989636044845;0,1142132314316;0,547627939798957;22,9421767628434;79,437314895404;0,0120803910601318
"24";"ENGIII";"ENGENHARIAS III";0,538660066460849;0,684947842371085;0,52769114710521;0,48943661971831;0,0120338178922975;0,350999494281145;0,109698759757335;0,59245210294263;20,3651182977211;86,4959441133121;0,154503858375922
"25";"ENGIV";"ENGENHARIAS IV";0,478139778484511;0,576860859510876;0,483617650174901;0,455555555555556;0,0108588486905831;0,256421053169244;0,104205799697441;0,506380344374902;21,7940034246317;87,782059750815;0,0192612715664114
"26";"ENSI";"ENSINO";0,574958279944447;0,180924092927321;0,575897237924677;0,125490196078431;0,00983421394047858;0,037700234341094;0,0991676052976908;0,194165481847557;17,2477914931971;107,318753796685;0,190844121027246
"27";"FARM";"FARMÁCIA";0,519718804287242;0,759738021679052;0,542470905189929;0,5;0,0076870701924511;0,711289147578956;0,087675938503395;0,843379598744809;16,8698799774306;111,009265651982;-0,404644793024165
"28";"FILO";"FILOSOFIA";0,442953976143812;0,105018939393939;0,422500346753064;0,0954545454545455;0,00652516097060786;0,0036803044651056;0,0807784684839212;0,0606655129798273;18,2363118595633;57,7662594289429;-0,162549279239194
"29";"GEOC";"GEOCIÊNCIAS";0,452781536608741;0,158539051340315;0,455583313877117;0,0769230769230769;0,012546195880841;0,0230185556279125;0,112009802610491;0,151718672640886;24,7381559436865;95,6979818904125;0,405008849152875
"30";"GEOG";"GEOGRAFIA";0,447778543665128;0,128864660397652;0,423133995516225;0,0690476190476191;0,00692780560131782;0,0337182971260553;0,0832334404029884;0,18362542614261;18,5880814479657;142,494789165608;0,42112430417687
"31";"HIST";"HISTÓRIA";0,423040684032397;0,0615001567633147;0,363952499706176;0,0526315789473684;0,0175621058964893;0,000478025344661376;0,132522095880231;0,0218637907203069;31,3260877457551;35,5507886011581;0,72297555450312
"32";"INTE";"INTERDISCIPLINAR";0,616068910934408;0,366184365000257;0,615495202886126;0,2;0,00761144876658627;0,22938591301903;0,0872436173401027;0,478942494480319;14,1613406863492;130,792720896203;-0,0483086851346577
